Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,97.08,99.48,97.06,98.22,3017400,98.22
2014-02-18,95.21,97.35,94.86,96.6,2023400,96.6
2014-02-10,94.3,96.29,92.66,95.93,2130600,95.93
2014-02-03,95.19,95.83,89.47,94.27,3110700,94.27
2014-01-27,88.55,95.5,87.64,95.07,3371100,95.07
2014-01-21,90.8,92.69,88.13,88.13,2335800,88.13
2014-01-13,90.28,91.85,89.65,90.07,1581800,90.07
2014-01-06,89.24,90.78,87.66,90.66,1799100,90.66
2013-12-30,90.41,90.89,88.33,88.82,1192200,88.82
2013-12-23,89.19,91.39,88.81,90.85,869400,90.85
2013-12-16,86.5,89.42,86.18,88.39,1690800,88.39
2013-12-09,86.83,87.4,85.3,86.44,1307400,86.44
2013-12-02,88.63,89.21,85.21,86.68,2631000,86.68
2013-11-25,87.53,89.56,86.9,88.68,1600400,88.68
2013-11-18,85.88,87.47,84.97,87.36,1344700,87.36
2013-11-11,85.24,86.01,84.25,85.28,1448100,85.28
2013-11-04,84.13,85.73,83.77,85.36,1435700,85.36
2013-10-28,79.86,84.43,79.71,83.75,1862400,83.75
2013-10-21,76.97,80.23,74.68,79.96,2744700,79.96
2013-10-14,75.55,77.82,75.27,76.86,1413400,76.86
2013-10-07,74.25,76.26,73.81,76.23,1622800,76.23
2013-09-30,77.38,78.01,74.03,74.25,1976000,74.25
2013-09-23,79.,79.82,78.11,78.74,1435700,78.19
2013-09-16,79.09,81.26,78.68,79.,1569400,78.45
2013-09-09,75.75,78.67,75.5,78.48,1261700,77.93
2013-09-03,76.36,76.63,74.7,75.61,1570600,75.08
2013-08-26,77.4,77.93,75.12,75.41,1746600,74.88
2013-08-19,76.48,77.85,75.82,77.65,1722900,77.11
2013-08-12,76.82,76.98,75.28,76.74,1814900,76.2
2013-08-05,75.76,77.23,75.01,76.98,2521500,76.44
2013-07-29,70.,76.27,69.86,75.65,3623500,75.12
2013-07-22,69.78,70.71,68.86,70.01,2137900,69.52
2013-07-15,69.91,70.13,69.29,69.8,1705400,69.31
2013-07-08,66.3,69.6,66.14,69.47,1834000,68.98
2013-07-01,66.,66.44,64.48,65.84,1336900,65.38
2013-06-24,65.86,66.79,65.03,66.12,1792800,65.11
2013-06-17,68.01,68.49,66.01,66.11,1957300,65.1
2013-06-10,67.44,68.13,66.22,67.41,1596500,66.38
2013-06-03,66.3,67.49,65.06,67.41,1816700,66.38
2013-05-28,67.29,68.62,66.64,66.64,1575100,65.62
2013-05-20,66.78,67.44,65.72,66.73,1367400,65.71
2013-05-13,64.23,66.98,63.6,66.89,1630800,65.87
2013-05-06,63.17,64.27,62.81,64.27,1496100,63.29
