Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,72.66,72.88,72.02,72.56,5966900,72.56
2014-02-18,74.99,75.,72.48,72.56,5066800,72.56
2014-02-10,74.31,75.19,73.39,75.03,5571400,75.03
2014-02-03,71.,74.49,68.67,74.04,8018300,74.04
2014-01-27,75.23,75.23,70.87,71.12,7269500,70.85
2014-01-21,75.05,76.16,71.68,74.98,11966100,74.7
2014-01-13,77.38,77.39,74.67,74.9,6396800,74.62
2014-01-06,76.9,78.15,76.01,77.67,4375400,77.38
2013-12-30,78.79,78.83,76.94,76.95,3222700,76.66
2013-12-23,77.97,79.3,77.35,78.57,2551800,78.27
2013-12-16,76.03,78.5,75.91,77.66,5071000,77.37
2013-12-09,80.26,80.46,76.,76.35,6768500,76.06
2013-12-02,81.49,81.69,79.33,79.94,3716100,79.64
2013-11-25,81.37,82.37,80.41,81.46,3363500,81.15
2013-11-18,81.02,81.7,79.32,81.35,4682700,81.04
2013-11-11,81.2,81.54,79.19,81.19,3835800,80.88
2013-11-04,80.75,82.5,79.,81.2,5170700,80.63
2013-10-28,80.2,81.62,78.53,80.37,6915600,79.81
2013-10-21,79.11,81.08,78.51,79.96,4383800,79.4
2013-10-14,77.54,79.67,76.6,79.31,3982600,78.76
2013-10-07,76.6,78.03,74.45,77.82,3938200,77.28
2013-09-30,76.5,77.46,76.05,77.4,3364700,76.86
2013-09-23,76.11,77.48,75.07,77.33,3296000,76.79
2013-09-16,76.57,77.84,74.86,76.12,4253300,75.59
2013-09-09,71.68,75.91,71.67,75.57,4009400,75.04
2013-09-03,71.7,72.76,70.93,71.57,3129900,71.07
2013-08-26,72.07,72.21,69.86,70.52,3037900,70.03
2013-08-19,70.58,72.26,70.11,71.97,3058000,71.47
2013-08-12,72.28,73.13,70.31,70.71,2991000,70.22
2013-08-05,74.22,74.27,72.17,72.8,3391800,72.29
2013-07-29,72.75,74.27,71.22,74.23,5612900,73.5
2013-07-22,69.08,73.52,66.3,73.36,7733200,72.64
2013-07-15,69.69,69.9,67.89,68.79,4013100,68.12
2013-07-08,67.94,69.72,67.45,69.72,4167300,69.04
2013-07-01,66.09,68.,65.82,67.72,3032900,67.06
2013-06-24,64.,66.71,63.18,65.51,4644800,64.87
2013-06-17,66.19,67.48,64.23,64.69,5253200,64.06
2013-06-10,65.66,66.67,64.07,65.6,5214400,64.96
2013-06-03,63.26,65.09,62.31,65.04,5082700,64.4
2013-05-28,64.21,64.7,62.79,63.14,4250700,62.52
2013-05-20,64.03,64.93,62.61,63.36,3958000,62.74
