Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,49.57,49.98,49.33,49.35,949500,49.35
2014-02-18,48.79,49.97,48.23,49.6,1165200,49.6
2014-02-10,46.56,48.75,46.29,48.7,720900,48.7
2014-02-03,47.28,48.06,45.77,46.64,707600,46.64
2014-01-27,46.63,47.39,45.88,47.27,965400,47.27
2014-01-21,46.5,47.37,46.36,46.56,729900,46.56
2014-01-13,46.74,46.92,46.09,46.34,567500,46.34
2014-01-06,45.96,47.03,45.58,46.8,850800,46.8
2013-12-30,47.02,47.32,45.64,45.96,795500,45.96
2013-12-23,47.37,47.64,46.85,46.96,470100,46.96
2013-12-16,46.74,47.51,46.25,47.25,1185800,47.25
2013-12-09,47.49,47.69,46.24,46.54,1137600,46.54
2013-12-02,47.16,47.75,46.73,47.64,883300,47.64
2013-11-25,47.57,47.7,46.8,47.17,763100,46.66
2013-11-18,47.25,47.68,46.89,47.55,788000,47.04
2013-11-11,46.9,47.22,45.73,47.21,626000,46.7
2013-11-04,47.33,48.15,46.18,46.9,669500,46.4
2013-10-28,47.47,47.79,45.96,47.21,642300,46.7
2013-10-21,46.52,47.89,46.19,47.62,545900,47.11
2013-10-14,46.17,46.86,44.98,46.58,674500,46.08
2013-10-07,44.79,46.21,44.75,46.14,822500,45.65
2013-09-30,45.78,46.27,44.96,45.,939500,44.52
2013-09-23,46.51,47.5,45.93,46.03,804300,45.54
2013-09-16,46.75,47.98,46.07,46.51,766400,46.01
2013-09-09,46.31,46.62,45.72,46.24,679400,45.74
2013-09-03,48.14,48.59,46.05,46.17,795500,45.68
2013-08-26,48.92,49.05,47.91,48.12,457200,47.08
2013-08-19,48.82,49.3,48.1,48.92,373500,47.87
2013-08-12,51.27,51.36,48.61,48.92,423000,47.87
2013-08-05,52.03,52.44,50.9,51.46,507100,50.35
2013-07-29,51.92,52.91,51.65,52.22,560100,51.1
2013-07-22,52.39,52.93,51.63,52.15,388400,51.03
2013-07-15,50.89,52.54,50.73,52.48,461100,51.35
2013-07-08,48.71,51.1,48.44,51.04,575600,49.94
2013-07-01,49.58,49.63,47.84,48.51,494100,47.47
2013-06-24,47.7,49.61,47.24,49.1,882600,48.04
2013-06-17,49.75,50.05,47.22,48.15,916500,47.11
2013-06-10,49.99,50.21,48.51,49.46,724100,48.4
2013-06-03,50.49,50.91,48.84,49.87,710600,48.8
2013-05-28,51.67,51.88,50.07,50.44,971500,48.85
2013-05-20,53.42,54.05,51.08,51.33,583600,49.71
2013-05-13,52.34,53.56,52.02,53.48,595700,51.79
2013-05-06,53.82,53.96,52.01,52.55,542400,50.89
2013-04-29,53.4,54.41,53.27,53.91,723400,52.21
2013-04-22,52.8,53.71,52.1,53.2,668000,51.52
2013-04-15,52.45,52.82,51.14,52.81,475800,51.15
2013-04-08,51.98,52.6,51.31,52.6,703700,50.94
2013-04-01,51.25,52.23,50.98,52.02,860900,50.38
2013-03-25,49.81,51.23,49.28,51.16,495700,49.55
2013-03-18,49.22,49.76,48.98,49.67,418700,48.1
2013-03-11,49.01,49.68,48.96,49.6,501200,48.04
2013-03-04,49.02,50.04,48.72,49.06,587200,47.51
2013-02-25,49.27,49.64,48.31,49.06,644900,47.03
2013-02-19,47.96,49.36,47.96,48.98,705700,46.95
2013-02-11,47.24,48.11,47.2,47.92,578900,45.94
2013-02-04,46.92,47.38,46.7,47.23,532600,45.27
2013-01-28,46.64,47.2,46.27,47.17,553700,45.22
2013-01-22,46.18,46.81,46.18,46.72,405800,44.79
2013-01-14,46.47,46.58,45.82,46.28,490600,44.36
2013-01-07,46.38,46.77,45.57,46.49,649800,44.57
2012-12-31,45.02,46.98,44.72,46.67,712400,44.74
2012-12-24,46.14,46.17,45.02,45.1,336400,43.23
2012-12-17,45.68,46.91,45.5,46.22,574300,44.31
2012-12-10,45.76,46.55,45.62,45.64,600100,43.75
2012-12-03,46.43,46.56,45.57,45.9,684000,44.
2012-11-26,45.1,46.35,45.08,46.34,946500,43.95
2012-11-19,46.32,46.46,44.93,45.13,739200,42.8
2012-11-12,46.38,46.4,45.25,46.1,845500,43.72
2012-11-05,48.26,48.4,46.22,46.46,584800,44.06
2012-10-31,48.98,49.48,48.44,48.47,465900,45.97
2012-10-22,49.01,49.05,48.,48.64,407700,46.13
2012-10-15,48.33,49.64,47.98,49.12,345300,46.58
2012-10-08,48.9,49.08,48.2,48.3,287500,45.81
2012-10-01,48.6,49.14,47.52,48.94,469800,46.41
2012-09-24,48.04,49.12,47.66,48.27,653600,45.78
2012-09-17,48.28,48.74,47.89,48.44,982900,45.94
2012-09-10,48.5,49.19,48.01,48.42,550100,45.92
2012-09-04,47.44,48.6,47.37,48.32,935300,45.82
2012-08-27,48.06,48.21,47.18,47.36,539500,44.45
2012-08-20,48.58,48.84,47.52,47.93,332800,44.99
2012-08-13,48.95,49.15,48.43,48.57,465500,45.59
2012-08-06,49.21,49.61,48.29,48.96,478600,45.95
2012-07-30,49.37,50.34,48.,49.34,469300,46.31
2012-07-23,48.41,49.55,47.48,49.46,445300,46.42
2012-07-16,48.64,48.89,48.04,48.67,500300,45.68
2012-07-09,48.18,48.84,47.71,48.73,425800,45.74
2012-07-02,48.07,48.51,47.73,48.15,455500,45.19
2012-06-25,46.37,48.11,46.22,47.84,723700,44.9
2012-06-18,47.99,48.09,46.46,46.56,861200,43.7
2012-06-11,47.2,48.24,47.11,48.04,675000,45.09
2012-06-04,46.87,47.5,46.57,46.99,919400,44.11
2012-05-29,46.73,47.22,46.44,46.76,551700,43.43
2012-05-21,45.87,46.69,45.69,46.65,419900,43.33
2012-05-14,46.35,46.79,45.7,45.87,562200,42.61
2012-05-07,45.57,46.79,45.32,46.53,593400,43.22
2012-04-30,46.08,46.64,45.51,45.67,573800,42.42
2012-04-23,45.34,46.2,44.89,46.12,606400,42.84
2012-04-16,43.46,45.6,43.32,45.59,657800,42.35
2012-04-09,44.57,44.88,43.8,44.28,522800,41.13
2012-04-02,45.85,45.85,44.75,45.05,684700,41.84
