Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,26.25,26.7,26.14,26.53,5814100,26.53
2014-02-18,25.45,26.45,25.43,26.25,7422400,26.25
2014-02-10,24.54,25.82,24.47,25.45,5771900,25.45
2014-02-03,24.77,24.99,23.56,24.6,9793400,24.6
2014-01-27,25.32,25.51,24.51,24.82,7627400,24.76
2014-01-21,26.92,27.11,25.24,25.27,8411300,25.21
2014-01-13,25.59,26.9,24.77,26.77,9052800,26.7
2014-01-06,26.,26.14,25.36,25.66,5450400,25.6
2013-12-30,25.66,26.08,25.49,25.9,3654600,25.84
2013-12-23,25.75,25.87,25.55,25.66,2113900,25.6
2013-12-16,24.92,25.9,24.65,25.61,7454400,25.55
2013-12-09,24.86,25.27,24.67,24.79,7710100,24.73
2013-12-02,24.5,25.14,24.19,24.83,4575900,24.77
2013-11-25,25.,25.,24.46,24.48,4228200,24.42
2013-11-18,24.49,25.01,24.21,24.92,8176200,24.86
2013-11-11,24.02,24.5,23.39,24.42,7139800,24.36
2013-11-04,23.15,24.03,22.73,24.02,8465600,23.96
2013-10-28,23.55,23.61,22.54,23.12,11362700,23.
2013-10-21,23.74,23.87,23.03,23.56,7366400,23.44
2013-10-14,21.59,23.93,21.39,23.77,14854500,23.65
2013-10-07,21.3,21.82,20.44,21.78,7801500,21.67
2013-09-30,20.96,21.63,20.79,21.58,6901200,21.47
2013-09-23,21.09,21.53,20.54,21.19,9082900,21.08
2013-09-16,22.35,22.71,20.62,21.27,16657400,21.16
2013-09-09,21.64,22.45,21.64,22.03,6063000,21.92
2013-09-03,21.2,22.25,20.97,21.58,8001100,21.47
2013-08-26,21.55,22.05,20.52,20.88,6438000,20.77
2013-08-19,21.54,21.78,21.22,21.53,5691600,21.42
2013-08-12,22.16,22.43,21.25,21.56,7198300,21.45
2013-08-05,22.6,22.84,21.98,22.29,5750200,22.18
2013-07-29,22.12,22.79,21.98,22.65,9449800,22.48
2013-07-22,21.7,22.59,21.68,22.12,8221900,21.95
2013-07-15,21.64,21.91,20.55,21.68,10308800,21.51
2013-07-08,22.19,22.44,21.22,21.69,10784500,21.52
2013-07-01,21.33,22.1,21.08,22.01,8741100,21.84
2013-06-24,20.69,21.44,20.34,21.23,14790800,21.07
2013-06-17,19.88,20.95,19.87,20.64,13030900,20.48
2013-06-10,20.2,20.35,19.52,19.71,10077600,19.56
2013-06-03,19.98,20.13,18.94,20.12,10906300,19.96
2013-05-28,19.47,20.48,19.46,19.86,12225500,19.71
2013-05-20,19.2,19.57,18.69,19.16,7996700,19.01
2013-05-13,18.05,19.37,17.92,19.34,13176100,19.19
2013-05-06,17.44,18.3,17.13,18.09,8941400,17.95
2013-04-29,16.76,17.55,16.05,17.47,10059600,17.28
2013-04-22,16.42,17.1,16.22,16.73,8247600,16.54
2013-04-15,17.12,17.3,16.2,16.39,8859300,16.21
2013-04-08,16.57,17.69,16.51,17.28,7517200,17.09
2013-04-01,17.77,17.89,16.15,16.55,10353200,16.37
2013-03-25,17.57,17.75,17.13,17.69,7288700,17.49
2013-03-18,17.6,17.86,17.32,17.54,7139000,17.34
2013-03-11,17.67,18.34,17.57,17.86,11660100,17.66
2013-03-04,16.65,17.94,16.53,17.66,10509200,17.46
2013-02-25,16.84,16.92,15.96,16.4,11604300,16.22
2013-02-19,16.94,17.1,16.29,16.73,7534000,16.54
2013-02-11,16.5,17.07,16.48,16.9,7599100,16.71
2013-02-04,16.57,17.41,16.36,16.89,16192800,16.7
2013-01-28,16.07,16.94,15.93,16.75,12915300,16.5
2013-01-22,15.44,16.05,15.37,16.05,8049000,15.81
2013-01-14,15.39,15.47,14.98,15.45,9707400,15.22
2013-01-07,15.41,15.42,15.,15.39,8486000,15.16
2012-12-31,14.12,15.57,14.08,15.46,13536900,15.23
2012-12-24,14.3,14.4,14.,14.14,4493500,13.93
2012-12-17,13.76,14.66,13.65,14.32,11847600,14.11
2012-12-10,13.37,13.83,13.14,13.7,9108400,13.5
2012-12-03,13.12,13.42,12.82,13.42,8796300,13.22
2012-11-26,13.13,13.27,12.92,13.1,9708800,12.91
2012-11-19,12.93,13.24,12.74,13.23,5560700,13.04
2012-11-12,13.07,13.11,12.47,12.78,14434200,12.59
2012-11-05,13.72,14.,13.04,13.06,14590200,12.87
2012-10-31,13.49,13.81,13.37,13.74,11931600,13.48
2012-10-22,13.31,13.53,13.03,13.47,9111900,13.21
2012-10-15,12.99,13.76,12.62,13.32,10870300,13.07
2012-10-08,13.16,13.28,12.82,12.95,8922700,12.7
2012-10-01,12.89,13.4,12.66,13.25,11120700,13.
2012-09-24,13.53,13.54,12.64,12.79,13155700,12.55
2012-09-17,14.38,14.43,13.28,13.58,15070600,13.32
2012-09-10,14.04,14.62,13.81,14.43,9638200,14.16
2012-09-04,13.48,14.06,13.23,14.03,8568600,13.76
2012-08-27,13.28,13.61,13.01,13.49,7117400,13.23
2012-08-20,13.16,13.48,12.91,13.27,7846500,13.02
2012-08-13,12.83,13.36,12.79,13.2,5924900,12.95
2012-08-06,12.91,13.33,12.78,12.88,5731800,12.64
2012-07-30,12.91,12.96,11.99,12.8,8632600,12.5
2012-07-23,12.28,12.98,11.95,12.92,10541100,12.62
2012-07-16,12.43,13.13,12.43,12.49,9448900,12.2
2012-07-09,12.55,12.69,12.27,12.69,6116300,12.39
2012-07-02,12.95,13.06,12.56,12.64,4922900,12.34
2012-06-25,12.28,13.,11.97,12.93,8330800,12.63
2012-06-18,12.57,12.86,12.24,12.37,10171500,12.08
