Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,37.73,38.05,37.48,37.52,3621900,37.52
2014-02-18,37.05,38.,36.89,37.64,2839200,37.64
2014-02-10,36.59,37.92,36.33,37.05,3474700,37.05
2014-02-03,35.93,37.37,34.34,36.79,4505500,36.46
2014-01-27,34.69,36.35,34.24,35.95,3127300,35.63
2014-01-21,35.23,35.6,34.65,34.65,2875700,34.34
2014-01-13,35.19,35.24,34.23,35.09,2954600,34.78
2014-01-06,35.21,35.66,34.47,35.19,2699100,34.88
2013-12-30,34.97,35.74,34.91,35.18,2446700,34.87
2013-12-23,34.3,35.05,34.24,34.92,1541900,34.61
2013-12-16,33.51,34.3,32.8,34.16,3895900,33.86
2013-12-09,34.1,34.42,32.93,33.22,3537600,32.93
2013-12-02,33.61,33.99,32.83,33.98,3033400,33.68
2013-11-25,34.07,34.15,33.52,33.55,2564300,33.25
2013-11-18,34.41,34.44,33.52,34.06,2611200,33.76
2013-11-11,34.2,34.56,33.85,34.34,2660500,34.04
2013-11-04,35.67,36.01,33.45,34.12,4071100,33.82
2013-10-28,35.95,36.16,35.27,35.4,2539300,34.78
2013-10-21,35.24,36.14,35.16,35.95,2480000,35.32
2013-10-14,34.64,35.35,34.19,35.31,2786700,34.69
2013-10-07,34.25,34.93,33.73,34.84,2355400,34.23
2013-09-30,34.03,34.98,33.92,34.58,2761100,33.98
2013-09-23,33.84,34.46,33.69,34.17,2525100,33.57
2013-09-16,34.01,34.47,33.23,34.06,3478200,33.47
2013-09-09,32.84,33.7,32.83,33.58,3174500,32.99
2013-09-03,33.33,33.36,32.57,32.79,3764300,32.22
2013-08-26,33.61,33.84,32.99,33.11,2823800,32.53
2013-08-19,33.48,33.77,33.28,33.53,3282200,32.94
2013-08-12,34.68,34.94,33.41,33.54,3418600,32.95
2013-08-05,35.89,36.4,34.55,34.83,4415000,34.22
2013-07-29,36.7,37.11,35.7,35.99,4905400,35.06
2013-07-22,36.4,36.82,35.59,36.75,6384300,35.8
2013-07-15,35.46,36.37,35.39,36.33,2706400,35.39
2013-07-08,35.,35.82,34.92,35.61,2833600,34.69
2013-07-01,34.76,34.96,34.26,34.86,2578000,33.96
2013-06-24,33.53,34.79,33.1,34.46,3958400,33.57
2013-06-17,34.35,34.83,33.13,33.66,5524600,32.79
2013-06-10,30.86,34.43,30.27,34.34,7524300,33.45
2013-06-03,30.68,31.06,29.62,30.59,4199700,29.8
2013-05-28,31.63,31.67,30.54,30.57,3086100,29.78
2013-05-20,31.66,32.05,31.11,31.34,2183600,30.53
2013-05-13,30.8,31.83,30.63,31.68,3231300,30.86
2013-05-06,30.92,31.17,30.59,30.79,2864400,29.99
2013-04-29,31.18,31.53,30.64,30.94,5455300,29.84
2013-04-22,30.66,31.43,30.33,31.17,5976300,30.07
2013-04-15,30.36,30.7,29.75,30.57,3301300,29.49
2013-04-08,29.91,30.89,29.91,30.53,2882400,29.45
2013-04-01,30.7,30.94,29.75,29.93,3674700,28.87
2013-03-25,29.59,30.94,29.45,30.75,4513800,29.66
2013-03-18,28.8,29.5,28.54,29.48,2964700,28.44
2013-03-11,29.22,29.46,28.57,28.95,4159700,27.92
2013-03-04,28.71,29.3,28.56,29.22,3276000,28.18
2013-02-25,29.67,29.89,28.7,28.81,4206700,27.79
2013-02-19,29.56,29.85,29.08,29.52,4232900,28.47
2013-02-11,29.61,29.94,29.32,29.46,8620800,28.42
2013-02-04,28.18,29.65,27.91,29.58,8616300,28.24
2013-01-28,27.16,28.32,27.07,28.25,5936000,26.97
2013-01-22,27.18,27.55,26.86,27.09,7605200,25.86
2013-01-14,27.67,28.,27.01,27.19,8161200,25.96
2013-01-07,28.18,28.25,27.57,27.6,4232500,26.35
2012-12-31,26.89,28.4,26.73,28.33,3949100,27.05
2012-12-24,27.5,27.59,26.55,26.97,2781300,25.75
2012-12-17,27.26,27.88,27.26,27.54,4843800,26.29
2012-12-10,27.37,27.64,26.79,27.19,6530000,25.96
2012-12-03,28.03,28.08,27.22,27.32,2918900,26.08
2012-11-26,27.93,28.09,27.5,27.95,2980700,26.68
2012-11-19,27.9,28.13,27.57,28.08,2384200,26.81
2012-11-12,27.48,27.69,26.56,27.69,4516800,26.44
2012-11-05,28.09,28.71,27.44,27.44,3658000,26.2
2012-10-31,29.2,29.21,28.02,28.07,4485100,26.51
2012-10-22,29.54,29.71,28.78,29.02,2885400,27.41
2012-10-15,29.05,30.17,28.98,29.62,2625500,27.98
2012-10-08,29.91,29.98,28.99,29.03,2584700,27.42
2012-10-01,29.45,30.22,29.4,29.98,2250100,28.32
2012-09-24,28.98,29.54,28.89,29.36,3199100,27.73
2012-09-17,28.78,29.12,28.7,29.06,3934100,27.45
