Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,193.61,197.88,193.61,194.53,956100,194.53
2014-02-18,191.01,194.91,190.77,193.59,835300,193.59
2014-02-10,181.34,191.94,180.82,191.17,840100,191.17
2014-02-03,183.54,183.68,174.29,182.56,1040200,182.56
2014-01-27,191.49,194.63,180.67,183.26,996200,183.26
2014-01-21,196.01,198.47,190.62,190.8,763400,190.8
2014-01-13,191.86,195.72,190.45,194.12,578200,194.12
2014-01-06,183.27,192.98,182.28,192.84,936800,192.84
2013-12-30,182.49,184.02,180.69,182.8,395600,182.8
2013-12-23,180.9,183.69,177.32,182.5,383800,182.5
2013-12-16,178.67,183.04,170.63,182.15,882500,182.15
2013-12-09,184.83,187.5,177.53,177.97,745500,177.97
2013-12-02,183.41,186.27,177.8,184.83,600000,184.83
2013-11-25,187.49,187.53,182.83,183.03,318700,183.03
2013-11-18,187.,187.98,184.17,187.57,406900,187.57
2013-11-11,184.7,187.54,181.6,186.87,657300,186.87
2013-11-04,185.,186.84,180.44,185.51,571500,185.01
2013-10-28,194.58,194.99,184.39,184.67,943100,184.17
2013-10-21,183.81,195.32,181.74,195.07,1006800,194.54
2013-10-14,179.25,185.97,177.9,184.56,626900,184.06
2013-10-07,185.,185.3,174.49,180.17,632000,179.68
2013-09-30,179.1,186.82,177.76,186.48,702500,185.97
2013-09-23,182.88,183.15,178.65,180.43,568400,179.94
2013-09-16,178.06,184.47,175.47,180.11,1094100,179.62
2013-09-09,173.85,177.48,173.05,174.92,347100,174.45
2013-09-03,172.92,176.16,170.32,172.69,604600,172.22
2013-08-26,172.36,174.56,166.32,172.4,688000,171.93
2013-08-19,168.64,173.45,166.66,172.52,745100,172.05
2013-08-12,176.29,178.05,166.51,168.69,883000,168.23
2013-08-05,178.02,178.63,172.83,177.07,831700,176.09
2013-07-29,170.56,179.28,170.56,179.05,715600,178.06
2013-07-22,172.02,174.4,169.15,172.83,1059100,171.87
2013-07-15,187.36,190.68,163.63,172.86,1923200,171.9
2013-07-08,182.6,189.91,181.31,187.36,634400,186.32
2013-07-01,177.55,182.51,177.16,182.48,343700,181.47
2013-06-24,171.74,180.11,170.6,176.6,671600,175.62
2013-06-17,184.43,184.61,170.06,173.1,728300,172.14
2013-06-10,183.86,184.79,177.5,183.09,456000,182.07
2013-06-03,188.5,189.07,178.01,183.26,653100,182.24
2013-05-28,191.04,193.22,188.53,188.53,628300,187.48
2013-05-20,190.47,191.44,184.17,189.2,553200,188.15
2013-05-13,187.77,194.55,186.84,190.82,715300,189.76
2013-05-06,187.96,190.14,186.03,188.,573100,186.47
2013-04-29,183.37,188.29,180.84,187.98,557900,186.45
2013-04-22,177.93,184.78,176.75,183.22,770200,181.73
2013-04-15,172.61,179.81,168.37,179.04,1578600,177.59
2013-04-08,165.62,171.8,164.05,170.74,573500,169.35
2013-04-01,168.37,169.49,162.22,165.82,616300,164.47
2013-03-25,169.04,170.15,167.34,168.89,497800,167.52
2013-03-18,167.97,172.4,166.75,168.17,516900,166.81
2013-03-11,166.16,171.25,166.01,168.68,797800,167.31
2013-03-04,161.95,167.5,161.81,165.88,651600,164.53
2013-02-25,158.49,163.73,153.94,162.48,1090900,161.16
2013-02-19,166.2,166.5,154.67,157.85,1027200,156.57
2013-02-11,163.44,167.27,162.26,166.7,681500,164.83
2013-02-04,162.75,164.19,160.75,163.77,665200,161.93
2013-01-28,165.18,165.61,159.81,163.84,1079300,162.
2013-01-22,164.26,167.24,162.92,165.51,817200,163.65
2013-01-14,161.46,164.23,160.3,164.02,608700,162.18
2013-01-07,158.24,163.14,157.17,161.28,966000,159.47
2012-12-31,150.38,161.74,150.32,158.8,1157200,157.02
2012-12-24,151.24,153.54,150.33,151.04,531600,149.34
2012-12-17,149.57,154.18,148.5,151.53,1161500,149.83
2012-12-10,148.21,150.99,146.49,148.23,824200,146.57
2012-12-03,152.79,154.22,147.34,148.94,1000400,147.27
2012-11-26,158.6,159.,152.52,152.52,1501200,150.81
2012-11-19,152.34,159.8,152.14,158.59,838200,156.81
2012-11-12,144.78,154.36,143.6,151.57,1893000,149.87
2012-11-05,141.51,144.78,140.12,140.84,816100,138.9
2012-10-31,142.1,144.88,140.57,142.,976900,140.05
2012-10-22,149.61,152.41,138.36,139.63,1733900,137.71
2012-10-15,149.32,155.5,148.27,150.51,789000,148.44
2012-10-08,155.1,155.96,148.77,149.22,713100,147.17
2012-10-01,149.4,156.5,147.37,155.69,904800,153.55
2012-09-24,150.07,150.66,146.17,148.91,773200,146.86
2012-09-17,146.23,150.8,144.95,150.06,751400,147.99
2012-09-10,143.18,146.5,141.8,146.22,767100,144.21
2012-09-04,143.17,144.91,141.7,143.23,570900,141.26
2012-08-27,142.34,144.9,141.43,143.08,722800,141.11
2012-08-20,140.67,143.38,136.5,142.63,1147300,140.67
2012-08-13,140.99,141.56,138.,140.67,798900,138.73
2012-08-06,136.67,142.29,134.97,141.44,1069300,139.11
2012-07-30,135.36,136.85,132.29,136.08,630400,133.84
2012-07-23,129.5,136.,127.92,135.24,1165800,133.01
2012-07-16,129.15,132.97,122.79,131.57,2387800,129.4
2012-07-09,132.,132.25,126.73,130.14,1132700,127.99
2012-07-02,132.3,133.42,129.84,132.82,763700,130.63
2012-06-25,127.37,132.38,125.4,132.35,1067300,130.17
2012-06-18,129.25,133.97,125.63,127.87,1212900,125.76
2012-06-11,132.43,133.23,128.,129.54,1697300,127.4
2012-06-04,124.73,132.46,123.04,131.42,1795400,129.25
2012-05-29,127.13,130.25,124.57,124.61,1675100,122.56
2012-05-21,115.87,126.43,115.68,126.31,1604600,124.23
2012-05-14,121.98,122.57,114.68,116.07,1978000,114.16
2012-05-07,120.96,125.2,119.84,122.72,1593400,120.3
2012-04-30,120.51,123.27,119.86,121.11,1010800,118.72
2012-04-23,117.35,121.92,116.35,120.99,1063100,118.6
2012-04-16,117.66,119.12,114.81,118.39,1033600,116.05
2012-04-09,113.54,117.1,108.96,116.62,1817500,114.32
2012-04-02,107.45,114.44,107.29,110.77,1227300,108.59
2012-03-26,107.94,110.79,107.43,108.67,929600,106.53
2012-03-19,106.65,107.89,105.58,107.6,686400,105.48
2012-03-12,106.52,108.24,105.61,106.64,1112000,104.54
2012-03-05,102.24,106.56,101.8,106.03,1488700,103.94
2012-02-27,100.26,103.63,100.,102.44,928100,100.42
2012-02-21,100.28,101.39,99.1,101.06,795900,99.07
2012-02-13,98.94,100.46,98.29,100.32,799200,97.96
2012-02-06,97.61,99.73,96.96,98.37,803200,96.05
2012-01-30,96.46,98.8,95.79,97.77,1153600,95.47
2012-01-23,95.67,99.6,94.15,97.2,1408500,94.91
2012-01-17,95.6,97.95,94.3,95.59,897200,93.34
2012-01-09,92.84,96.38,92.41,95.13,1094800,92.89
2012-01-03,90.4,93.31,90.21,92.5,1343800,90.32
2011-12-27,89.43,90.42,89.09,89.27,400100,87.17
2011-12-19,85.11,90.17,84.15,89.68,761100,87.57
2011-12-12,86.05,86.07,82.35,84.64,795100,82.65
2011-12-05,86.66,87.,84.47,86.36,1103300,84.33
2011-11-28,85.16,86.85,83.42,85.87,1012700,83.85
2011-11-21,83.42,85.76,82.67,83.64,926100,81.67
2011-11-14,86.12,86.57,83.14,84.12,832500,82.14
2011-11-07,86.33,87.3,84.58,86.58,934900,84.18
2011-10-31,82.99,86.46,80.28,86.28,1433600,83.89
2011-10-24,81.59,86.45,80.65,84.24,2041800,81.91
2011-10-17,79.28,82.47,76.55,81.99,1311500,79.72
2011-10-10,80.47,81.38,78.57,80.04,1096700,77.82
2011-10-03,74.03,80.8,73.06,79.64,1723600,77.43
2011-09-26,72.1,78.24,71.87,74.32,1854600,72.26
2011-09-19,74.4,75.19,69.52,71.38,1329100,69.4
2011-09-12,72.37,77.29,72.,75.37,1299700,73.28
2011-09-06,70.8,74.65,70.7,72.86,1059700,70.84
2011-08-29,74.47,76.24,72.52,72.61,877700,70.6
2011-08-22,70.66,74.37,70.52,73.67,1051900,71.63
2011-08-15,76.19,76.2,69.47,69.57,1604900,67.64
2011-08-08,73.48,76.07,69.78,75.76,2108900,73.3
2011-08-01,77.32,77.5,73.18,74.93,2301000,72.5
2011-07-25,78.85,80.16,76.06,77.17,1622200,74.67
2011-07-18,83.19,85.32,79.47,79.64,1989000,77.06
2011-07-11,84.32,84.69,82.56,83.2,874100,80.5
2011-07-05,85.5,86.5,84.4,85.09,937100,82.33
2011-06-27,83.17,85.9,81.83,85.69,1337800,82.91
2011-06-20,82.39,84.87,82.03,84.13,1012700,81.4
2011-06-13,81.38,83.93,80.7,82.5,967400,79.82
2011-06-06,83.8,84.3,81.23,81.57,895900,78.92
2011-05-31,86.22,87.87,83.69,83.97,1357800,81.25
2011-05-23,84.81,86.29,83.17,85.75,960500,82.97
2011-05-16,85.63,86.84,84.91,85.79,750800,83.01
2011-05-09,83.97,86.42,83.49,86.2,862200,83.05
2011-05-02,82.68,84.82,82.37,84.02,1053100,80.95
2011-04-25,83.55,83.93,81.45,82.29,1169700,79.28
2011-04-18,84.85,86.22,82.37,83.69,1589700,80.63
2011-04-11,85.07,86.04,83.13,85.7,721800,82.57
2011-04-04,85.38,86.5,84.59,84.98,735800,81.87
2011-03-28,84.,86.32,83.37,85.39,941100,82.27
2011-03-21,81.68,84.69,81.43,83.85,890000,80.78
2011-03-14,82.28,83.25,79.74,80.85,958400,77.89
2011-03-07,81.26,83.26,79.56,82.76,840000,79.73
2011-02-28,81.76,82.57,79.25,80.92,934900,77.96
2011-02-22,84.76,85.22,80.35,81.7,1080500,78.71
2011-02-14,85.74,85.75,84.26,85.03,617500,81.57
2011-02-07,84.13,86.51,83.74,85.83,663300,82.33
2011-01-31,84.61,85.63,82.95,84.11,804400,80.68
2011-01-24,82.31,86.77,82.31,84.46,1464900,81.02
2011-01-18,84.1,85.,81.74,82.29,885100,78.94
2011-01-10,83.15,84.62,82.34,84.28,1060400,80.85
2011-01-03,83.9,84.99,81.69,82.67,1058600,79.3
2010-12-27,84.32,84.53,83.46,83.75,409600,80.34
2010-12-20,81.76,84.99,81.76,84.11,644700,80.68
2010-12-13,78.02,82.75,77.76,82.02,1246900,78.68
2010-12-06,76.97,78.09,76.56,77.76,479000,74.59
2010-11-29,74.38,77.26,73.26,77.03,699400,73.89
2010-11-22,73.02,75.28,72.83,74.74,601800,71.69
2010-11-15,73.17,74.08,72.4,73.38,783300,70.39
2010-11-08,72.94,74.14,72.57,73.06,801700,69.74
2010-11-01,73.1,73.83,71.25,73.27,981200,69.94
2010-10-25,73.45,74.84,69.56,72.97,1993700,69.65
2010-10-18,71.72,73.87,71.31,72.98,961700,69.66
2010-10-11,72.76,73.64,71.12,72.,1058600,68.73
2010-10-04,74.,75.28,73.01,73.48,856600,70.14
2010-09-27,75.41,76.92,73.89,74.04,963500,70.68
2010-09-20,72.71,76.16,72.71,75.26,1120500,71.84
2010-09-13,72.81,73.45,71.19,72.47,904500,69.18
2010-09-07,71.9,73.24,71.49,72.27,614100,68.99
2010-08-30,70.18,73.24,68.46,72.32,1121100,69.03
2010-08-23,68.36,70.27,66.13,70.24,1240900,67.05
2010-08-16,68.71,70.09,67.24,68.34,972100,65.23
2010-08-09,69.77,70.08,67.93,69.1,1381800,65.62
2010-08-02,69.58,71.15,68.66,69.69,1110300,66.18
2010-07-26,68.82,70.27,67.6,69.15,1401400,65.67
2010-07-19,69.64,70.43,66.32,68.99,2082800,65.51
2010-07-12,72.1,73.77,69.37,69.44,1064400,65.94
2010-07-06,69.96,73.,69.08,72.23,1212600,68.59
2010-06-28,71.5,72.03,67.92,69.43,1484700,65.93
2010-06-21,76.95,77.18,71.06,71.48,1578200,67.88
2010-06-14,76.79,78.4,75.98,76.18,1248000,72.34
2010-06-07,74.82,76.64,72.78,76.64,1552200,72.78
2010-06-01,76.01,78.23,74.67,74.91,1407100,71.14
2010-05-24,74.05,77.24,73.79,76.63,1757900,72.77
2010-05-17,78.19,79.67,74.,75.72,1836200,71.91
2010-05-10,77.34,80.53,77.07,77.74,1320000,73.48
2010-05-03,78.18,80.22,73.67,75.95,1950200,71.79
2010-04-26,79.71,80.33,78.02,78.07,1684400,73.8
2010-04-19,72.35,79.65,72.14,79.54,2128800,75.19
2010-04-12,71.36,73.65,71.02,72.96,1836800,68.97
2010-04-05,68.18,71.32,68.08,71.21,1707500,67.31
2010-03-29,67.13,68.82,66.63,68.25,866200,64.51
2010-03-22,65.11,67.16,64.84,66.84,1096200,63.18
2010-03-15,65.6,66.17,64.52,65.3,1165800,61.72
2010-03-08,65.32,65.99,63.89,65.54,973500,61.95
2010-03-01,63.6,65.33,63.04,65.16,847000,61.59
2010-02-22,65.52,65.74,63.33,63.38,857300,59.91
2010-02-16,64.25,65.64,64.18,65.37,735300,61.44
2010-02-08,63.98,64.41,62.6,63.95,1344400,60.11
2010-02-01,63.77,65.62,62.86,63.9,1421400,60.06
2010-01-25,58.52,64.63,58.26,63.35,2808900,59.55
2010-01-19,58.88,59.52,57.86,58.,1409100,54.52
2010-01-11,61.97,61.97,58.54,59.19,1264700,55.64
2010-01-04,62.14,62.14,58.92,60.46,1823300,56.83
2009-12-28,62.,62.57,61.64,61.65,530300,57.95
2009-12-21,62.21,62.66,61.1,62.02,597100,58.3
2009-12-14,62.86,62.88,60.99,61.81,1256500,58.1
2009-12-07,61.58,62.75,60.92,62.75,1302600,58.98
2009-11-30,61.19,62.97,60.37,61.85,995600,58.14
2009-11-23,60.16,61.78,60.16,61.13,840800,57.46
2009-11-16,60.47,61.37,59.38,59.94,951600,56.34
2009-11-09,59.96,60.54,59.07,60.27,1023100,56.65
2009-11-02,57.24,59.19,56.74,58.94,1506200,55.07
2009-10-26,58.33,58.51,56.24,57.04,1915200,53.3
2009-10-19,62.65,64.13,57.53,58.26,2274500,54.44
2009-10-12,61.85,64.07,61.76,62.65,1309900,58.54
2009-10-05,58.79,61.74,58.77,61.54,987400,57.5
2009-09-28,60.17,61.62,58.56,58.84,1162000,54.98
2009-09-21,61.72,62.25,59.46,59.6,1406400,55.69
2009-09-14,58.81,62.5,58.64,62.04,1677500,57.97
2009-09-08,60.61,60.95,58.14,59.28,1900100,55.39
2009-08-31,60.46,60.54,58.41,60.39,1106500,56.43
2009-08-24,62.19,62.55,59.53,60.93,1375400,56.93
2009-08-17,59.59,62.73,58.97,62.08,1131300,58.01
2009-08-10,61.45,61.98,60.,60.46,922700,56.16
2009-08-03,58.05,62.7,57.67,62.01,1536500,57.6
2009-07-27,56.65,58.14,55.42,57.75,1201300,53.64
2009-07-20,56.82,57.66,52.,56.79,2397100,52.75
2009-07-13,52.3,56.94,51.41,56.52,2023100,52.5
2009-07-06,52.26,53.92,51.5,52.22,1282600,48.51
2009-06-29,54.26,54.26,51.22,51.22,1465800,47.58
2009-06-22,53.39,54.25,51.68,54.11,1887600,50.26
2009-06-15,54.38,54.77,52.87,53.58,1754000,49.77
2009-06-08,54.18,56.92,53.87,55.1,1519900,51.18
2009-06-01,53.84,55.1,53.23,54.25,1617200,50.39
2009-05-26,53.33,55.5,52.19,52.8,2080300,49.05
2009-05-18,54.13,58.19,52.9,53.54,1770700,49.73
2009-05-11,56.4,56.59,53.,53.61,1515000,49.8
2009-05-04,55.99,59.16,55.41,56.93,1684300,52.54
2009-04-27,57.83,58.98,55.04,55.5,1848300,51.22
2009-04-20,55.84,59.17,54.75,58.5,1943500,53.99
2009-04-13,51.57,57.27,49.9,56.69,3200000,52.32
2009-04-06,52.47,53.56,50.65,53.55,1596300,49.42
2009-03-30,49.69,53.45,49.69,53.,1995200,48.92
2009-03-23,45.99,52.84,45.55,51.31,2527600,47.36
2009-03-16,47.72,47.81,43.85,45.02,2278900,41.55
2009-03-09,42.51,47.64,42.49,47.35,2041700,43.7
2009-03-02,44.9,46.86,42.19,42.98,1930500,39.67
2009-02-23,46.12,47.4,43.86,45.95,1860300,42.41
2009-02-17,45.62,47.33,45.,46.03,1843300,42.16
2009-02-09,49.86,50.38,46.,46.94,1649400,42.99
2009-02-02,47.78,50.35,45.65,49.94,2725900,45.74
2009-01-26,47.01,50.31,46.52,47.75,2872800,43.73
2009-01-20,57.58,58.,46.51,46.97,4706800,43.02
2009-01-12,59.16,60.39,54.32,57.38,2139300,52.55
2009-01-05,59.26,61.42,58.76,59.4,1767300,54.4
2008-12-29,55.7,60.17,54.42,59.99,1293500,54.94
2008-12-22,55.34,57.93,53.01,55.8,714500,51.1
2008-12-15,55.5,57.96,55.22,55.33,1590700,50.67
2008-12-08,59.14,59.61,51.12,55.53,2298400,50.86
2008-12-01,57.75,59.26,53.38,58.73,2299400,53.79
2008-11-24,54.2,60.23,53.19,58.93,2212800,53.97
2008-11-17,54.16,55.74,49.01,53.3,2595400,48.81
2008-11-10,55.61,56.82,50.,54.5,2028200,49.91
2008-11-03,56.86,57.2,53.19,54.47,2103900,49.56
2008-10-27,53.94,57.48,48.32,56.91,2613700,51.78
2008-10-20,56.24,58.6,52.97,55.08,2003300,50.12
2008-10-13,53.3,58.03,49.42,56.18,3632900,51.12
2008-10-06,50.75,55.84,48.98,51.3,3603900,46.68
2008-09-29,60.41,60.62,52.41,52.75,2207500,48.
2008-09-22,63.24,63.24,57.96,61.72,1568600,56.16
2008-09-15,59.08,65.,56.08,63.36,3059500,57.65
2008-09-08,61.01,63.65,58.32,61.76,1887000,56.2
2008-09-02,59.97,62.19,57.98,60.21,1614500,54.79
2008-08-25,56.9,59.7,56.4,58.55,1027000,53.28
2008-08-18,59.43,60.,54.38,58.33,1339500,53.08
2008-08-11,57.03,60.48,56.93,59.59,2156800,53.89
2008-08-04,52.01,57.73,51.66,57.45,1304500,51.96
2008-07-28,53.01,55.09,49.88,52.36,1380700,47.35
2008-07-21,52.45,55.13,50.04,52.95,2657600,47.89
2008-07-14,47.6,54.64,44.51,54.12,3030700,48.95
2008-07-07,47.51,49.49,45.79,47.19,2373300,42.68
2008-06-30,46.63,49.08,45.82,47.53,3163300,42.99
2008-06-23,50.38,50.55,46.38,46.87,3136100,42.39
2008-06-16,50.,50.63,48.86,49.91,1786100,45.14
2008-06-09,50.14,51.28,47.94,50.41,2427700,45.59
2008-06-02,56.07,56.28,49.91,50.19,3815100,45.39
2008-05-27,56.37,56.93,55.6,56.15,1513500,50.78
2008-05-19,59.64,60.25,55.98,56.11,1128500,50.74
2008-05-12,56.5,60.37,55.75,59.6,1352200,53.9
2008-05-05,57.23,57.52,55.32,56.57,1262100,50.85
2008-04-28,55.72,58.42,54.6,57.32,1329500,51.52
2008-04-21,56.22,58.3,53.97,56.,1262500,50.33
2008-04-14,54.,56.68,52.88,56.16,1132900,50.48
2008-04-07,55.01,55.79,53.19,53.97,1789300,48.51
2008-03-31,50.82,55.96,50.48,54.76,1716500,49.22
2008-03-24,50.43,53.76,50.12,50.5,2592700,45.39
2008-03-17,51.75,54.46,50.05,53.82,1988300,48.37
2008-03-10,50.03,53.58,50.,52.28,1780600,46.99
2008-03-03,51.8,52.73,49.99,50.13,1671200,45.06
2008-02-25,54.7,56.,51.52,51.78,2212900,46.54
2008-02-19,54.29,56.52,52.45,54.6,2895600,48.76
2008-02-11,54.84,55.69,52.65,53.83,1782300,48.07
2008-02-04,58.65,58.65,53.61,54.95,1839400,49.07
2008-01-28,56.25,58.42,54.15,58.21,2358800,51.99
2008-01-22,51.26,60.24,50.61,56.11,2932900,50.11
2008-01-14,56.13,56.13,50.77,53.25,1960400,47.56
2008-01-07,54.8,57.22,53.38,55.49,1703900,49.56
2007-12-31,57.55,58.39,54.03,54.08,993200,48.3
2007-12-24,58.9,59.6,57.57,57.65,516000,51.49
2007-12-17,59.68,60.13,56.75,58.69,1694700,52.41
2007-12-10,61.79,64.6,59.59,59.79,1071500,53.4
2007-12-03,63.1,63.1,59.54,62.23,1045400,55.58
2007-11-26,60.33,63.16,58.63,62.83,1374600,56.11
2007-11-19,60.75,61.12,59.03,60.62,1251600,54.14
2007-11-12,62.2,63.62,60.5,61.61,1248800,55.02
2007-11-05,62.17,63.7,58.53,61.84,2463800,54.95
2007-10-29,64.59,65.48,61.2,61.3,1596400,54.47
2007-10-22,62.71,68.03,62.39,64.09,2143500,56.95
2007-10-15,65.8,65.81,61.93,63.34,1312400,56.28
2007-10-08,66.51,67.6,64.42,65.07,728600,57.82
2007-10-01,65.71,66.73,64.,66.13,1089800,58.76
2007-09-24,65.74,67.85,62.76,65.71,1347800,58.39
2007-09-17,66.8,70.2,65.16,65.87,993800,58.53
2007-09-10,66.7,68.4,65.45,67.02,921100,59.55
2007-09-04,69.08,69.63,66.26,66.53,1059000,59.12
2007-08-27,70.2,70.95,67.33,69.01,926700,61.32
2007-08-20,66.59,70.27,66.36,70.26,1002700,62.43
2007-08-13,68.6,70.34,62.4,66.59,1702200,58.9
2007-08-06,69.3,70.66,63.8,69.14,1605200,61.16
2007-07-30,68.7,72.69,68.01,69.06,1423900,61.09
2007-07-23,72.46,73.33,67.61,69.03,1916400,61.06
2007-07-16,67.27,73.96,65.62,71.76,1692800,63.47
2007-07-09,68.48,68.58,65.26,67.6,852500,59.8
2007-07-02,67.03,68.5,66.65,68.46,523400,60.56
2007-06-25,66.5,68.57,65.36,66.47,967000,58.8
2007-06-18,68.23,68.76,65.9,66.56,1006400,58.88
2007-06-11,65.95,69.33,64.81,67.67,1180300,59.86
2007-06-04,67.3,68.5,64.61,65.95,912600,58.34
2007-05-29,67.1,67.99,66.43,67.31,1034600,59.54
2007-05-21,67.25,68.48,66.46,66.9,1168900,59.18
2007-05-14,66.44,68.47,66.27,67.53,1317300,59.73
2007-05-07,64.9,66.65,64.25,66.6,1132800,58.63
2007-04-30,65.53,65.94,62.91,64.9,1621100,57.14
2007-04-23,65.5,66.19,63.7,65.65,1339900,57.8
2007-04-16,65.44,66.27,62.22,65.58,1151100,57.74
2007-04-09,66.03,66.55,64.42,64.92,1088900,57.16
2007-04-02,66.17,67.14,65.32,65.82,1051000,57.95
2007-03-26,68.09,68.09,65.11,66.04,1008700,58.14
2007-03-19,66.3,68.5,66.,68.21,727300,60.05
2007-03-12,66.6,68.52,64.2,65.71,1321100,57.85
2007-03-05,65.75,66.75,63.53,66.43,853500,58.49
2007-02-26,70.1,70.23,63.9,64.87,1989100,57.11
2007-02-20,68.57,71.11,68.36,69.99,1159200,61.33
2007-02-12,69.77,69.78,68.34,68.67,816100,60.17
2007-02-05,68.49,70.43,68.06,69.77,733400,61.13
2007-01-29,66.84,69.64,64.84,68.39,1049100,59.92
2007-01-22,64.26,68.71,63.8,66.71,948600,58.45
2007-01-16,63.84,64.62,63.24,64.29,746700,56.33
2007-01-08,62.03,64.1,61.28,63.84,836900,55.94
2007-01-03,63.1,64.18,61.69,61.96,871300,54.29
2006-12-26,62.35,64.75,62.,63.58,693400,55.71
2006-12-18,63.7,64.3,61.43,62.6,678700,54.85
2006-12-11,62.44,64.76,62.26,63.48,766500,55.62
2006-12-04,62.35,63.23,61.91,62.44,703600,54.71
2006-11-27,62.48,62.83,60.51,62.2,841200,54.5
2006-11-20,62.18,62.85,61.55,62.48,580500,54.75
2006-11-13,60.7,62.91,59.99,62.43,1101100,54.7
2006-11-06,58.,61.31,57.86,60.8,1102500,53.06
2006-10-30,57.75,59.67,57.6,57.75,848100,50.39
2006-10-23,58.31,59.,57.56,57.96,822100,50.58
2006-10-16,59.3,60.28,56.41,58.56,1488500,51.1
2006-10-09,57.48,59.58,57.34,59.29,1138500,51.74
2006-10-02,55.78,58.06,55.16,57.86,1388700,50.49
2006-09-25,53.7,57.36,53.57,55.78,1502600,48.68
2006-09-18,54.65,55.5,53.26,53.5,1285700,46.69
2006-09-11,52.5,55.35,51.5,54.8,1938400,47.82
2006-09-05,51.36,53.17,50.5,52.75,1246100,46.03
2006-08-28,49.32,52.,49.24,51.41,809800,44.86
2006-08-21,50.55,51.16,48.96,49.41,952600,43.12
2006-08-14,49.7,52.31,49.63,50.7,976600,44.24
2006-08-07,51.31,51.66,48.87,49.5,1069200,42.98
2006-07-31,50.19,52.,49.,51.53,1262600,44.75
2006-07-24,48.11,50.24,47.87,50.11,1137900,43.51
2006-07-17,45.5,48.84,44.08,47.87,1641500,41.57
2006-07-10,47.57,48.13,44.63,45.52,1007800,39.53
2006-07-03,47.4,47.86,46.6,47.32,512300,41.09
2006-06-26,46.44,47.75,45.76,47.48,729000,41.23
2006-06-19,46.51,47.04,45.4,46.41,699200,40.3
2006-06-12,46.6,47.42,45.13,46.39,1046100,40.28
2006-06-05,49.1,49.13,45.67,46.46,1230600,40.34
2006-05-30,48.56,49.3,47.4,49.18,678900,42.7
2006-05-22,49.5,49.5,46.18,48.56,870200,42.17
2006-05-15,49.51,50.1,47.95,48.75,973600,42.33
2006-05-08,52.08,52.34,49.35,49.76,853900,42.99
2006-05-01,51.3,52.23,50.68,52.01,876300,44.93
2006-04-24,52.44,53.32,50.61,50.94,828100,44.01
2006-04-17,50.22,53.,49.8,52.67,863100,45.5
2006-04-10,50.61,51.27,49.64,50.32,697500,43.47
2006-04-03,49.25,52.25,49.1,50.65,1112100,43.76
2006-03-27,50.44,50.9,49.05,49.44,1406000,42.71
2006-03-20,48.33,50.7,48.04,50.44,1765500,43.58
2006-03-13,44.68,48.43,44.41,48.27,1893100,41.7
2006-03-06,43.6,45.1,42.84,44.75,1949200,38.66
2006-02-27,41.5,48.18,41.45,44.43,4993300,38.39
2006-02-21,52.68,53.25,37.4,41.29,12999800,35.48
2006-02-13,53.,53.8,52.58,52.69,1009500,45.27
2006-02-06,52.35,53.4,51.72,53.1,1140400,45.62
2006-01-30,52.27,54.12,51.59,52.51,1914000,45.12
2006-01-23,48.75,52.89,48.48,52.53,2092900,45.13
2006-01-17,46.25,49.32,46.25,48.75,1901400,41.89
2006-01-09,45.88,47.29,45.69,46.01,990700,39.53
2006-01-03,44.1,46.22,44.1,46.14,1107900,39.64
2005-12-27,45.29,46.67,45.24,45.42,629200,39.03
2005-12-19,43.95,45.1,43.56,45.09,659200,38.74
2005-12-12,43.94,44.54,43.6,43.93,680900,37.75
2005-12-05,43.5,44.13,43.25,43.69,600100,37.54
2005-11-28,43.98,44.55,43.77,44.03,651900,37.83
2005-11-21,43.5,44.43,43.22,44.2,454600,37.98
2005-11-14,42.44,43.74,41.93,43.72,728000,37.56
2005-11-07,41.97,42.61,41.65,42.2,1028800,36.08
2005-10-31,42.33,43.09,41.78,42.02,1051000,35.93
2005-10-24,43.88,44.87,40.47,42.23,2151900,36.11
2005-10-17,43.04,44.18,42.21,43.63,985000,37.31
2005-10-10,43.49,43.9,42.68,43.29,765800,37.02
2005-10-03,44.32,44.44,42.9,43.43,910000,37.14
2005-09-26,44.23,44.55,42.48,44.07,1199200,37.68
2005-09-19,46.,46.05,40.92,44.,1932400,37.62
2005-09-12,45.85,46.43,45.31,46.07,803000,39.39
2005-09-06,46.1,46.76,45.21,46.,571300,39.33
2005-08-29,45.44,47.15,44.82,46.03,573700,39.36
2005-08-22,46.38,46.97,45.11,45.44,567000,38.86
2005-08-15,47.42,47.42,45.63,46.25,513500,39.55
