Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,98.27,99.38,98.12,98.7,1136600,98.7
2014-02-18,92.76,98.61,92.61,97.94,1798600,97.94
2014-02-10,93.21,95.24,87.1,91.81,1856600,91.81
2014-02-03,96.39,96.5,91.94,93.37,889100,92.79
2014-01-27,98.05,99.68,96.3,96.39,901900,95.8
2014-01-21,97.8,98.86,96.37,97.97,874600,97.37
2014-01-13,98.33,99.88,97.07,97.2,845300,96.6
2014-01-06,101.97,102.47,97.67,98.42,1018900,97.81
2013-12-30,103.,104.31,101.37,101.51,566100,100.88
2013-12-23,102.5,103.97,101.39,103.18,413300,102.54
2013-12-16,100.54,103.,100.31,102.12,672400,101.49
2013-12-09,104.95,106.2,100.18,100.41,802400,99.79
2013-12-02,104.5,105.18,102.16,104.32,986200,103.68
2013-11-25,104.19,106.06,103.45,104.24,518500,103.6
2013-11-18,109.73,109.73,99.47,103.95,1123700,103.31
2013-11-11,108.68,109.73,105.46,109.35,392700,108.68
2013-11-04,111.39,112.05,106.38,108.61,449200,107.36
2013-10-28,110.21,112.95,110.21,111.01,372100,109.73
2013-10-21,107.72,110.43,106.67,110.36,412800,109.09
2013-10-14,106.4,108.87,105.73,107.88,459100,106.64
2013-10-07,105.7,106.69,104.18,106.6,476400,105.37
2013-09-30,104.65,106.39,103.8,105.93,549400,104.71
2013-09-23,107.2,107.24,104.37,104.79,392700,103.58
2013-09-16,108.66,108.98,106.66,107.14,552000,105.9
2013-09-09,106.39,109.64,105.98,107.87,597300,106.63
2013-09-03,106.47,107.53,104.88,105.99,439000,104.77
2013-08-26,108.84,109.12,104.5,106.14,450200,104.92
2013-08-19,110.18,110.54,106.65,108.46,691700,107.21
2013-08-12,113.25,114.39,110.08,110.32,365000,109.05
2013-08-05,113.97,114.72,112.82,113.3,407500,111.42
2013-07-29,111.59,114.11,111.36,113.97,443600,112.08
2013-07-22,108.2,111.6,107.51,111.54,584800,109.69
2013-07-15,105.85,108.28,105.66,108.16,389200,106.37
2013-07-08,103.58,106.19,103.27,106.01,525100,104.25
2013-07-01,103.42,104.31,101.44,103.12,617600,101.41
2013-06-24,100.01,104.06,99.76,103.15,701800,101.44
2013-06-17,103.12,104.18,99.85,100.71,597500,99.04
2013-06-10,101.49,103.29,99.37,103.01,742100,101.3
2013-06-03,101.23,103.88,96.75,101.39,1070300,99.71
2013-05-28,104.01,105.17,100.95,100.96,531100,99.29
2013-05-20,102.71,104.,101.2,103.22,467900,101.51
2013-05-13,103.37,105.,101.97,102.58,490500,100.88
2013-05-06,103.27,103.99,102.07,103.63,341800,101.41
2013-04-29,102.28,103.84,101.43,103.56,429700,101.34
2013-04-22,103.24,105.18,101.65,101.92,419500,99.73
2013-04-15,101.04,103.91,99.51,103.1,520200,100.89
2013-04-08,97.95,101.11,97.58,101.1,498300,98.93
2013-04-01,99.32,100.14,97.64,98.12,442400,96.01
2013-03-25,96.89,99.29,96.15,99.16,469400,97.03
2013-03-18,96.38,97.14,95.03,96.44,700900,94.37
2013-03-11,97.12,97.94,96.96,97.4,557100,95.31
2013-03-04,96.23,97.75,95.5,97.24,500900,95.15
2013-02-25,93.09,96.28,91.5,96.27,648300,94.2
2013-02-19,92.53,93.4,91.41,92.99,1063200,90.99
2013-02-11,89.09,94.99,88.45,92.4,1198000,90.42
2013-02-04,89.9,89.98,88.38,89.16,505500,86.75
2013-01-28,89.58,90.4,88.21,89.79,600500,87.36
2013-01-22,89.53,90.31,88.91,89.26,512300,86.84
2013-01-14,88.22,89.9,88.05,89.56,486400,87.14
2013-01-07,89.83,90.23,87.97,88.22,684600,85.83
2012-12-31,85.13,90.24,84.57,90.2,530800,87.76
2012-12-24,86.27,86.72,84.85,85.25,313400,82.94
2012-12-17,87.36,87.92,85.66,86.61,511100,84.27
2012-12-10,87.7,88.31,86.81,86.96,596600,84.61
2012-12-03,88.18,89.39,87.14,87.8,590500,85.42
2012-11-26,85.87,88.46,85.62,88.46,545000,86.07
2012-11-19,84.2,86.1,84.,86.05,626900,83.72
2012-11-12,84.32,87.44,81.6,83.86,928000,81.59
2012-11-05,84.72,86.14,83.12,84.33,421600,81.56
2012-10-31,85.41,86.63,84.79,85.06,535600,82.26
2012-10-22,84.77,86.68,83.48,85.03,452900,82.24
2012-10-15,83.71,85.55,82.,84.76,549700,81.97
2012-10-08,86.23,86.36,83.11,83.45,673300,80.71
2012-10-01,86.49,87.81,86.12,86.45,576200,83.61
2012-09-24,85.91,87.73,84.94,86.33,673400,83.49
2012-09-17,86.22,87.35,85.97,86.04,728600,83.21
2012-09-10,85.34,87.54,84.86,86.11,695400,83.28
2012-09-04,85.17,87.06,85.,86.1,906200,83.27
2012-08-27,84.4,85.51,84.37,84.97,845500,82.18
2012-08-20,83.16,84.78,83.13,84.4,847100,81.63
2012-08-13,77.3,84.1,77.3,82.96,1005800,80.23
2012-08-06,76.03,77.17,75.98,76.7,423400,74.18
2012-07-30,76.3,77.32,74.6,75.75,458000,72.76
2012-07-23,76.2,76.75,74.77,76.36,381600,73.35
2012-07-16,76.44,77.16,75.7,76.56,559700,73.54
2012-07-09,75.21,76.55,74.12,76.42,432700,73.41
2012-07-02,75.68,76.81,74.94,75.31,433400,72.34
2012-06-25,75.23,75.54,73.2,75.52,699800,72.54
2012-06-18,75.49,76.94,75.47,75.6,728900,72.62
2012-06-11,75.95,76.38,75.37,75.77,874800,72.78
2012-06-04,74.95,77.37,74.32,75.75,857000,72.76
2012-05-29,78.29,78.29,74.76,74.82,633900,71.87
2012-05-21,76.21,77.75,75.96,77.58,393700,74.52
2012-05-14,76.49,78.03,76.13,76.31,608300,73.3
2012-05-07,75.95,77.48,75.03,76.77,511900,73.74
2012-04-30,79.4,80.31,75.78,75.99,672500,72.53
2012-04-23,79.36,79.81,77.74,79.37,572200,75.76
2012-04-16,79.52,80.46,78.79,79.97,490300,76.33
2012-04-09,80.46,81.12,79.13,79.25,663600,75.65
2012-04-02,81.35,81.97,80.81,81.12,659400,77.43
2012-03-26,80.31,81.66,79.94,81.36,544200,77.66
2012-03-19,77.7,80.24,77.49,80.,800400,76.36
2012-03-12,74.82,78.29,74.52,78.08,853200,74.53
2012-03-05,76.17,76.48,74.55,75.44,828700,72.01
2012-02-27,74.38,76.35,74.,76.35,994800,72.88
2012-02-21,73.15,74.8,71.81,74.74,1178400,71.34
2012-02-13,79.2,79.96,70.5,73.07,1825200,69.75
2012-02-06,79.16,80.24,78.44,78.84,381900,75.26
2012-01-30,78.25,80.38,77.77,79.56,421900,75.48
2012-01-23,80.29,81.4,78.35,78.59,589000,74.56
2012-01-17,79.33,81.21,79.31,80.38,524000,76.26
2012-01-09,77.6,79.23,77.27,78.83,325400,74.79
2012-01-03,79.07,79.1,76.84,77.42,513400,73.45
2011-12-27,78.86,78.98,78.11,78.17,306400,74.16
2011-12-19,76.99,79.24,76.44,78.8,482900,74.76
2011-12-12,77.4,77.59,76.01,76.76,564000,72.83
2011-12-05,75.57,77.89,75.44,77.42,588800,73.45
2011-11-28,74.1,76.44,73.74,74.9,718200,71.06
2011-11-21,72.99,74.46,71.28,73.03,712600,69.29
2011-11-14,76.8,76.91,71.24,74.29,1527800,70.48
2011-11-07,78.77,79.08,75.89,76.87,708000,72.93
2011-10-31,76.57,79.59,75.7,78.59,754700,74.11
2011-10-24,76.82,78.29,75.65,76.83,677000,72.45
2011-10-17,75.36,76.66,74.06,76.52,442400,72.16
2011-10-10,73.67,75.74,73.19,75.4,421800,71.1
2011-10-03,72.23,73.54,70.,72.84,744800,68.69
2011-09-26,74.91,76.46,72.89,72.89,730000,68.73
2011-09-19,72.77,74.81,70.9,74.24,786900,70.01
2011-09-12,70.21,74.74,69.19,73.6,747800,69.4
2011-09-06,69.67,72.62,69.34,70.76,734000,66.73
2011-08-29,69.67,72.78,69.67,71.28,737500,67.22
2011-08-22,68.87,69.54,66.43,69.2,823900,65.25
2011-08-15,75.16,76.2,67.23,67.82,1267300,63.95
2011-08-08,72.03,75.02,70.08,74.83,1586400,70.56
2011-08-01,78.53,78.61,72.47,73.88,894600,69.2
2011-07-25,80.,80.1,77.31,77.92,553100,72.99
2011-07-18,75.96,80.25,75.36,80.,771600,74.93
2011-07-11,75.71,77.08,75.5,76.3,596500,71.47
2011-07-05,76.73,77.1,76.07,76.25,571000,71.42
2011-06-27,75.15,77.18,75.03,76.86,722600,71.99
2011-06-20,77.07,78.64,74.9,74.9,841900,70.16
2011-06-13,76.89,77.99,75.88,77.04,958700,72.16
2011-06-06,78.24,78.97,76.32,77.01,1011200,72.13
2011-05-31,78.85,79.84,77.94,78.18,931700,73.23
2011-05-23,77.26,78.44,75.52,78.26,600800,73.3
2011-05-16,75.45,78.36,75.,77.81,606200,72.88
2011-05-09,74.12,76.05,73.83,75.44,320100,70.66
2011-05-02,75.38,75.81,73.76,74.04,383000,68.95
2011-04-25,73.94,75.46,72.84,75.07,521100,69.91
2011-04-18,74.01,74.49,72.9,73.59,597900,68.53
2011-04-11,73.07,74.72,72.8,74.45,542900,69.33
2011-04-04,72.47,73.61,72.32,73.07,507300,68.04
2011-03-28,72.55,73.13,71.02,72.44,985900,67.46
2011-03-21,70.71,72.77,70.64,72.45,784700,67.47
2011-03-14,70.9,71.1,68.87,70.43,573100,65.58
2011-03-07,69.81,72.08,68.64,71.4,596300,66.49
2011-02-28,68.67,70.1,67.54,69.81,692000,65.01
2011-02-22,66.85,68.51,66.54,68.51,812200,63.8
2011-02-14,63.08,68.43,62.5,67.33,1067000,62.7
2011-02-07,62.65,63.79,62.09,62.73,637400,58.41
2011-01-31,61.91,62.63,61.16,62.44,795300,57.74
2011-01-24,63.35,64.,61.6,61.84,987900,57.19
2011-01-18,63.31,64.09,63.08,63.35,700700,58.58
2011-01-10,62.56,64.68,62.5,63.4,768500,58.63
2011-01-03,65.97,65.98,62.17,62.75,1030500,58.03
2010-12-27,65.6,66.28,65.27,65.65,318800,60.71
2010-12-20,65.86,66.,65.13,65.84,413600,60.89
2010-12-13,65.62,66.07,65.02,65.86,649000,60.91
2010-12-06,65.16,65.9,64.64,65.5,611800,60.57
2010-11-29,62.45,65.75,62.27,64.95,892300,60.06
2010-11-22,62.06,63.37,61.95,63.03,676200,58.29
2010-11-15,63.22,63.73,60.46,62.23,1374700,57.55
2010-11-08,64.22,64.48,62.63,62.89,596500,58.16
2010-11-01,64.35,64.89,63.4,64.41,457600,59.19
2010-10-25,63.28,64.55,62.,64.28,578700,59.08
2010-10-18,62.86,63.72,62.05,63.03,528400,57.93
2010-10-11,61.85,63.45,61.45,62.95,585300,57.85
2010-10-04,60.28,62.41,60.13,61.9,758300,56.89
2010-09-27,61.3,61.69,59.71,60.27,525500,55.39
2010-09-20,61.3,62.35,60.58,61.18,527300,56.23
2010-09-13,61.46,61.57,60.17,61.07,511600,56.13
2010-09-07,60.18,61.45,60.,61.29,589800,56.33
2010-08-30,58.46,60.38,57.8,60.38,659300,55.49
2010-08-23,59.86,60.79,57.71,58.33,864200,53.61
2010-08-16,57.82,59.82,57.37,59.65,1079400,54.82
2010-08-09,58.85,59.,57.2,58.15,934700,53.44
2010-08-02,61.02,61.02,58.4,58.8,916400,53.67
2010-07-26,62.99,63.75,60.35,61.43,617900,56.07
2010-07-19,61.68,62.97,60.54,62.78,740600,57.3
2010-07-12,62.36,62.9,61.45,61.51,557200,56.14
2010-07-06,59.98,62.77,59.81,62.36,995400,56.92
2010-06-28,61.96,62.25,59.34,59.68,1187600,54.47
2010-06-21,62.7,62.92,61.12,62.02,1132000,56.61
2010-06-14,56.38,63.33,56.32,62.1,1442500,56.68
2010-06-07,55.31,56.62,54.62,56.07,1071900,51.18
2010-06-01,54.81,56.42,54.72,55.28,1072200,50.46
2010-05-24,55.67,56.27,54.39,55.22,1163600,50.4
2010-05-17,57.94,58.69,53.27,55.95,1276600,51.07
2010-05-10,59.79,60.02,57.37,57.79,1337500,52.75
2010-05-03,61.13,61.42,57.,58.43,875700,52.97
2010-04-26,63.17,63.2,60.93,61.07,644300,55.36
2010-04-19,61.81,63.5,61.77,63.24,759400,57.33
2010-04-12,62.1,62.6,61.8,62.04,749900,56.24
2010-04-05,60.5,61.93,60.11,61.84,639100,56.06
2010-03-29,59.94,60.76,59.76,60.33,577800,54.69
2010-03-22,59.75,61.25,59.13,59.87,678000,54.27
2010-03-15,59.16,60.41,59.13,59.79,824700,54.2
2010-03-08,59.48,59.56,58.51,59.18,812200,53.65
2010-03-01,59.92,59.95,59.32,59.66,729000,54.08
2010-02-22,60.75,60.96,57.72,59.68,1522100,54.1
2010-02-16,59.14,61.2,59.02,60.55,654800,54.89
2010-02-08,59.55,60.76,58.7,59.02,587100,53.5
