Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,90.42,93.67,90.39,92.72,8868900,92.72
2014-02-18,90.46,91.68,89.7,90.07,5641500,90.07
2014-02-10,89.46,91.19,88.39,90.45,5023900,90.45
2014-02-03,87.8,89.74,85.89,89.5,6303000,89.1
2014-01-27,88.3,89.49,86.43,87.57,5873000,87.18
2014-01-21,91.2,92.11,87.82,88.15,7110400,87.76
2014-01-13,88.4,90.41,87.29,90.21,7601400,89.81
2014-01-06,88.88,88.92,85.77,88.17,7259400,87.78
2013-12-30,89.97,90.26,88.21,88.35,4149000,87.96
2013-12-23,87.88,89.99,87.27,89.9,3548300,89.5
2013-12-16,86.99,87.76,84.91,87.27,7409400,86.88
2013-12-09,88.52,88.52,85.85,86.37,5466800,85.99
2013-12-02,88.64,88.99,86.38,88.15,5853700,87.76
2013-11-25,92.46,92.7,86.79,88.42,6726800,87.72
2013-11-18,93.21,93.3,90.31,92.73,5443300,91.99
2013-11-11,93.78,94.81,90.78,92.98,5147300,92.24
2013-11-04,93.4,93.89,91.81,93.79,5031900,93.04
2013-10-28,92.71,94.77,92.12,93.,5168700,92.26
2013-10-21,94.12,94.91,92.31,92.9,6362200,92.16
2013-10-14,89.33,94.88,89.24,93.99,8208300,93.24
2013-10-07,89.28,90.29,86.3,90.02,5615000,89.3
2013-09-30,87.49,90.47,87.16,90.01,5853200,89.29
2013-09-23,87.16,89.25,86.57,88.82,5854900,88.11
2013-09-16,87.36,89.72,86.59,87.44,6322000,86.74
2013-09-09,85.18,87.18,85.18,86.72,6272200,86.03
2013-09-03,81.69,85.92,81.68,85.14,7144500,84.46
2013-08-26,81.83,83.33,80.68,80.94,4780200,80.3
2013-08-19,81.26,82.64,80.,81.67,4414200,80.71
2013-08-12,80.03,82.74,79.8,81.92,5205500,80.96
2013-08-05,82.87,83.01,80.26,80.49,5005400,79.54
2013-07-29,81.11,83.7,80.8,82.89,5586300,81.92
2013-07-22,82.36,85.02,81.15,81.91,6864200,80.95
2013-07-15,76.84,83.55,75.94,82.74,8040800,81.77
2013-07-08,74.62,77.22,74.31,76.84,5271100,75.94
2013-07-01,72.19,74.38,71.84,74.09,4625800,73.22
2013-06-24,71.84,72.99,70.25,71.66,6665100,70.82
2013-06-17,72.4,74.79,71.81,72.83,7218500,71.97
2013-06-10,74.11,74.39,70.88,71.6,6566000,70.76
2013-06-03,73.19,74.35,71.8,73.93,7822100,73.06
2013-05-28,75.87,76.18,73.02,73.03,6308700,71.86
2013-05-20,75.56,77.84,73.66,74.66,7771200,73.47
2013-05-13,76.74,77.41,74.88,75.74,7973100,74.53
2013-05-06,75.72,77.69,75.48,76.82,5175200,75.59
2013-04-29,73.56,76.4,72.94,75.72,6083100,74.51
2013-04-22,71.01,74.07,69.76,73.34,7551100,72.17
2013-04-15,74.61,74.61,69.08,69.95,10362500,68.83
2013-04-08,74.3,77.56,74.1,75.66,5411500,74.45
2013-04-01,75.08,75.23,72.7,74.35,6441900,73.16
2013-03-25,74.72,75.64,73.36,74.89,6260800,73.69
2013-03-18,77.33,77.79,73.01,74.37,9151600,73.18
2013-03-11,77.57,79.74,77.01,79.4,5473800,78.13
2013-03-04,77.49,78.44,75.72,77.96,5243900,76.71
2013-02-25,78.36,78.95,74.99,77.64,5572500,76.4
2013-02-19,80.09,80.55,76.55,77.79,5341600,76.55
2013-02-11,78.56,82.,77.81,80.03,6686200,78.75
2013-02-04,79.11,80.43,77.76,79.07,5975000,77.51
2013-01-28,79.73,79.99,77.55,79.7,6841900,78.12
2013-01-22,76.57,79.8,76.57,79.51,8047700,77.94
2013-01-14,73.39,76.73,72.19,76.5,6825100,74.99
2013-01-07,71.53,73.8,71.42,73.75,4739600,72.29
2012-12-31,67.87,72.22,67.64,72.01,5998700,70.59
2012-12-24,69.55,69.89,67.88,67.96,4140900,66.62
2012-12-17,69.23,72.,68.92,69.69,8207800,68.31
2012-12-10,71.72,73.51,67.6,68.91,11097400,67.55
2012-12-03,72.,72.49,70.71,71.83,4914700,70.41
2012-11-26,70.21,71.89,68.91,71.62,5409200,70.2
2012-11-19,68.95,71.21,68.84,71.18,4230000,69.5
2012-11-12,68.47,70.,66.85,68.22,7283400,66.61
2012-11-05,68.65,71.36,67.32,68.37,7251400,66.76
2012-10-31,70.3,70.85,68.59,68.77,6582800,67.15
2012-10-22,73.63,74.2,69.75,70.1,5836500,68.45
2012-10-15,72.21,75.7,71.53,74.,6214400,72.25
2012-10-08,70.93,72.91,70.7,72.19,3975600,70.49
2012-10-01,72.99,73.68,70.72,71.49,5163200,69.8
2012-09-24,74.02,74.8,71.71,72.33,6189000,70.62
2012-09-17,77.29,78.27,73.75,75.02,7108500,73.25
2012-09-10,73.05,78.47,72.61,77.6,6108400,75.77
2012-09-04,72.12,73.65,70.67,73.17,6795900,71.44
2012-08-27,74.68,75.43,71.47,72.38,5396400,70.67
2012-08-20,74.49,74.99,73.72,74.59,4697800,72.56
2012-08-13,75.13,75.68,73.3,74.78,5484500,72.75
2012-08-06,72.67,75.47,72.04,75.35,6417900,73.3
2012-07-30,72.82,72.86,69.85,72.39,6217500,70.42
2012-07-23,68.37,73.47,67.04,72.96,8453500,70.98
2012-07-16,66.27,70.44,65.54,69.33,8551700,67.44
2012-07-09,64.83,66.93,64.19,66.72,6287500,64.91
2012-07-02,64.86,67.38,64.48,65.17,6040200,63.4
2012-06-25,60.75,65.48,59.12,64.91,9739800,63.14
2012-06-18,65.49,67.69,61.2,61.56,8562100,59.89
2012-06-11,65.5,66.77,63.49,66.46,7628800,64.65
2012-06-04,62.1,66.5,60.75,64.54,9242200,62.78
2012-05-29,66.06,68.13,60.87,62.07,11026400,60.38
2012-05-21,64.82,67.77,64.21,65.41,7564500,63.37
2012-05-14,67.82,67.82,63.88,64.06,8643300,62.06
2012-05-07,69.81,71.18,68.37,68.8,6486500,66.66
2012-04-30,73.34,76.19,69.45,69.96,6875000,67.78
