Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,109.07,109.97,108.5,109.27,400000,109.27
2014-02-18,109.43,110.12,107.82,108.77,267500,108.77
2014-02-10,107.53,109.9,106.31,109.57,462300,109.13
2014-02-03,99.67,108.79,96.24,108.66,600000,108.22
2014-01-27,100.3,101.38,98.48,100.15,384800,99.74
2014-01-21,108.12,108.41,100.,100.01,371000,99.6
2014-01-13,106.99,108.52,105.67,107.67,184400,107.23
2014-01-06,109.07,109.57,107.,107.53,198900,107.09
2013-12-30,108.24,109.74,108.,108.76,195500,108.32
2013-12-23,107.46,109.24,106.91,108.27,115100,107.83
2013-12-16,104.42,107.93,103.38,106.89,277500,106.46
2013-12-09,106.02,106.81,102.88,103.79,239500,103.37
2013-12-02,105.86,106.22,103.41,105.96,244600,105.53
2013-11-25,106.45,106.91,105.29,106.15,120600,105.72
2013-11-18,107.49,107.54,104.22,106.24,191500,105.81
2013-11-11,105.09,107.45,103.99,107.04,236900,106.16
2013-11-04,104.5,105.76,103.13,104.96,177500,104.1
2013-10-28,101.9,104.75,100.94,103.8,290200,102.95
2013-10-21,102.,102.76,100.72,102.09,302600,101.25
2013-10-14,98.62,101.87,97.3,101.59,505900,100.76
2013-10-07,98.85,99.33,94.53,98.93,264700,98.12
2013-09-30,98.64,100.91,98.31,99.59,184400,98.77
2013-09-23,100.63,101.02,99.07,99.72,192900,98.9
2013-09-16,100.,101.67,99.11,100.84,336800,100.01
2013-09-09,96.01,99.68,96.01,99.52,161800,98.7
2013-09-03,95.4,96.9,93.35,95.89,236800,95.1
2013-08-26,95.71,96.2,93.45,93.6,220800,92.83
2013-08-19,98.35,98.63,94.82,95.67,241500,94.88
2013-08-12,96.,99.05,95.34,98.39,282900,97.2
2013-08-05,95.45,96.6,93.89,96.47,231900,95.3
2013-07-29,93.98,96.17,93.77,95.8,321600,94.64
2013-07-22,95.61,96.5,93.57,94.09,258800,92.95
2013-07-15,93.5,95.77,92.37,95.44,402700,94.28
2013-07-08,92.36,94.07,91.17,93.26,215400,92.13
2013-07-01,89.83,92.2,89.7,92.07,203400,90.95
2013-06-24,86.81,90.09,86.02,89.38,286300,88.3
2013-06-17,91.72,92.63,86.73,88.07,316300,87.
