Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.15,13.52,13.15,13.39,7900700,13.39
2014-02-18,13.04,13.18,12.95,13.09,5673200,13.09
2014-02-10,13.11,13.61,12.95,13.03,6573700,13.03
2014-02-03,13.11,13.38,12.71,13.07,8660200,13.07
2014-01-27,13.52,13.64,13.01,13.16,7895600,13.16
2014-01-21,13.73,14.01,13.48,13.52,9399600,13.52
2014-01-13,15.,15.02,13.31,13.61,14516400,13.61
2014-01-06,15.82,15.87,14.91,14.97,10460200,14.97
2013-12-30,15.86,16.04,15.51,15.79,5347400,15.79
2013-12-23,15.68,16.02,15.55,15.79,5170300,15.79
2013-12-16,15.55,15.9,14.98,15.73,9757300,15.61
2013-12-09,15.99,16.21,15.43,15.43,8828700,15.31
2013-12-02,15.6,16.,15.27,15.96,8755600,15.84
2013-11-25,15.51,15.69,15.19,15.53,6125700,15.41
2013-11-18,15.57,15.67,14.87,15.48,13194800,15.36
2013-11-11,15.75,15.99,15.47,15.57,7820600,15.45
2013-11-04,16.2,16.34,15.46,15.73,6019600,15.61
2013-10-28,15.98,16.67,15.59,16.18,6777800,16.06
2013-10-21,16.04,16.26,15.68,16.01,6211300,15.89
2013-10-14,14.87,15.92,14.83,15.91,6719800,15.79
2013-10-07,14.68,15.,14.22,14.92,6022400,14.81
2013-09-30,14.48,15.23,14.37,14.8,7618200,14.69
2013-09-23,14.78,14.98,14.51,14.59,9138800,14.48
2013-09-16,14.69,15.22,14.54,14.81,11195900,14.58
2013-09-09,14.09,14.87,14.04,14.43,7340000,14.21
2013-09-03,14.1,14.23,13.72,14.07,6130800,13.85
2013-08-26,14.24,14.46,13.75,13.91,8674000,13.69
2013-08-19,16.74,17.01,13.9,14.2,17216100,13.98
2013-08-12,16.78,17.3,16.51,16.84,5029300,16.58
2013-08-05,17.03,17.24,16.67,16.95,5355100,16.69
2013-07-29,16.42,17.22,16.26,17.,5238400,16.74
2013-07-22,16.59,16.68,15.99,16.54,5116300,16.28
2013-07-15,16.67,16.81,16.33,16.47,4632300,16.21
2013-07-08,15.9,16.74,15.9,16.73,5655700,16.47
2013-07-01,15.93,16.53,15.58,15.98,5473100,15.73
2013-06-24,15.49,16.11,15.15,15.87,7662700,15.62
2013-06-17,16.21,16.63,15.42,15.59,11368200,15.23
2013-06-10,15.41,16.08,15.27,16.04,7853300,15.67
2013-06-03,15.01,15.5,14.61,15.48,8075200,15.12
2013-05-28,15.08,15.16,14.81,15.01,9161000,14.66
2013-05-20,14.5,15.5,14.43,14.94,10812500,14.6
2013-05-13,14.01,14.63,13.99,14.51,8979700,14.18
2013-05-06,13.45,14.27,13.34,14.07,9765100,13.75
2013-04-29,12.82,13.55,12.67,13.52,6598800,13.21
2013-04-22,12.93,13.03,12.26,12.82,11280300,12.53
2013-04-15,13.55,13.59,12.41,12.94,8071800,12.64
2013-04-08,13.09,13.99,12.96,13.7,7197300,13.38
2013-04-01,13.5,13.53,12.99,13.1,6404600,12.8
2013-03-25,13.43,13.52,13.2,13.42,10378900,13.11
2013-03-18,13.26,13.59,13.19,13.53,8865000,13.1
2013-03-11,12.9,13.65,12.85,13.4,10503100,12.98
2013-03-04,13.,13.38,12.08,12.96,17937500,12.55
2013-02-25,13.37,13.73,12.93,12.99,11685600,12.58
2013-02-19,14.76,15.19,13.09,13.27,37714800,12.85
2013-02-11,13.04,13.23,12.56,12.95,8940100,12.54
2013-02-04,13.48,13.73,12.97,12.98,9250500,12.57
2013-01-28,13.23,13.77,13.08,13.51,14105100,13.08
2013-01-22,13.,13.3,12.79,12.97,17522400,12.56
2013-01-14,11.98,13.02,11.9,13.,9944200,12.59
2013-01-07,11.69,12.01,11.58,11.98,7380500,11.6
2012-12-31,11.06,11.95,11.06,11.76,8535900,11.39
2012-12-24,11.48,11.7,11.04,11.1,5701000,10.75
2012-12-17,11.65,12.39,11.4,11.53,11977800,11.16
2012-12-10,11.37,12.,11.1,11.69,16091100,11.32
2012-12-03,11.8,11.82,11.15,11.4,11226900,10.93
2012-11-26,11.92,11.97,11.6,11.7,9080700,11.22
2012-11-19,11.86,12.23,11.58,11.91,9199800,11.42
2012-11-12,11.16,12.15,10.94,11.73,20248400,11.25
2012-11-05,11.42,11.91,11.14,11.15,14336000,10.69
2012-10-31,11.46,11.75,11.41,11.47,11670500,11.
2012-10-22,11.22,11.52,11.11,11.44,8904100,10.97
2012-10-15,11.16,11.63,11.1,11.23,8832500,10.77
2012-10-08,11.63,11.79,11.06,11.1,9452500,10.65
2012-10-01,11.64,11.9,11.29,11.63,11678000,11.16
2012-09-24,12.3,12.42,11.09,11.52,20312700,11.05
2012-09-17,12.25,12.44,11.9,12.36,19521800,11.74
2012-09-10,11.68,12.7,11.21,12.21,26349200,11.6
2012-09-04,10.93,11.7,10.68,11.64,13545600,11.06
2012-08-27,10.94,10.98,10.57,10.92,11625600,10.38
2012-08-20,11.38,11.4,10.78,10.85,13796600,10.31
2012-08-13,13.28,13.62,10.99,11.34,30302000,10.78
2012-08-06,12.97,13.49,12.93,13.41,6783700,12.74
2012-07-30,12.47,12.99,12.4,12.93,11828800,12.29
2012-07-23,12.29,12.61,12.1,12.47,14627200,11.85
2012-07-16,12.45,12.95,12.25,12.47,8127000,11.85
2012-07-09,13.13,13.2,12.34,12.41,8475300,11.79
2012-07-02,13.1,13.3,12.9,13.22,7248700,12.56
2012-06-25,12.64,13.06,12.22,13.05,10320700,12.4
2012-06-18,12.63,13.11,12.52,12.75,10846900,12.12
2012-06-11,12.94,13.01,12.48,12.67,8013100,11.94
2012-06-04,12.82,13.06,12.53,12.86,12992900,12.12
2012-05-29,13.58,13.7,12.71,12.76,13200100,12.02
2012-05-21,13.09,13.7,12.94,13.41,11657600,12.63
2012-05-14,14.84,15.24,13.02,13.07,20286800,12.31
2012-05-07,14.83,15.18,14.69,14.92,9503700,14.06
2012-04-30,15.71,15.73,14.81,14.86,8948000,14.
2012-04-23,15.57,15.88,15.14,15.76,7511900,14.85
2012-04-16,15.61,16.09,15.53,15.66,6679100,14.75
2012-04-09,15.81,15.93,15.38,15.53,10176600,14.63
2012-04-02,16.24,16.59,15.89,16.06,11598300,15.13
2012-03-26,16.72,16.9,16.16,16.19,9568600,15.25
2012-03-19,16.36,16.93,16.23,16.58,7971700,15.62
2012-03-12,15.4,16.55,15.19,16.42,11593100,15.37
2012-03-05,15.38,15.6,14.88,15.4,9789500,14.41
2012-02-27,15.19,16.08,14.37,15.36,19810000,14.38
2012-02-21,15.18,15.48,15.01,15.28,5588700,14.3
