Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,93.24,94.24,92.56,92.57,1103100,92.57
2014-02-18,93.22,94.54,92.45,93.,1149400,93.
2014-02-10,92.03,94.34,91.54,93.15,1788700,93.15
2014-02-03,92.87,94.44,89.87,92.24,1277200,92.24
2014-01-27,90.51,92.94,89.93,92.71,1541700,92.71
2014-01-21,92.28,93.53,90.26,90.28,971000,90.28
2014-01-13,91.55,92.75,90.53,91.95,935700,91.95
2014-01-06,87.03,92.97,86.73,91.93,1569800,91.93
2013-12-30,89.25,89.99,88.11,88.8,1119400,88.8
2013-12-23,89.99,90.,88.46,89.19,1119500,89.19
2013-12-16,86.91,90.42,86.,89.8,1325500,89.17
2013-12-09,88.01,88.49,86.23,86.49,982600,85.88
2013-12-02,88.31,89.07,86.92,88.07,1113800,87.45
2013-11-25,89.63,90.23,87.61,88.44,1432700,87.82
2013-11-18,91.4,91.48,88.81,89.49,831800,88.86
2013-11-11,89.5,91.18,88.1,91.16,978600,90.52
2013-11-04,92.08,93.,88.04,89.63,1510000,89.
2013-10-28,91.22,92.74,90.67,91.72,915900,91.07
2013-10-21,90.31,91.37,88.33,91.21,806600,90.57
2013-10-14,87.29,90.75,85.6,90.43,1074300,89.79
2013-10-07,85.03,87.74,84.89,87.51,936000,86.89
2013-09-30,86.07,86.51,84.55,85.49,1381100,84.89
2013-09-23,86.75,88.48,86.36,86.62,871200,86.01
2013-09-16,85.56,89.46,84.91,86.75,1323100,85.52
2013-09-09,83.59,85.15,82.13,84.68,1061200,83.48
2013-09-03,85.19,85.24,82.38,83.6,719400,82.41
2013-08-26,83.97,84.92,82.73,84.42,760700,83.22
2013-08-19,82.79,84.27,81.77,84.,661500,82.81
2013-08-12,86.05,86.53,82.17,82.87,715100,81.7
2013-08-05,88.3,88.4,86.33,86.43,926900,85.2
2013-07-29,87.04,88.78,86.52,88.6,753100,87.34
2013-07-22,86.78,87.44,85.61,87.24,956900,86.
2013-07-15,83.8,86.96,83.61,86.85,973400,85.62
2013-07-08,80.22,83.89,79.84,83.78,979800,82.59
2013-07-01,81.62,82.26,78.67,79.73,1033300,78.6
2013-06-24,79.1,83.46,78.36,81.76,1707000,80.6
2013-06-17,80.83,82.5,77.49,79.59,1208600,77.85
