Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,37.24,38.04,37.22,37.59,3054700,37.59
2014-02-18,37.88,37.89,36.64,37.22,2412200,37.22
2014-02-10,37.96,38.7,36.71,37.84,3946200,37.84
2014-02-03,37.09,38.34,36.23,38.05,4504600,38.05
2014-01-27,38.03,38.3,36.95,37.02,3327900,37.02
2014-01-21,39.54,40.21,38.03,38.05,4435300,38.05
2014-01-13,38.27,40.,37.62,39.34,4993800,39.34
2014-01-06,36.83,38.41,36.8,38.39,4583700,38.39
2013-12-30,36.64,36.88,36.4,36.55,1935200,36.55
2013-12-23,36.5,36.94,36.43,36.61,1403300,36.61
2013-12-16,35.21,36.61,34.9,36.39,3396500,36.39
2013-12-09,35.6,35.71,34.83,34.99,3529400,34.99
2013-12-02,36.31,36.51,34.89,35.45,4331400,35.45
2013-11-25,36.56,36.99,36.18,36.23,2453600,36.23
2013-11-18,36.03,36.42,35.52,36.41,3575700,36.31
2013-11-11,35.64,36.16,34.97,36.03,3232700,35.93
2013-11-04,33.84,35.81,33.57,35.72,3942700,35.62
2013-10-28,33.7,34.29,33.48,33.75,3026500,33.66
2013-10-21,34.53,34.84,33.09,33.71,5779700,33.62
2013-10-14,33.22,34.92,33.09,34.67,3202800,34.58
2013-10-07,32.61,33.52,31.97,33.51,3570000,33.42
2013-09-30,32.25,33.03,32.07,32.99,3229900,32.9
2013-09-23,32.84,32.97,32.11,32.6,3618400,32.51
2013-09-16,33.71,34.44,32.85,32.94,4475800,32.85
2013-09-09,32.91,33.54,32.73,33.31,2926800,33.22
2013-09-03,32.55,33.23,31.59,32.91,4498700,32.82
2013-08-26,34.21,34.36,31.92,32.02,3064900,31.93
2013-08-19,34.52,34.63,33.73,34.24,2489600,34.04
2013-08-12,34.72,35.24,34.27,34.6,2364200,34.4
2013-08-05,35.42,35.72,34.63,34.97,3044000,34.77
2013-07-29,34.89,35.81,34.39,35.44,3068000,35.23
2013-07-22,34.74,35.44,34.45,34.89,3230400,34.69
2013-07-15,34.04,36.29,33.06,34.83,3654900,34.63
2013-07-08,34.5,34.64,33.27,33.97,4460500,33.77
2013-07-01,31.79,34.36,31.63,34.31,4842100,34.11
2013-06-24,30.88,31.86,30.17,31.57,4529400,31.39
2013-06-17,31.28,31.89,30.75,31.23,4624200,31.05
2013-06-10,32.38,32.58,30.87,31.09,3985900,30.91
2013-06-03,32.14,32.67,31.35,32.25,4498600,32.06
2013-05-28,32.4,32.84,31.91,32.09,5176900,31.9
2013-05-20,31.78,32.7,31.25,31.94,5306400,31.66
2013-05-13,30.41,31.91,30.33,31.88,3572200,31.6
2013-05-06,29.39,31.04,29.33,30.46,4355000,30.19
2013-04-29,29.5,29.69,28.85,29.37,3312800,29.11
2013-04-22,28.29,29.52,27.77,29.05,4550100,28.79
2013-04-15,28.63,28.78,27.18,28.31,6087700,28.06
2013-04-08,28.13,29.24,27.82,28.79,4739200,28.53
2013-04-01,28.81,28.88,26.97,28.04,6858300,27.79
2013-03-25,28.34,28.82,28.22,28.81,4131200,28.55
2013-03-18,28.7,29.07,28.05,28.23,4085800,27.98
2013-03-11,29.43,29.91,28.91,29.06,5234600,28.8
2013-03-04,27.56,29.67,27.51,29.35,5602300,29.09
2013-02-25,28.05,28.17,26.93,27.55,5415500,27.31
2013-02-19,27.8,27.93,27.3,27.9,6375900,27.6
2013-02-11,29.15,29.55,27.98,28.12,4780600,27.82
2013-02-04,28.86,29.3,28.46,29.25,4828100,28.94
2013-01-28,29.41,29.47,28.04,29.1,6118300,28.79
2013-01-22,29.02,29.6,28.76,29.35,5846100,29.04
2013-01-14,28.31,29.98,27.93,29.14,6049400,28.83
2013-01-07,29.25,29.33,27.92,28.31,6541500,28.01
2012-12-31,27.7,29.45,27.7,29.42,7219500,29.11
2012-12-24,28.2,28.42,27.44,27.79,3063500,27.49
2012-12-17,27.23,28.97,27.16,28.27,6466100,27.97
2012-12-10,27.11,28.1,26.95,27.07,4776900,26.78
2012-12-03,27.15,27.19,25.99,27.18,4496800,26.89
2012-11-26,27.24,27.33,26.24,27.15,3244900,26.86
2012-11-19,26.43,27.58,26.39,27.48,4961600,27.14
2012-11-12,26.67,26.82,25.3,26.02,4886400,25.69
2012-11-05,27.02,27.79,26.18,26.56,5406600,26.23
2012-10-31,27.38,27.82,26.88,27.14,4799000,26.8
2012-10-22,27.78,28.26,26.51,27.1,8469500,26.76
2012-10-15,29.35,29.57,28.34,28.63,7771200,28.27
2012-10-08,30.12,30.64,28.49,29.17,8160000,28.8
2012-10-01,28.49,30.59,28.29,30.31,6333100,29.93
2012-09-24,28.15,29.15,27.94,28.27,6370600,27.92
2012-09-17,29.81,29.85,28.36,28.43,7725600,28.07
2012-09-10,27.44,30.79,27.41,29.91,9789500,29.54
2012-09-04,25.18,28.14,25.14,27.5,7896400,27.16
2012-08-27,25.24,25.41,24.67,25.17,3540600,24.85
2012-08-20,25.49,25.76,24.8,25.1,3915700,24.74
2012-08-13,24.7,25.53,24.62,25.49,3712900,25.12
2012-08-06,24.2,24.89,24.,24.83,4165700,24.47
2012-07-30,23.66,24.35,22.88,24.09,5004900,23.74
2012-07-23,22.99,23.99,22.34,23.78,5755300,23.43
2012-07-16,24.68,25.18,23.18,23.52,6790000,23.18
2012-07-09,24.11,24.93,23.52,24.75,5771300,24.39
2012-07-02,24.67,25.,23.93,24.22,4214900,23.87
2012-06-25,22.65,24.23,21.72,24.23,5843300,23.88
2012-06-18,22.41,23.65,22.2,23.02,5966200,22.69
2012-06-11,22.51,22.54,21.16,22.43,6277900,22.1
2012-06-04,22.05,22.21,20.96,22.18,5662500,21.86
2012-05-29,22.66,23.15,21.59,21.86,7627800,21.54
2012-05-21,21.83,23.,21.63,22.49,6083200,22.11
2012-05-14,23.33,23.49,21.56,21.72,6697100,21.36
2012-05-07,23.46,24.1,22.67,23.7,5916800,23.3
2012-04-30,24.66,24.81,23.63,23.75,5628700,23.35
2012-04-23,22.62,24.83,22.6,24.8,8940700,24.39
2012-04-16,22.83,23.6,22.46,22.6,7561200,22.22
2012-04-09,23.59,23.65,22.25,22.58,9263500,22.2
2012-04-02,23.67,24.48,23.67,24.06,6293600,23.66
2012-03-26,24.1,24.45,23.76,24.17,8475300,23.77
2012-03-19,24.38,24.93,23.,23.73,9442300,23.33
2012-03-12,22.35,24.88,21.65,24.38,15197600,23.97
2012-03-05,22.93,22.93,21.36,22.43,7831900,22.06
2012-02-27,22.09,23.72,22.01,22.91,8317400,22.53
2012-02-21,22.9,23.55,21.88,22.3,7748500,21.88
2012-02-13,22.36,22.87,21.41,22.69,6727300,22.26
2012-02-06,22.09,22.92,21.9,22.03,7431500,21.61
2012-01-30,20.35,22.41,20.06,22.28,6919600,21.86
2012-01-23,21.05,21.81,20.22,20.61,8996900,20.22
2012-01-17,21.21,21.69,19.81,21.29,11102300,20.89
2012-01-09,19.81,21.22,19.7,20.8,8960400,20.41
2012-01-03,18.11,20.,18.07,19.75,9657200,19.38
2011-12-27,17.81,17.92,17.01,17.7,4697400,17.37
2011-12-19,16.53,17.9,15.79,17.75,7824800,17.42
2011-12-12,17.04,17.25,16.15,16.48,9393900,16.17
2011-12-05,19.01,19.48,17.19,17.22,9171700,16.9
2011-11-28,17.21,18.96,16.6,18.57,6208000,18.22
2011-11-21,17.72,17.81,16.41,16.53,5107100,16.17
2011-11-14,19.14,19.18,17.7,18.09,7370500,17.7
2011-11-07,19.5,20.3,18.67,19.28,6531100,18.86
2011-10-31,20.25,20.34,18.44,19.49,7189400,19.07
2011-10-24,18.57,21.31,18.52,20.63,8944600,20.18
2011-10-17,18.72,19.68,17.95,18.57,10789900,18.17
2011-10-10,18.64,19.89,18.39,19.04,9116300,18.63
2011-10-03,17.75,19.25,16.6,18.14,8349500,17.75
2011-09-26,17.3,19.35,17.2,17.95,8566800,17.56
2011-09-19,19.38,19.6,16.51,16.97,7964400,16.6
2011-09-12,18.12,20.28,17.89,19.92,6542900,19.49
2011-09-06,17.24,19.79,17.23,18.25,8088500,17.85
2011-08-29,19.14,20.22,18.09,18.22,7078700,17.82
2011-08-22,17.49,19.74,17.,18.79,8643300,18.33
2011-08-15,18.56,19.56,16.86,16.91,8914200,16.5
2011-08-08,20.55,21.15,17.4,18.31,11689200,17.87
2011-08-01,24.87,25.,21.15,21.51,6950200,20.99
2011-07-25,25.58,25.93,24.17,24.49,4875500,23.9
2011-07-18,24.5,26.31,23.76,25.95,5488800,25.32
2011-07-11,25.24,25.35,24.37,24.64,5304700,24.04
2011-07-05,26.4,26.43,25.22,25.67,5130500,25.05
2011-06-27,25.,26.52,24.7,26.41,5042900,25.77
2011-06-20,26.01,26.35,24.63,25.,5939400,24.39
2011-06-13,25.52,26.18,25.03,26.18,5636600,25.55
2011-06-06,25.7,25.96,24.78,25.18,4877100,24.57
2011-05-31,28.28,28.33,25.67,25.85,7197500,25.22
2011-05-23,27.54,28.04,26.92,27.99,3457100,27.31
2011-05-16,27.37,28.85,27.3,27.89,4668400,27.2
2011-05-09,28.14,28.79,27.38,27.47,4561300,26.79
2011-05-02,28.28,28.61,27.83,28.17,5451400,27.48
2011-04-25,27.25,28.32,27.25,28.19,4606700,27.5
2011-04-18,27.84,28.21,26.75,27.1,6983100,26.43
2011-04-11,29.6,29.89,28.07,28.14,6995100,27.45
2011-04-04,29.5,30.13,29.,29.65,5447600,28.92
2011-03-28,29.21,29.55,28.59,29.2,5603300,28.48
2011-03-21,30.24,30.45,28.46,29.21,12521100,28.49
2011-03-14,28.72,30.23,27.55,29.59,7916300,28.86
2011-03-07,29.42,30.02,28.43,29.,4337600,28.29
2011-02-28,30.95,31.03,29.05,29.4,4137000,28.68
2011-02-22,31.13,31.28,29.7,30.82,5253900,30.06
2011-02-14,32.45,33.14,31.5,31.74,4304500,30.95
2011-02-07,31.68,32.92,31.16,32.53,4564800,31.72
2011-01-31,29.67,31.63,29.51,31.5,5639900,30.72
2011-01-24,29.43,30.56,28.51,29.58,5362600,28.84
2011-01-18,28.71,29.92,27.38,29.5,6702900,28.77
2011-01-10,28.43,29.45,28.15,28.92,5400200,28.2
2011-01-03,29.94,30.8,28.,28.8,8149600,28.08
2010-12-27,28.57,29.82,28.53,29.51,2955000,28.78
2010-12-20,26.97,29.36,26.8,28.69,6556000,27.98
2010-12-13,27.53,27.53,25.72,27.04,7272900,26.37
2010-12-06,25.55,27.67,25.3,27.58,6032900,26.89
2010-11-29,23.43,25.86,23.25,25.74,6224600,25.1
2010-11-22,23.92,24.1,23.29,23.58,4879300,22.99
2010-11-15,25.17,25.66,23.68,24.16,6165000,23.55
2010-11-08,26.37,26.68,24.83,25.11,5385700,24.47
2010-11-01,25.13,27.72,24.23,26.47,7838300,25.8
2010-10-25,26.55,26.57,24.87,25.01,5946300,24.38
2010-10-18,24.27,26.93,23.89,26.2,11342000,25.54
2010-10-11,26.82,27.77,24.19,24.38,8454800,23.76
2010-10-04,26.03,28.06,25.82,26.83,7704800,26.15
2010-09-27,26.02,26.51,25.4,26.1,5645900,25.44
2010-09-20,26.02,26.55,24.72,26.04,5595200,25.38
2010-09-13,25.04,26.48,24.8,25.96,9004400,25.3
2010-09-07,23.85,24.97,23.37,24.52,5068700,23.9
2010-08-30,22.62,24.54,22.05,24.18,5931200,23.57
2010-08-23,24.23,24.6,21.94,22.67,5841700,22.09
2010-08-16,24.24,25.1,23.59,24.,5448900,23.38
2010-08-09,26.,26.26,23.94,24.39,5616100,23.76
2010-08-02,26.5,26.77,25.17,25.85,4699600,25.18
2010-07-26,25.18,27.05,24.88,25.95,6224700,25.28
2010-07-19,23.38,25.15,22.32,25.04,8965000,24.4
2010-07-12,25.12,26.37,23.13,23.31,6863200,22.71
2010-07-06,22.97,25.54,22.37,25.46,9293700,24.8
2010-06-28,25.67,25.7,21.79,22.44,8793900,21.86
2010-06-21,26.62,26.63,24.28,25.51,7136600,24.85
2010-06-14,25.98,26.57,25.51,26.2,5352900,25.53
2010-06-07,25.16,25.92,24.3,25.89,7043600,25.22
2010-06-01,26.58,27.59,24.92,25.03,7364800,24.39
2010-05-24,26.21,27.73,24.39,26.95,8047600,26.26
2010-05-17,29.8,30.25,25.38,26.99,11230600,26.29
2010-05-10,28.97,32.02,28.32,29.82,8182300,29.04
2010-05-03,29.87,30.49,26.29,27.46,7360200,26.74
2010-04-26,29.43,29.97,27.68,29.6,7790200,28.83
2010-04-19,28.12,31.42,27.98,29.44,9343600,28.67
2010-04-12,28.91,30.42,27.64,28.48,8427000,27.74
2010-04-05,27.3,29.41,27.05,28.65,6618200,27.9
2010-03-29,26.7,27.23,26.15,27.16,4302000,26.45
2010-03-22,26.39,27.65,26.16,26.5,7552000,25.81
2010-03-15,26.72,28.39,26.72,27.18,6977300,26.47
2010-03-08,25.02,28.,24.96,26.86,9206100,26.16
2010-03-01,23.78,25.09,23.3,25.06,5037300,24.41
2010-02-22,23.16,23.9,22.69,23.81,7436300,23.19
2010-02-16,22.71,23.12,22.08,23.03,8868900,22.42
2010-02-08,22.37,23.41,21.8,22.37,7341400,21.78
2010-02-01,24.46,24.68,21.44,22.49,11751100,21.89
2010-01-25,24.54,26.2,23.06,24.33,13488800,23.68
2010-01-19,23.28,25.89,23.,24.55,13275800,23.9
2010-01-11,23.11,23.99,22.11,23.39,8596900,22.77
2010-01-04,20.65,23.29,20.16,23.01,9093600,22.4
2009-12-28,20.63,20.91,20.07,20.29,3437300,19.75
2009-12-21,20.97,21.25,20.25,20.74,4246500,20.19
2009-12-14,22.4,22.4,20.04,21.01,8566700,20.45
2009-12-07,22.77,23.02,21.81,22.31,4423400,21.72
2009-11-30,22.63,24.09,22.3,22.8,11818100,22.2
2009-11-23,22.26,23.43,21.93,22.59,7814400,21.99
2009-11-16,20.44,22.45,20.3,22.04,10337900,21.45
2009-11-09,20.29,21.19,19.92,20.07,7014300,19.53
2009-11-02,19.3,20.88,19.14,19.93,9253600,19.39
2009-10-26,20.22,20.64,18.45,19.11,14249900,18.6
2009-10-19,21.78,22.44,20.05,20.99,12056900,20.42
2009-10-12,22.71,22.78,21.34,21.71,6982500,21.13
2009-10-05,21.44,22.66,21.07,22.5,5973700,21.89
2009-09-28,22.37,22.97,20.5,21.15,8215300,20.58
2009-09-21,23.41,24.,21.73,22.27,7676200,21.67
2009-09-14,21.63,24.43,21.32,23.71,10604400,23.07
2009-09-08,21.07,22.08,20.3,21.89,6930700,21.3
2009-08-31,23.11,23.5,20.04,20.76,11445300,20.2
2009-08-24,22.92,23.75,21.55,23.68,11347900,23.04
2009-08-17,20.18,22.95,19.64,22.64,10240800,22.02
2009-08-10,21.64,22.11,19.8,21.05,10280400,20.47
2009-08-03,19.98,22.07,18.92,21.78,12237900,21.18
2009-07-27,17.06,19.73,16.8,19.5,13460200,18.97
2009-07-20,16.39,17.19,14.5,17.05,14182300,16.58
2009-07-13,15.58,17.33,15.43,16.24,9829800,15.8
2009-07-06,15.98,16.41,14.61,15.2,11569600,14.78
2009-06-29,16.06,16.49,15.71,16.14,7284800,15.7
2009-06-22,16.,16.4,14.81,15.91,9853700,15.47
2009-06-15,16.43,16.85,14.89,16.27,12523300,15.82
2009-06-08,16.86,17.63,16.3,16.69,12702400,16.23
2009-06-01,13.09,17.16,12.76,16.97,43340800,16.51
2009-05-26,13.52,14.2,12.8,13.17,14770500,12.81
2009-05-18,15.43,16.21,13.41,13.71,17092500,13.23
2009-05-11,19.98,20.3,14.73,15.05,21095600,14.53
2009-05-04,14.16,20.86,14.14,20.77,23175500,20.05
2009-04-27,15.18,15.79,13.69,13.81,13653000,13.33
2009-04-20,16.95,17.05,13.43,15.96,25019400,15.41
2009-04-13,13.57,18.73,13.27,18.04,21749800,17.41
2009-04-06,13.22,14.21,10.5,14.14,15223100,13.65
2009-03-30,11.92,13.93,10.69,13.82,13911500,13.34
2009-03-23,13.16,14.15,12.04,12.58,13306400,12.14
2009-03-16,12.69,14.88,11.,12.05,15881300,11.63
2009-03-09,9.01,13.53,8.95,12.21,16949400,11.79
2009-03-02,11.45,12.43,8.76,9.36,15364100,9.03
2009-02-23,7.78,14.1,7.51,12.03,32971900,11.61
2009-02-17,8.03,8.14,6.,7.35,20846400,7.03
2009-02-09,12.41,13.65,8.59,8.72,23132800,8.34
2009-02-02,12.22,12.55,8.84,12.09,19390700,11.56
2009-01-26,14.82,15.83,12.1,12.26,12237400,11.73
2009-01-20,18.,19.22,12.44,14.97,16191200,14.32
2009-01-12,25.24,25.61,19.15,19.94,8561500,19.07
2009-01-05,29.47,29.48,25.37,25.56,5031800,24.45
2008-12-29,27.75,30.18,26.9,29.92,2649600,28.62
2008-12-22,29.01,29.28,26.88,27.68,2134200,26.48
2008-12-15,28.27,30.32,26.16,29.19,4972900,27.92
2008-12-08,33.38,34.12,26.12,27.5,6228200,26.3
2008-12-01,30.43,32.33,24.45,32.15,6191600,30.75
2008-11-24,24.35,32.03,23.35,31.73,6896400,30.35
2008-11-17,32.99,34.19,19.75,22.45,9591200,21.08
2008-11-10,39.86,39.89,31.35,33.52,5811900,31.48
2008-11-03,39.63,43.33,36.26,38.68,6574600,36.32
2008-10-27,33.53,41.,33.07,40.14,5451500,37.69
2008-10-20,42.59,43.1,30.99,35.11,7016200,32.97
2008-10-13,39.5,46.48,33.21,41.88,10026500,39.33
2008-10-06,51.83,53.04,31.23,36.4,10821700,34.18
2008-09-29,47.01,57.75,38.75,54.62,6392400,51.29
2008-09-22,57.77,58.8,46.37,50.48,4176000,47.4
2008-09-15,43.77,64.,41.45,59.2,14845700,55.59
2008-09-08,48.37,51.82,43.07,47.31,12002000,44.43
2008-09-02,43.36,45.61,42.49,45.42,7621300,42.65
2008-08-25,41.94,42.54,38.34,41.89,5552900,39.34
2008-08-18,42.82,42.83,38.17,42.71,5821900,39.34
2008-08-11,44.3,47.07,38.9,42.96,8273300,39.57
2008-08-04,42.01,45.93,40.71,44.31,6175300,40.81
2008-07-28,38.31,42.42,36.2,42.01,8137700,38.69
2008-07-21,36.01,45.41,31.49,38.32,13907100,35.29
2008-07-14,31.62,35.45,25.6,34.7,13231100,31.96
2008-07-07,35.45,36.71,30.,30.94,11325400,28.5
2008-06-30,37.06,37.88,34.33,34.92,7774200,32.16
2008-06-23,37.45,39.42,35.27,37.04,10234700,34.11
2008-06-16,43.99,45.23,32.34,37.27,18958200,34.33
2008-06-09,46.51,47.34,42.3,44.16,6386500,40.67
2008-06-02,52.28,52.28,46.21,46.32,4310300,42.66
2008-05-27,53.79,54.67,51.11,52.21,3718600,48.08
2008-05-19,56.64,57.98,53.79,53.79,3497500,48.8
2008-05-12,55.58,57.5,55.15,56.01,2921500,50.82
2008-05-05,58.52,59.72,54.01,55.31,3157500,50.18
2008-04-28,55.27,60.66,54.7,58.64,3770900,53.2
2008-04-21,53.98,55.27,51.09,55.27,4077300,50.15
2008-04-14,53.44,56.5,50.14,54.4,5285700,49.36
2008-04-07,57.03,57.94,53.45,53.94,3082600,48.94
2008-03-31,55.02,60.8,54.91,56.49,4744700,51.25
2008-03-24,62.38,64.43,54.64,54.94,4823400,49.85
2008-03-17,53.95,62.63,52.94,62.24,5640200,56.47
2008-03-10,55.08,60.82,54.19,55.83,3766500,50.65
2008-03-03,58.12,58.31,53.3,55.07,4104000,49.97
2008-02-25,61.18,63.77,57.65,58.13,2777400,52.74
2008-02-19,63.9,64.39,59.51,62.11,3445900,55.66
2008-02-11,64.09,65.5,61.61,63.23,3355000,56.67
2008-02-04,66.5,67.25,63.26,64.23,3506900,57.56
2008-01-28,62.86,70.,61.75,68.33,5638900,61.24
2008-01-22,54.3,66.2,54.3,62.56,8725300,56.07
2008-01-14,62.37,63.27,57.25,58.28,4379300,52.23
2008-01-07,59.04,63.52,57.,62.06,5040900,55.62
2007-12-31,61.71,63.18,58.32,58.8,3444700,52.7
2007-12-24,62.5,63.17,61.34,61.79,1636800,55.38
2007-12-17,62.9,64.69,60.02,62.03,4339300,55.59
2007-12-10,69.88,71.82,62.9,63.05,4237600,56.51
2007-12-03,70.12,70.98,68.53,69.55,2000800,62.33
2007-11-26,68.53,73.34,64.93,70.11,3583500,62.83
2007-11-19,67.33,69.2,64.34,68.39,2621700,60.62
2007-11-12,67.05,73.,67.02,68.55,3127300,60.76
2007-11-05,67.92,69.72,65.41,67.47,3439200,59.8
2007-10-29,73.6,73.8,67.59,68.21,2703800,60.46
2007-10-22,70.9,73.69,69.39,73.61,2697300,65.25
2007-10-15,75.21,75.51,70.09,71.73,3520100,63.58
2007-10-08,77.85,77.99,74.85,74.95,1454500,66.43
2007-10-01,75.7,78.76,75.13,77.8,1593900,68.96
2007-09-24,77.55,77.89,75.42,75.67,1801700,67.07
2007-09-17,75.76,80.73,75.17,77.84,2387300,68.99
2007-09-10,76.15,77.48,73.61,76.07,1995600,67.43
2007-09-04,78.75,79.33,75.81,75.89,1622000,67.27
2007-08-27,81.59,81.79,76.49,78.75,2158100,69.8
2007-08-20,80.45,82.74,78.95,81.94,2148500,71.95
2007-08-13,79.,83.46,75.95,80.5,4760300,70.68
2007-08-06,75.81,82.7,74.54,78.19,4821000,68.66
2007-07-30,77.97,81.22,75.37,75.45,4220300,66.25
2007-07-23,85.72,85.87,77.57,78.01,3834000,68.5
2007-07-16,89.64,90.47,84.04,84.83,2711700,74.49
