Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,67.23,68.25,67.05,67.72,1648100,67.72
2014-02-18,66.61,68.03,66.1,67.25,1906300,67.25
2014-02-10,64.3,66.6,62.92,66.47,2869000,66.47
2014-02-03,60.57,62.65,59.16,62.,2655400,62.
2014-01-27,62.77,62.77,60.27,60.73,2873100,60.73
2014-01-21,66.16,66.65,62.1,62.11,3511600,62.11
2014-01-13,66.5,68.39,65.85,65.9,3202600,65.9
2014-01-06,62.78,66.3,62.18,66.,4187700,66.
2013-12-30,62.23,62.44,61.1,61.19,2064000,61.19
2013-12-23,61.95,63.15,61.73,62.25,1438900,62.25
2013-12-16,58.92,61.93,58.48,61.89,2809200,61.64
2013-12-09,59.72,59.96,57.3,57.99,2405300,57.76
2013-12-02,58.52,59.88,57.75,59.75,2138700,59.51
2013-11-25,58.22,59.29,57.96,58.42,1292600,58.19
2013-11-18,57.63,58.21,56.39,58.06,1304700,57.83
2013-11-11,57.14,57.84,56.31,57.37,1298100,57.14
2013-11-04,58.14,58.99,56.02,56.99,2117500,56.76
2013-10-28,57.15,58.51,56.87,58.14,1948400,57.91
2013-10-21,56.86,57.36,55.73,57.27,1776000,57.04
2013-10-14,55.63,56.86,53.51,56.84,2809000,56.61
2013-10-07,55.75,56.57,53.97,55.16,3024300,54.94
2013-09-30,52.16,57.17,51.79,56.23,2911200,56.01
2013-09-23,53.64,53.84,52.09,52.39,1129700,52.18
2013-09-16,53.36,54.36,52.95,53.67,1318000,53.2
2013-09-09,52.57,53.77,51.85,52.82,1718200,52.36
2013-09-03,50.75,53.11,49.94,52.52,1774100,52.06
2013-08-26,52.05,52.59,50.12,50.41,918900,49.97
2013-08-19,51.27,52.25,51.05,51.92,1406800,51.47
2013-08-12,53.5,53.78,51.16,51.47,1339900,51.02
2013-08-05,52.75,54.06,52.47,53.85,1207400,53.38
2013-07-29,52.41,53.39,51.65,52.96,1338700,52.5
2013-07-22,51.62,52.68,51.46,52.4,1444500,51.94
2013-07-15,48.33,52.72,48.21,51.69,3215100,51.24
2013-07-08,46.66,48.44,46.35,48.41,1521400,47.99
2013-07-01,45.75,46.4,45.38,46.38,1794700,45.98
2013-06-24,44.28,46.08,43.95,45.63,2936600,45.23
2013-06-17,45.35,46.18,43.97,44.67,2139900,44.04
2013-06-10,43.99,45.81,43.5,45.06,1740800,44.42
2013-06-03,43.4,44.01,42.03,43.99,2087100,43.37
2013-05-28,44.64,45.17,43.22,43.23,2341800,42.62
2013-05-20,46.84,47.45,44.6,45.15,2309500,44.51
2013-05-13,44.,47.16,43.85,47.,3163100,46.33
2013-05-06,40.87,44.18,40.87,44.18,2379200,43.55
2013-04-29,41.2,41.73,40.55,40.81,1697300,40.23
2013-04-22,40.96,41.71,40.44,40.99,1686300,40.41
2013-04-15,42.36,42.83,40.31,40.9,2578700,40.32
2013-04-08,41.83,42.8,40.68,42.48,2268000,41.88
2013-04-01,40.5,42.43,39.79,41.94,3001100,41.35
2013-03-25,42.5,42.55,39.93,40.44,3160000,39.87
2013-03-18,41.9,42.39,41.45,42.36,1678500,41.51
2013-03-11,41.97,43.23,41.93,42.24,2018600,41.39
2013-03-04,41.21,42.29,40.27,42.25,3170500,41.4
2013-02-25,41.28,41.5,40.36,41.4,2682300,40.57
2013-02-19,41.75,41.88,40.28,41.18,2657400,40.35
2013-02-11,42.49,43.04,40.82,41.53,3697100,40.7
2013-02-04,41.44,42.67,40.83,42.6,3679500,41.74
2013-01-28,40.94,41.79,40.41,41.17,4180100,40.34
2013-01-22,39.35,40.95,38.73,40.88,3753100,40.06
2013-01-14,38.24,39.84,37.61,39.45,4286500,38.66
2013-01-07,36.99,38.67,36.89,38.29,3550900,37.52
2012-12-31,35.39,37.12,35.32,37.07,3110300,36.33
2012-12-24,36.13,36.52,35.46,35.47,1872200,34.76
2012-12-17,35.46,36.8,35.39,36.24,4245600,35.29
2012-12-10,34.84,35.98,34.82,35.35,3442200,34.42
2012-12-03,34.13,35.04,33.44,34.96,4646100,34.04
2012-11-26,32.07,35.06,31.55,34.28,7835200,33.38
2012-11-19,35.31,35.83,30.25,32.03,8672900,31.19
2012-11-12,37.2,38.34,34.77,35.03,3293100,34.11
2012-11-05,38.17,39.22,36.7,37.01,4021000,36.04
2012-10-31,38.19,39.12,37.91,38.51,2965500,37.5
2012-10-22,39.51,40.21,37.78,38.29,4524400,37.28
2012-10-15,42.98,43.37,39.43,39.5,5422800,38.46
2012-10-08,43.5,43.63,42.08,42.59,1776100,41.47
2012-10-01,42.29,43.76,42.05,43.69,1964900,42.54
2012-09-24,42.91,43.25,41.85,42.13,2189300,41.02
2012-09-17,41.76,43.31,41.7,43.03,2841300,41.67
2012-09-10,39.53,42.09,38.97,41.91,2647900,40.58
2012-09-04,37.81,39.52,37.81,39.5,1702400,38.25
2012-08-27,37.64,38.2,37.31,37.76,1443300,36.57
2012-08-20,37.44,38.88,37.07,37.56,2879000,36.37
2012-08-13,38.35,39.1,36.59,37.45,3327600,36.26
2012-08-06,37.92,39.06,37.8,38.43,1767800,37.21
2012-07-30,37.5,37.95,36.34,37.9,1954700,36.7
2012-07-23,37.38,37.65,36.03,37.53,3058800,36.34
2012-07-16,38.83,39.3,35.57,37.8,4630500,36.6
2012-07-09,39.28,39.6,37.99,38.91,2617600,37.68
2012-07-02,39.86,40.1,39.11,39.49,1639500,38.24
