Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,67.19,69.73,67.06,69.07,2339900,69.07
2014-02-18,67.92,69.03,67.03,68.52,2702100,68.52
2014-02-10,68.12,69.31,67.74,68.81,2232900,68.81
2014-02-03,66.94,68.3,64.3,68.23,3701700,68.23
2014-01-27,69.36,69.81,66.74,66.95,3767900,66.95
2014-01-21,73.78,75.34,66.66,69.52,2919700,69.52
2014-01-13,74.8,74.89,72.79,73.5,1855300,73.5
2014-01-06,74.99,76.24,74.34,74.88,1648400,74.88
2013-12-30,72.67,74.99,72.41,74.7,1463900,74.7
2013-12-23,72.02,73.09,71.83,72.96,933500,72.96
2013-12-16,70.16,71.93,69.09,71.55,2191400,71.55
2013-12-09,71.66,72.27,69.64,69.73,1846200,69.73
2013-12-02,72.81,73.63,69.95,71.23,2224500,71.23
2013-11-25,72.7,73.27,71.89,72.61,1766700,72.61
2013-11-18,70.47,72.9,70.4,72.7,2126200,72.7
2013-11-11,71.85,72.53,67.54,70.64,2387700,70.64
2013-11-04,70.63,72.25,69.81,71.86,2098800,71.86
2013-10-28,68.73,70.77,68.51,70.35,2436900,70.35
2013-10-21,69.82,69.95,65.91,68.74,3492900,68.74
2013-10-14,66.74,69.91,66.46,69.77,2706600,69.77
2013-10-07,65.67,67.46,64.25,67.22,2507500,67.22
2013-09-30,65.42,66.72,65.27,66.42,2708600,66.42
2013-09-23,67.14,67.53,65.75,66.21,2096200,66.21
2013-09-16,68.74,69.88,67.42,67.64,2820300,67.38
2013-09-09,67.82,69.02,67.34,68.05,1972000,67.79
2013-09-03,67.51,69.1,66.72,67.63,2052200,67.37
2013-08-26,69.62,70.34,66.46,66.72,1818800,66.46
2013-08-19,67.56,70.,67.25,69.67,2069100,69.4
2013-08-12,68.89,69.77,67.55,67.85,1774900,67.59
2013-08-05,70.28,70.8,69.21,69.32,1685700,69.05
2013-07-29,68.8,70.89,68.4,70.57,1961000,70.3
2013-07-22,69.24,71.27,68.64,68.95,2752200,68.68
2013-07-15,69.24,70.23,68.26,69.28,2774000,69.01
2013-07-08,68.22,69.82,67.66,68.95,2514600,68.68
2013-07-01,65.51,67.78,64.92,67.76,2224500,67.5
2013-06-24,64.27,65.72,63.23,65.21,2954000,64.96
2013-06-17,66.5,67.86,64.07,64.95,3836400,64.44
2013-06-10,67.64,67.88,64.66,66.06,3394600,65.54
2013-06-03,66.5,67.53,64.23,67.44,3382100,66.91
2013-05-28,65.57,68.18,65.57,66.18,4702200,65.66
2013-05-20,65.03,66.48,63.68,64.49,3257200,63.98
2013-05-13,60.34,65.35,60.25,65.16,3521300,64.65
2013-05-06,59.22,60.58,59.11,60.33,2050800,59.86
2013-04-29,58.07,59.71,57.37,59.45,2326100,58.98
2013-04-22,56.98,58.66,56.29,57.86,2216000,57.4
2013-04-15,59.52,59.59,54.57,56.93,3646600,56.48
2013-04-08,57.62,60.78,57.1,59.75,3001700,59.28
2013-04-01,59.14,59.29,55.88,57.57,3286900,57.12
2013-03-25,60.16,60.2,58.71,59.09,2912800,58.63
2013-03-18,59.31,60.65,58.74,59.77,2987800,59.04
2013-03-11,58.96,60.29,58.6,60.03,2996700,59.3
2013-03-04,56.29,59.72,56.26,59.2,3672700,58.48
2013-02-25,57.19,58.15,55.76,56.31,4701200,55.62
2013-02-19,56.69,57.6,55.83,57.19,3840500,56.49
2013-02-11,56.6,57.72,56.24,57.24,3755300,56.54
2013-02-04,55.91,56.84,55.59,56.55,3748000,55.86
2013-01-28,55.96,56.59,55.61,56.36,5178100,55.67
2013-01-22,53.42,56.61,53.24,56.45,6425700,55.76
2013-01-14,50.56,54.17,49.42,53.36,6451700,52.71
2013-01-07,49.18,50.67,48.72,50.58,4477900,49.96
2012-12-31,46.,49.47,45.86,49.39,4107500,48.79
2012-12-24,46.4,46.68,45.64,46.05,2712200,45.49
2012-12-17,45.68,47.3,45.57,46.41,4744200,45.61
2012-12-10,45.47,45.98,44.6,45.45,3201500,44.66
2012-12-03,44.62,45.16,44.05,45.15,4629500,44.37
2012-11-26,45.38,45.4,44.3,44.44,3736700,43.67
2012-11-19,44.69,45.81,44.69,45.78,2793600,44.99
2012-11-12,44.37,44.94,43.6,44.21,4001400,43.45
2012-11-05,45.23,46.65,44.24,44.31,5044800,43.54
2012-10-31,44.6,45.46,43.84,44.72,3018300,43.95
2012-10-22,44.5,44.91,43.74,44.38,3810000,43.61
2012-10-15,41.55,45.07,41.28,44.66,5108900,43.89
2012-10-08,41.89,42.49,41.09,41.38,5527200,40.66
2012-10-01,42.26,42.68,41.84,41.99,4156600,41.26
2012-09-24,43.42,44.05,41.42,41.96,4306000,41.23
2012-09-17,43.96,44.11,42.86,43.71,3879800,42.71
2012-09-10,42.63,44.61,42.55,43.92,4334700,42.91
2012-09-04,41.6,43.03,41.47,43.,3660000,42.01
2012-08-27,41.53,41.86,40.84,41.6,2859300,40.65
2012-08-20,41.7,42.33,40.93,41.44,2679000,40.49
2012-08-13,41.69,42.15,41.03,41.91,2666100,40.95
2012-08-06,40.82,41.97,40.43,41.85,2942300,40.89
2012-07-30,40.28,40.9,39.35,40.7,3669300,39.77
2012-07-23,39.45,40.55,38.95,40.37,4553300,39.44
2012-07-16,44.04,44.21,40.,40.08,5326800,39.16
2012-07-09,43.36,44.16,42.64,44.11,3056000,43.1
2012-07-02,44.62,45.09,43.88,44.04,2366200,43.03
2012-06-25,43.26,44.83,42.17,44.64,3017000,43.62
2012-06-18,43.77,44.67,43.01,43.91,3900700,42.66
2012-06-11,42.6,43.9,42.41,43.85,4984800,42.6
2012-06-04,39.82,42.16,39.27,42.16,3997200,40.96
2012-05-29,42.02,42.61,39.86,39.88,4054800,38.75
2012-05-21,41.18,42.25,40.82,41.78,3198200,40.59
2012-05-14,43.3,43.48,40.94,41.1,4715700,39.93
2012-05-07,45.07,45.69,43.01,43.57,3622400,42.33
2012-04-30,46.19,47.13,44.86,45.19,2876800,43.91
2012-04-23,44.44,46.82,44.33,46.32,3119000,45.
2012-04-16,43.54,45.77,42.73,45.12,4725600,43.84
2012-04-09,43.84,44.25,42.98,43.19,3095400,41.96
2012-04-02,45.33,46.13,44.29,44.56,2924700,43.29
2012-03-26,46.28,46.69,44.47,45.5,2543300,44.21
2012-03-19,45.62,46.48,44.77,45.63,2926200,44.1
2012-03-12,42.07,47.2,41.27,45.76,5049000,44.23
2012-03-05,41.91,42.35,40.81,42.1,3231300,40.69
2012-02-27,40.16,43.,40.11,41.98,4587300,40.57
2012-02-21,39.92,41.1,39.49,40.53,3222400,39.17
2012-02-13,41.07,41.22,39.11,40.25,3899500,38.9
2012-02-06,42.,42.18,40.48,40.66,3346400,39.3
2012-01-30,38.58,42.81,38.21,42.57,4711300,41.14
2012-01-23,41.37,41.92,38.35,39.06,6226400,37.75
2012-01-17,43.77,43.9,39.02,41.5,7436400,40.11
2012-01-09,41.79,43.67,41.47,42.94,3382400,41.5
2012-01-03,41.46,42.59,40.4,41.76,3078800,40.36
2011-12-27,41.25,41.75,40.15,40.31,1733200,38.96
