Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,81.95,82.69,81.85,82.08,1137100,82.08
2014-02-18,81.35,81.96,80.52,81.74,1139800,81.74
2014-02-10,78.86,81.53,78.78,81.32,1244700,81.32
2014-02-03,78.,78.91,75.,78.8,1587500,78.8
2014-01-27,78.06,78.82,76.18,77.4,1871200,77.4
2014-01-21,81.42,82.76,77.5,77.81,2359500,77.81
2014-01-13,81.05,83.22,80.02,81.17,1744900,81.17
2014-01-06,80.75,81.67,79.01,81.42,1509300,81.42
2013-12-30,81.,81.49,79.68,80.38,954000,80.38
2013-12-23,81.29,81.53,80.4,81.01,1167000,81.01
2013-12-16,80.55,81.32,79.05,80.56,1829300,80.56
2013-12-09,80.58,81.3,78.97,80.48,1549100,80.48
2013-12-02,81.38,81.55,78.87,80.71,1299800,80.71
2013-11-25,82.33,82.49,80.3,81.39,1296100,80.88
2013-11-18,83.,84.,80.33,82.05,1218800,81.54
2013-11-11,80.81,82.81,80.73,82.64,1405200,82.12
2013-11-04,79.27,82.66,78.38,80.88,1700000,80.37
2013-10-28,78.6,80.3,77.49,79.05,1310400,78.55
2013-10-21,77.16,78.49,75.79,78.46,2040900,77.97
2013-10-14,90.54,91.6,74.13,77.16,5365800,76.68
2013-10-07,90.45,91.5,87.95,91.3,899200,90.73
2013-09-30,89.69,92.76,89.69,91.14,1157200,90.57
2013-09-23,90.01,90.85,88.35,90.59,799300,90.02
2013-09-16,90.35,92.36,89.07,90.13,804600,89.57
2013-09-09,87.64,89.86,87.61,89.26,708000,88.7
2013-09-03,86.46,88.36,85.51,87.27,674800,86.72
2013-08-26,87.42,87.64,84.33,85.26,1138600,84.23
2013-08-19,86.81,87.97,85.78,87.6,1441800,86.55
2013-08-12,85.36,89.5,85.24,86.8,1222100,85.76
2013-08-05,87.25,87.85,84.79,85.6,763300,84.57
2013-07-29,83.78,87.68,82.98,87.62,876000,86.57
2013-07-22,83.2,84.74,81.26,84.02,1282900,83.01
2013-07-15,82.4,83.13,80.83,83.12,786500,82.12
2013-07-08,79.66,82.35,79.14,82.3,840600,81.31
2013-07-01,77.91,79.15,77.01,79.07,601200,78.12
2013-06-24,75.27,78.4,73.77,77.3,1050000,76.37
2013-06-17,80.06,81.38,75.55,76.,1116300,75.09
2013-06-10,79.84,80.38,78.03,79.42,773300,78.46
2013-06-03,79.15,79.87,77.01,79.69,1001300,78.73
2013-05-28,79.44,81.3,78.92,79.22,1380300,77.78
2013-05-20,80.87,83.26,78.42,78.74,1197600,77.31
2013-05-13,79.66,81.82,79.16,80.94,958500,79.47
2013-05-06,76.65,80.18,76.17,79.73,1283500,78.28
2013-04-29,74.54,77.61,73.88,76.65,1098900,75.26
2013-04-22,76.5,78.65,74.04,74.4,2178100,73.05
2013-04-15,78.71,78.78,75.61,76.4,1352000,75.01
2013-04-08,77.61,80.14,76.74,79.24,1409800,77.8
2013-04-01,80.77,81.16,76.23,77.56,1558700,76.15
2013-03-25,81.87,82.43,79.3,80.97,2296400,79.5
2013-03-18,80.23,81.98,79.66,81.57,1479900,80.09
2013-03-11,78.83,81.22,78.65,81.17,1310400,79.7
2013-03-04,77.51,79.52,76.12,78.96,1430100,77.53
2013-02-25,77.93,79.04,75.08,77.59,1573000,75.71
2013-02-19,78.64,79.5,75.73,77.44,1494400,75.56
2013-02-11,76.13,79.06,75.8,78.46,1336800,76.56
2013-02-04,76.56,77.76,76.09,76.24,1238500,74.39
2013-01-28,76.82,77.99,75.83,77.37,1612300,75.49
2013-01-22,76.87,78.39,75.6,76.87,2415000,75.
2013-01-14,75.22,77.75,74.98,76.95,1202300,75.08
2013-01-07,74.17,75.83,74.17,75.21,1383500,73.39
2012-12-31,72.01,75.96,71.78,74.76,1392700,72.95
2012-12-24,74.99,74.99,72.01,72.06,630600,70.31
2012-12-17,71.65,75.09,71.39,73.44,1431000,71.66
2012-12-10,71.16,73.87,70.92,71.31,1280500,69.58
2012-12-03,72.25,72.66,68.87,71.19,1130900,69.46
2012-11-26,71.07,73.87,70.12,71.91,1308100,69.67
