Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,37.05,37.77,36.97,37.03,12319000,37.03
2014-02-18,33.79,37.7,33.67,36.84,14700800,36.84
2014-02-10,31.02,33.69,30.89,33.65,3988600,33.65
2014-02-03,31.16,31.28,29.82,31.16,3614400,31.16
2014-01-27,30.95,31.81,30.36,31.24,4074100,31.24
2014-01-21,31.94,32.06,30.72,30.98,2796200,30.98
2014-01-13,31.97,32.18,31.09,31.82,2465400,31.82
2014-01-06,32.32,32.61,31.29,32.15,3570100,32.15
2013-12-30,32.5,32.98,32.03,32.31,1731100,32.31
2013-12-23,33.31,33.49,32.31,32.5,1689600,32.5
2013-12-16,33.54,33.74,32.11,33.08,3585900,33.08
2013-12-09,33.18,33.95,32.65,33.52,3521300,33.32
2013-12-02,34.9,35.1,32.42,33.07,5228900,32.87
2013-11-25,34.29,35.33,34.08,34.97,2684800,34.76
2013-11-18,34.42,34.47,32.28,34.29,4758400,34.08
2013-11-11,33.21,34.75,32.51,34.52,3993500,34.31
2013-11-04,35.18,35.53,31.5,33.02,5730200,32.82
2013-10-28,36.62,36.7,34.68,35.16,3145700,34.95
2013-10-21,33.41,36.9,32.63,36.54,6874100,36.32
2013-10-14,33.3,33.93,32.63,33.36,3656100,33.16
2013-10-07,31.5,33.91,30.48,33.75,7338500,33.54
2013-09-30,32.05,32.28,31.51,31.63,3809900,31.44
2013-09-23,31.31,32.72,31.24,32.25,6013100,32.05
2013-09-16,28.43,31.79,28.01,31.4,13404100,31.21
2013-09-09,26.02,28.88,25.85,28.2,6730800,27.83
2013-09-03,25.94,26.24,25.61,25.96,2851200,25.62
2013-08-26,26.66,26.71,25.63,25.9,2740300,25.56
2013-08-19,26.48,26.89,26.04,26.69,3362200,26.34
2013-08-12,24.88,26.71,24.8,26.66,5900900,26.31
2013-08-05,25.36,25.81,24.47,25.05,4481500,24.72
2013-07-29,25.85,26.36,25.21,25.35,3554100,25.02
2013-07-22,26.15,26.25,25.35,25.98,3270400,25.64
2013-07-15,24.55,26.56,24.44,26.15,5758900,25.81
2013-07-08,24.27,25.23,24.25,24.55,4285700,24.23
2013-07-01,23.63,24.28,23.17,24.24,2764700,23.92
2013-06-24,22.68,24.09,22.36,23.66,3553500,23.35
2013-06-17,24.47,24.6,22.35,22.82,6760800,22.52
2013-06-10,22.71,27.45,22.66,24.36,15167300,23.84
2013-06-03,23.,23.57,22.26,22.71,4350500,22.23
2013-05-28,23.39,23.69,23.01,23.01,2985400,22.52
2013-05-20,25.17,25.19,22.7,23.18,6264900,22.69
2013-05-13,24.51,25.67,24.2,25.15,4302900,24.62
2013-05-06,23.91,24.64,23.52,24.46,3747200,23.94
2013-04-29,23.39,24.12,22.3,23.95,7691300,23.44
2013-04-22,26.52,28.42,22.9,23.31,10008400,22.81
2013-04-15,26.78,26.87,25.9,26.55,3900400,25.99
2013-04-08,25.12,27.,24.85,26.85,4915600,26.28
2013-04-01,26.43,26.44,24.79,24.92,4923200,24.39
2013-03-25,25.77,26.54,25.71,26.35,4349300,25.79
2013-03-18,24.62,25.92,24.41,25.75,4320500,25.2
2013-03-11,23.69,25.24,23.23,24.91,6486700,24.21
2013-03-04,24.01,25.14,23.55,23.6,7817200,22.94
2013-02-25,23.01,24.43,22.74,24.1,7058700,23.42
2013-02-19,20.51,23.96,20.,22.69,16108900,22.05
2013-02-11,20.23,21.12,20.12,20.42,4536700,19.85
2013-02-04,19.25,20.67,19.12,20.2,5675200,19.63
2013-01-28,19.5,19.72,18.97,19.27,4013100,18.73
2013-01-22,18.64,20.58,18.42,19.43,8536800,18.89
2013-01-14,17.44,18.68,17.22,18.64,4114900,18.12
2013-01-07,18.25,18.33,17.08,17.41,4669600,16.92
2012-12-31,17.7,18.48,17.57,18.3,5043200,17.79
2012-12-24,17.93,18.24,17.59,17.7,2991900,17.2
2012-12-17,17.7,18.44,17.66,17.93,4091500,17.43
2012-12-10,17.95,18.12,17.41,17.65,4065700,17.16
2012-12-03,17.16,19.36,16.64,17.94,8105500,17.27
2012-11-26,16.89,17.25,16.3,17.11,3743200,16.47
2012-11-19,16.68,17.,16.07,16.96,4061400,16.32
2012-11-12,16.6,16.83,16.,16.6,4376500,15.98
2012-11-05,16.78,17.06,16.16,16.6,4278700,15.98
2012-10-31,16.49,16.87,16.25,16.83,4595000,16.2
2012-10-22,16.27,16.73,15.94,16.38,4786200,15.76
2012-10-15,15.64,16.64,15.5,16.35,5218700,15.74
2012-10-08,16.2,16.55,15.,15.57,10684700,14.98
2012-10-01,16.22,16.41,15.92,16.16,6076900,15.55
2012-09-24,16.16,16.74,15.87,16.09,6660200,15.49
2012-09-17,16.89,17.05,15.99,16.07,5436900,15.47
2012-09-10,16.38,17.1,16.29,16.86,5577300,16.06
2012-09-04,15.68,17.03,15.59,16.32,9818000,15.54
2012-08-27,15.45,15.98,15.33,15.65,4965500,14.9
2012-08-20,15.84,16.21,15.1,15.48,6827100,14.74
2012-08-13,16.02,16.24,15.76,15.83,4607500,15.08
2012-08-06,15.5,16.35,15.43,15.99,6052400,15.23
2012-07-30,15.3,15.75,14.9,15.45,4852700,14.71
2012-07-23,15.4,15.6,14.89,15.32,7834300,14.59
2012-07-16,15.97,17.02,14.73,15.59,12323700,14.85
2012-07-09,17.62,18.03,15.71,16.02,10668300,15.26
2012-07-02,18.19,18.2,17.55,17.71,3745200,16.87
2012-06-25,17.23,18.31,16.93,18.15,5043100,17.28
2012-06-18,17.84,18.,17.28,17.34,5312900,16.51
2012-06-11,18.35,18.78,17.53,17.97,6232500,16.94
2012-06-04,18.53,19.11,18.,18.22,5948300,17.18
2012-05-29,19.28,19.51,18.31,18.49,7542800,17.43
2012-05-21,18.73,19.36,18.5,19.22,5843300,18.12
2012-05-14,18.8,19.15,18.29,18.39,6155400,17.34
2012-05-07,19.67,19.87,18.92,18.97,6169400,17.89
2012-04-30,20.79,20.82,19.6,19.69,5948500,18.57
2012-04-23,21.8,21.96,20.4,20.78,9805600,19.59
2012-04-16,21.22,22.21,21.22,22.09,8668500,20.83
2012-04-09,19.47,21.68,19.25,21.19,12149000,19.98
2012-04-02,20.35,20.45,19.66,19.72,8780400,18.59
2012-03-26,20.74,20.87,20.08,20.21,9977700,19.06
2012-03-19,22.42,22.42,20.68,21.13,7581800,19.78
2012-03-12,21.79,22.27,21.63,22.17,5575700,20.75
2012-03-05,21.6,22.1,20.59,21.76,12086600,20.37
2012-02-27,20.92,21.74,20.84,21.67,7362700,20.29
2012-02-21,23.02,23.16,20.2,20.93,12674600,19.59
2012-02-13,21.88,23.03,21.74,22.95,5886900,21.49
2012-02-06,21.69,22.,21.21,21.74,6220500,20.35
2012-01-30,22.5,22.56,21.66,21.74,6596500,20.35
2012-01-23,21.86,22.94,21.83,22.56,6194800,21.12
2012-01-17,21.18,21.88,20.94,21.85,6944800,20.46
2012-01-09,21.09,21.73,20.44,20.91,8810500,19.58
2012-01-03,21.28,21.59,20.86,21.23,6659100,19.87
2011-12-27,21.11,21.3,20.99,21.04,2777700,19.7
2011-12-19,20.7,21.13,20.31,21.12,4668700,19.77
2011-12-12,20.92,21.37,20.48,20.57,6597800,19.12
2011-12-05,20.46,21.36,20.31,21.07,6490300,19.58
2011-11-28,19.19,20.35,18.96,20.21,7819900,18.79
2011-11-21,18.93,19.26,18.13,18.83,5512200,17.5
2011-11-14,20.08,20.27,18.88,19.12,6246000,17.77
