Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,82.15,83.06,82.1,82.61,1745500,82.61
2014-02-18,83.81,83.82,81.18,82.1,1648200,82.1
2014-02-10,79.43,83.86,79.08,83.35,2061800,83.35
2014-02-03,77.84,79.54,76.21,79.43,2574400,79.43
2014-01-27,76.13,78.45,75.79,77.6,1659100,77.6
2014-01-21,78.62,79.24,76.11,76.13,1862400,76.13
2014-01-13,77.83,78.89,77.36,78.2,1361300,78.2
2014-01-06,75.48,78.53,74.87,78.15,2006600,78.15
2013-12-30,75.19,75.29,74.02,74.84,922300,74.84
2013-12-23,75.,75.55,74.58,75.06,724000,75.06
2013-12-16,72.02,74.81,71.24,74.72,2085100,74.42
2013-12-09,74.48,74.66,71.22,71.56,1309400,71.27
2013-12-02,74.32,74.76,72.76,74.52,907000,74.22
2013-11-25,75.38,75.5,74.35,74.42,900800,74.12
2013-11-18,74.35,74.5,73.,74.28,921300,73.98
2013-11-11,73.36,74.8,72.6,74.21,1266200,73.91
2013-11-04,74.17,74.6,72.54,73.33,1477000,73.03
2013-10-28,74.54,74.86,73.32,74.03,1585200,73.73
2013-10-21,73.45,74.71,72.64,74.61,1495000,74.31
2013-10-14,69.85,73.6,69.72,73.46,1802100,73.16
2013-10-07,67.31,70.33,67.04,70.22,1340600,69.94
2013-09-30,67.42,68.1,66.93,67.7,1335400,67.43
2013-09-23,71.11,71.45,67.59,67.65,1666800,67.38
2013-09-16,70.75,71.94,70.39,71.28,1356100,70.72
2013-09-09,68.98,70.16,68.62,70.12,1129400,69.57
2013-09-03,67.63,70.38,66.52,68.93,1304100,68.39
2013-08-26,68.4,69.,66.44,66.89,919900,66.36
2013-08-19,67.93,69.08,67.56,68.29,842200,67.75
2013-08-12,70.37,71.09,67.97,67.97,1098800,67.43
2013-08-05,71.07,71.55,70.59,71.01,1161100,70.45
2013-07-29,70.65,71.44,69.83,71.27,1022300,70.71
2013-07-22,70.83,71.32,70.33,70.94,1090000,70.38
2013-07-15,67.41,70.88,67.34,70.88,1817300,70.32
2013-07-08,65.5,67.72,65.38,67.43,1103900,66.9
2013-07-01,64.85,65.24,63.71,65.23,1121200,64.72
2013-06-24,65.09,65.68,63.83,64.68,1492500,64.17
2013-06-17,67.64,68.22,64.6,65.6,1429900,64.82
2013-06-10,67.2,68.,65.81,67.21,849400,66.41
2013-06-03,66.4,67.35,65.5,67.15,1147000,66.35
2013-05-28,67.41,68.37,66.39,66.39,1153200,65.6
2013-05-20,68.64,70.,66.58,66.99,1439600,66.19
2013-05-13,67.99,69.81,67.85,68.9,1803100,68.08
2013-05-06,66.24,68.23,65.95,68.21,1218700,67.4
2013-04-29,65.2,66.7,64.7,66.33,1211100,65.54
2013-04-22,64.71,66.28,63.81,65.06,1568500,64.28
2013-04-15,65.98,66.4,63.35,64.68,1900800,63.91
2013-04-08,65.04,67.15,64.91,66.5,1692400,65.71
2013-04-01,65.1,66.06,64.67,65.,1897900,64.22
2013-03-25,64.84,65.33,64.17,65.24,1069700,64.46
2013-03-18,65.43,65.56,64.15,64.57,1862200,63.54
2013-03-11,65.83,66.92,65.68,65.93,1442400,64.88
2013-03-04,64.66,66.57,64.54,65.72,1571200,64.67
2013-02-25,62.82,65.,62.09,64.9,1808500,63.86
2013-02-19,63.75,63.85,61.59,62.7,1739100,61.7
2013-02-11,63.67,64.46,63.26,63.85,1308200,62.83
2013-02-04,62.66,63.93,62.01,63.78,1609000,62.76
2013-01-28,63.68,63.99,61.53,63.04,2031800,62.03
2013-01-22,61.5,63.92,61.19,63.55,2161100,62.53
2013-01-14,58.55,61.59,58.26,61.55,2147300,60.57
2013-01-07,56.65,58.9,56.52,58.84,1947600,57.9
2012-12-31,54.34,57.,54.07,56.73,1938500,55.82
2012-12-24,55.8,55.99,54.41,54.45,965600,53.58
2012-12-17,55.83,56.75,55.62,55.87,2037400,54.71
2012-12-10,54.38,56.62,54.37,55.78,2103400,54.63
2012-12-03,54.48,55.08,53.93,54.57,2142300,53.44
2012-11-26,54.26,55.08,53.59,54.16,1811400,53.04
2012-11-19,52.57,54.53,52.49,54.52,1862400,53.39
2012-11-12,52.74,53.17,51.81,52.1,2050500,51.02
2012-11-05,52.57,53.52,52.06,52.53,1687200,51.44
2012-10-31,52.6,53.57,52.03,52.64,1538300,51.55
2012-10-22,52.69,52.99,51.91,52.19,1813500,51.11
2012-10-15,52.3,54.29,51.6,52.64,3358200,51.55
2012-10-08,54.73,54.81,51.67,52.3,2459300,51.22
2012-10-01,55.5,55.5,53.99,54.81,2343600,53.68
2012-09-24,56.09,56.8,55.35,55.66,1443700,54.51
2012-09-17,55.92,56.49,55.29,56.29,2421900,54.92
2012-09-10,54.18,56.3,53.46,56.01,2013900,54.64
2012-09-04,54.25,55.49,52.83,54.15,2675600,52.83
2012-08-27,53.76,54.22,52.77,53.26,1147400,51.96
2012-08-20,54.36,55.07,53.02,53.74,1495400,52.43
2012-08-13,52.83,54.76,52.73,54.36,1813500,53.03
2012-08-06,52.87,53.37,52.58,53.06,1362100,51.76
2012-07-30,52.23,53.09,50.96,52.75,1739000,51.46
2012-07-23,50.7,52.55,50.04,52.41,2006800,51.13
2012-07-16,53.15,54.43,50.96,51.38,2401700,50.13
2012-07-09,53.49,54.18,52.29,53.05,1197600,51.75
2012-07-02,55.,55.02,52.96,53.54,1257600,52.23
2012-06-25,54.14,55.1,52.75,55.1,1760900,53.75
2012-06-18,54.,55.54,53.66,54.57,2001200,53.03
2012-06-11,51.63,54.28,51.03,54.15,1921800,52.62
