Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.58,20.99,20.5,20.84,6568200,20.84
2014-02-18,21.11,21.29,20.32,20.53,7828300,20.53
2014-02-10,20.77,21.44,20.75,21.35,6266800,21.19
2014-02-03,21.33,21.4,20.31,20.9,9866600,20.75
2014-01-27,23.31,24.27,21.41,21.41,13904400,21.25
2014-01-21,23.32,23.69,23.13,23.3,6506700,23.13
2014-01-13,22.83,23.42,22.06,23.27,9011300,23.1
2014-01-06,23.18,23.7,22.98,23.47,5402300,23.3
2013-12-30,23.05,23.62,23.,23.11,4826800,22.94
2013-12-23,22.49,23.14,22.46,23.05,3296400,22.88
2013-12-16,22.18,23.3,22.18,22.51,8025200,22.35
2013-12-09,22.71,22.85,22.02,22.11,5125200,21.95
2013-12-02,22.47,23.64,22.18,22.78,8877600,22.61
2013-11-25,23.4,23.48,22.36,22.49,6277800,22.33
2013-11-18,23.63,23.96,23.25,23.34,6187100,23.17
2013-11-11,23.11,23.69,22.24,23.58,11849300,23.26
2013-11-04,22.81,23.24,22.57,23.16,6816300,22.84
2013-10-28,22.08,22.95,21.96,22.77,9620400,22.46
2013-10-21,25.49,25.6,20.89,22.03,16483300,21.73
2013-10-14,24.9,25.41,24.87,25.39,5696100,25.04
2013-10-07,24.56,25.16,24.41,25.08,6946500,24.74
2013-09-30,24.53,24.92,24.16,24.84,5539200,24.5
2013-09-23,25.09,25.2,24.39,24.73,5157300,24.39
2013-09-16,25.24,25.67,25.09,25.14,5284900,24.8
2013-09-09,25.5,25.7,24.36,25.07,6550000,24.73
2013-09-03,25.93,26.34,24.98,25.35,5671000,25.
2013-08-26,26.28,26.4,25.28,25.61,4162400,25.26
2013-08-19,26.11,26.57,25.86,26.33,3625200,25.97
2013-08-12,26.68,27.05,26.17,26.24,4751900,25.73
2013-08-05,26.5,27.1,26.26,26.82,5626900,26.3
2013-07-29,24.07,26.89,23.98,26.52,9304700,26.01
2013-07-22,24.1,24.44,23.86,24.27,4641500,23.8
2013-07-15,23.85,24.42,23.74,24.,6855200,23.54
2013-07-08,23.07,23.85,22.56,23.83,4816000,23.37
2013-07-01,22.54,23.02,22.22,23.02,5192600,22.57
2013-06-24,22.17,22.73,21.91,22.48,8933300,22.04
2013-06-17,22.37,22.99,21.99,22.23,9999400,21.8
2013-06-10,22.17,22.66,21.85,22.36,10282200,21.78
2013-06-03,22.41,22.56,21.41,22.19,10567200,21.61
2013-05-28,23.01,23.15,22.39,22.39,9943200,21.81
2013-05-20,24.22,24.39,22.3,22.85,9992600,22.26
2013-05-13,24.33,24.69,23.95,24.3,13733800,23.67
2013-05-06,24.81,25.26,23.54,24.35,10697800,23.72
2013-04-29,24.45,25.,21.93,24.84,6762200,24.2
2013-04-22,23.7,24.62,23.41,24.42,6306900,23.79
2013-04-15,23.98,24.32,23.34,23.55,7052800,22.94
2013-04-08,24.24,24.55,23.96,24.25,5802300,23.62
2013-04-01,24.78,24.79,23.86,24.29,5752500,23.66
2013-03-25,24.64,24.8,24.33,24.68,6071200,24.04
2013-03-18,24.26,24.67,24.05,24.63,6818200,23.99
2013-03-11,24.55,24.83,24.25,24.55,7568900,23.91
2013-03-04,23.52,24.91,23.52,24.57,9476200,23.93
2013-02-25,22.93,23.76,22.19,23.68,9584000,23.07
2013-02-19,22.48,22.95,22.18,22.93,11579500,22.34
2013-02-11,22.6,22.91,22.41,22.53,6478500,21.95
2013-02-04,22.02,22.69,21.63,22.59,8170200,22.
2013-01-28,22.13,22.26,21.66,22.12,8474100,21.55
2013-01-22,20.66,22.14,20.51,22.13,15336700,21.56
2013-01-14,19.89,21.14,19.79,20.68,10982400,20.14
2013-01-07,19.71,20.03,19.25,19.94,6197000,19.42
2012-12-31,18.08,19.72,18.01,19.62,7570700,19.11
2012-12-24,18.56,18.7,17.9,18.16,3471100,17.69
2012-12-17,18.73,19.,18.25,18.54,7005500,18.06
2012-12-10,18.82,19.24,18.43,18.68,6069900,18.2
2012-12-03,18.94,19.08,18.44,18.95,6759000,18.46
2012-11-26,18.4,18.83,17.71,18.76,6464400,18.27
2012-11-19,18.18,18.49,17.86,18.47,4055500,17.99
2012-11-12,18.01,18.06,17.38,17.97,7359100,17.5
2012-11-05,18.7,19.04,17.93,17.97,8234600,17.5
2012-10-31,18.4,18.89,18.11,18.8,9511100,18.31
2012-10-22,17.5,19.09,17.02,18.39,12480600,17.91
2012-10-15,17.87,18.36,17.4,17.43,6920000,16.98
2012-10-08,17.97,18.1,17.5,17.88,7398300,17.42
2012-10-01,18.05,18.39,17.74,18.03,7283300,17.56
2012-09-24,18.39,18.59,17.61,17.98,8679100,17.51
2012-09-17,19.07,19.11,18.52,18.53,8853200,18.05
2012-09-10,18.91,19.54,18.8,19.14,9846900,18.64
