Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.73,16.98,16.69,16.7,1843600,16.7
2014-02-18,16.66,16.85,16.55,16.7,1836100,16.7
2014-02-10,16.3,16.66,16.19,16.65,2123200,16.65
2014-02-03,16.36,16.62,16.12,16.31,2377500,16.09
2014-01-27,16.7,16.84,16.2,16.38,4549900,16.16
2014-01-21,16.97,17.17,16.68,16.69,2300800,16.47
2014-01-13,17.15,17.23,16.85,16.91,2002000,16.69
2014-01-06,16.86,17.15,16.71,17.14,4191200,16.91
2013-12-30,17.14,17.31,16.9,16.96,1824400,16.73
2013-12-23,17.15,17.27,16.98,17.14,1333400,16.91
2013-12-16,16.84,17.13,16.67,17.04,2520000,16.81
2013-12-09,17.29,17.3,16.77,16.81,1940100,16.59
2013-12-02,17.06,17.57,16.84,17.34,3654900,17.11
2013-11-25,17.17,17.21,16.94,17.04,1309200,16.81
2013-11-18,17.45,17.49,17.02,17.16,1676800,16.93
2013-11-11,17.14,17.44,16.93,17.42,2590700,17.19
2013-11-04,17.38,17.75,16.8,17.07,3576600,16.84
2013-10-28,17.64,17.72,16.79,17.34,2202000,16.89
2013-10-21,17.18,17.61,17.01,17.61,2244900,17.16
2013-10-14,16.97,17.24,16.64,17.17,1567400,16.73
2013-10-07,16.44,16.99,16.4,16.99,1692200,16.55
2013-09-30,16.47,16.8,16.36,16.5,1802200,16.08
2013-09-23,16.62,17.1,16.47,16.51,1938200,16.09
2013-09-16,16.55,16.98,16.29,16.71,2632200,16.28
2013-09-09,16.59,16.71,16.27,16.35,1998900,15.93
2013-09-03,16.64,16.89,16.15,16.59,3704900,16.16
2013-08-26,16.8,16.83,16.46,16.53,1584000,16.1
2013-08-19,16.67,16.87,16.48,16.8,1837700,16.37
2013-08-12,17.72,17.72,16.6,16.71,1974800,16.28
2013-08-05,17.73,17.99,17.5,17.91,3768700,17.23
2013-07-29,17.62,17.83,17.5,17.78,1420900,17.11
2013-07-22,17.85,17.9,17.39,17.66,1110600,16.99
2013-07-15,17.56,17.9,17.46,17.83,1476200,17.16
2013-07-08,16.79,17.56,16.72,17.56,2005900,16.9
2013-07-01,17.2,17.24,16.46,16.71,1938400,16.08
2013-06-24,16.58,17.23,16.47,17.19,1851700,16.54
2013-06-17,17.44,17.51,16.4,16.76,2184000,16.13
2013-06-10,17.51,17.55,17.01,17.33,1834500,16.68
2013-06-03,17.59,17.66,17.23,17.5,2016000,16.84
2013-05-28,18.,18.13,17.21,17.61,4407000,16.95
2013-05-20,18.97,19.22,18.18,18.29,2142100,17.6
2013-05-13,18.59,19.03,18.48,18.98,1480300,18.26
2013-05-06,18.95,19.13,18.37,18.63,1948300,17.93
2013-04-29,18.87,19.15,18.72,18.94,2154800,18.01
2013-04-22,18.5,18.9,18.36,18.83,2143400,17.91
2013-04-15,18.4,18.49,18.04,18.47,1819100,17.57
2013-04-08,18.15,18.56,18.04,18.45,2095100,17.55
2013-04-01,17.8,18.25,17.65,18.16,1690400,17.27
2013-03-25,17.38,17.85,17.23,17.82,1494100,16.95
2013-03-18,17.3,17.55,17.26,17.35,1181900,16.5
2013-03-11,17.27,17.56,17.26,17.44,1242900,16.59
2013-03-04,17.29,17.62,17.26,17.32,1416100,16.47
2013-02-25,17.2,17.42,16.84,17.35,1726800,16.5
2013-02-19,16.95,17.26,16.95,17.12,1705600,16.28
2013-02-11,17.04,17.16,16.88,16.9,3163000,16.07
2013-02-04,17.7,17.78,16.71,17.05,4483700,16.01
2013-01-28,17.32,17.87,17.19,17.77,1881100,16.69
2013-01-22,16.98,17.23,16.89,17.19,1274000,16.14
2013-01-14,17.15,17.28,16.78,17.02,1190300,15.98
2013-01-07,17.18,17.2,16.96,17.14,1233400,16.09
2012-12-31,16.53,17.26,16.43,17.18,1591600,16.13
2012-12-24,16.96,17.07,16.5,16.56,1256600,15.55
2012-12-17,16.65,17.08,16.62,17.03,2774700,15.99
2012-12-10,16.81,16.99,16.55,16.6,1536700,15.59
2012-12-03,16.86,16.95,16.59,16.84,1338000,15.81
2012-11-26,16.17,16.81,16.16,16.81,1807400,15.78
2012-11-19,16.64,16.64,16.12,16.21,1331600,15.22
2012-11-12,16.9,16.97,16.26,16.51,1895800,15.5
2012-11-05,17.75,17.95,16.86,16.92,2868100,15.89
2012-10-31,17.73,18.,17.57,17.82,2406400,16.52
2012-10-22,17.88,17.91,17.41,17.61,1399400,16.33
2012-10-15,17.55,18.14,17.45,17.89,1288800,16.59
2012-10-08,17.51,17.87,17.45,17.52,1657600,16.24
2012-10-01,17.76,17.81,17.4,17.55,1545200,16.27
2012-09-24,17.51,17.82,17.44,17.74,2393500,16.45
2012-09-17,17.47,17.56,17.26,17.51,1901200,16.23
2012-09-10,17.65,17.65,17.32,17.46,2275500,16.19
2012-09-04,17.35,17.6,17.3,17.54,1449400,16.26
2012-08-27,17.61,17.63,17.32,17.36,1209000,16.1
2012-08-20,17.82,18.02,17.47,17.61,1350100,16.33
2012-08-13,17.91,18.05,17.75,17.88,1344600,16.58
2012-08-06,17.95,18.09,17.7,17.94,1651500,16.63
2012-07-30,18.21,18.64,17.71,17.98,2851100,16.47
2012-07-23,18.1,18.24,17.6,18.22,1555000,16.69
2012-07-16,17.87,18.35,17.8,18.24,2220400,16.7
2012-07-09,18.17,18.29,17.94,18.29,1186500,16.75
2012-07-02,18.11,18.35,18.06,18.17,1144700,16.64
2012-06-25,17.72,18.29,17.66,18.06,1301900,16.54
2012-06-18,18.04,18.33,17.8,17.83,1463900,16.33
2012-06-11,17.81,18.14,17.67,18.13,1775300,16.6
2012-06-04,17.22,17.93,17.1,17.74,1883500,16.25
2012-05-29,17.47,17.55,17.11,17.2,1458400,15.75
2012-05-21,17.24,17.52,17.18,17.35,1254800,15.89
2012-05-14,17.68,17.82,17.18,17.23,1500800,15.78
2012-05-07,17.8,17.97,17.58,17.81,1690200,16.31
2012-04-30,17.89,18.17,17.81,17.85,1801500,16.15
2012-04-23,17.62,18.,17.56,17.94,1444900,16.23
