Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,56.93,57.4,56.52,56.54,458100,56.54
2014-02-18,55.79,57.13,55.74,56.73,453600,56.73
2014-02-10,53.08,55.79,52.87,55.69,324800,55.69
2014-02-03,54.4,54.83,52.08,53.19,424300,53.19
2014-01-27,53.6,54.52,53.28,54.34,362600,54.34
2014-01-21,54.48,54.97,53.59,53.61,402700,53.61
2014-01-13,53.8,54.11,53.46,53.64,337100,53.64
2014-01-06,53.41,54.7,52.91,53.96,420200,53.96
2013-12-30,54.4,54.79,53.1,53.32,347100,53.32
2013-12-23,55.14,55.31,54.3,54.42,256700,54.42
2013-12-16,53.4,55.02,53.1,54.86,922300,54.86
2013-12-09,54.93,54.98,52.7,53.11,344200,53.11
2013-12-02,53.72,55.2,53.17,54.93,411900,54.93
2013-11-25,55.86,56.13,53.18,53.74,525000,53.74
2013-11-18,57.08,57.38,56.19,56.4,281500,55.72
2013-11-11,56.64,57.14,55.2,57.07,377500,56.38
2013-11-04,59.28,59.43,55.55,56.64,397200,55.96
2013-10-28,59.09,59.74,58.22,59.11,210000,58.4
2013-10-21,57.25,59.17,57.,59.13,274300,58.42
2013-10-14,56.49,57.71,55.51,57.39,285800,56.7
2013-10-07,55.04,56.92,54.54,56.84,333200,56.15
2013-09-30,55.47,56.26,55.01,55.34,282300,54.67
2013-09-23,55.97,57.1,55.62,55.82,309100,55.15
2013-09-16,54.88,56.87,54.,55.99,459200,55.31
2013-09-09,54.69,55.18,53.8,54.04,386600,53.39
2013-09-03,56.36,56.36,54.33,54.69,613300,54.03
2013-08-26,57.56,57.72,55.79,55.92,320600,55.25
2013-08-19,58.68,58.8,56.86,57.53,329300,56.16
2013-08-12,61.96,62.08,58.42,58.72,367800,57.32
2013-08-05,63.29,63.53,61.96,62.19,423200,60.71
2013-07-29,62.7,63.58,62.3,63.55,352300,62.04
2013-07-22,62.48,62.95,61.87,62.81,232500,61.31
2013-07-15,60.45,62.48,60.2,62.41,273100,60.92
2013-07-08,57.41,60.48,57.41,60.4,308600,58.96
2013-07-01,58.63,58.94,56.5,57.3,281200,55.94
2013-06-24,56.51,59.,56.,58.53,341600,57.14
2013-06-17,57.9,58.18,55.39,56.91,556900,55.56
2013-06-10,57.15,57.78,56.41,57.49,304100,56.12
2013-06-03,57.65,57.97,55.72,57.04,402600,55.68
2013-05-28,59.64,59.91,57.53,57.53,513500,56.16
2013-05-20,61.47,62.19,58.75,59.21,424300,57.14
2013-05-13,59.85,61.58,59.32,61.57,361500,59.42
2013-05-06,61.71,61.85,59.61,59.84,369500,57.75
2013-04-29,60.71,62.75,60.48,62.45,280000,60.27
2013-04-22,60.47,61.4,59.9,60.57,214200,58.45
2013-04-15,60.05,60.49,58.95,60.47,279700,58.36
2013-04-08,59.38,60.49,58.97,60.45,278000,58.34
2013-04-01,58.06,59.44,57.93,59.35,283800,57.28
2013-03-25,56.7,58.27,56.29,58.16,339100,56.13
2013-03-18,55.56,57.23,55.55,56.7,381400,54.72
2013-03-11,56.07,56.4,55.75,55.99,391500,54.03
2013-03-04,55.9,57.55,55.74,56.2,395000,54.24
2013-02-25,56.73,57.27,52.55,56.1,426200,54.14
2013-02-19,56.13,57.01,55.89,56.64,332000,54.
2013-02-11,55.65,56.44,55.65,56.16,313000,53.54
2013-02-04,55.25,55.78,54.88,55.74,253200,53.14
2013-01-28,54.89,55.51,54.28,55.46,281700,52.87
2013-01-22,54.25,54.9,54.07,54.61,219200,52.06
2013-01-14,53.84,54.34,53.38,54.29,239900,51.76
2013-01-07,54.07,54.17,53.09,53.92,283200,51.4
2012-12-31,51.61,54.3,51.21,54.29,355900,51.76
2012-12-24,53.01,53.33,51.54,51.61,452300,49.2
2012-12-17,52.73,54.49,52.73,53.26,846100,50.77
2012-12-10,53.37,54.1,52.76,52.87,413700,50.4
2012-12-03,53.27,53.8,52.4,53.37,264300,50.88
2012-11-26,52.47,53.79,52.1,53.17,408100,50.69
2012-11-19,52.96,53.08,52.14,52.6,408400,49.51
2012-11-12,51.99,52.76,51.14,52.65,471900,49.55
2012-11-05,53.32,55.6,51.7,52.,462000,48.94
2012-10-31,53.67,54.45,53.45,53.55,377400,50.4
2012-10-22,55.07,55.15,53.28,53.57,294900,50.42
2012-10-15,54.17,55.83,53.63,55.18,262700,51.93
2012-10-08,55.22,55.7,54.36,54.48,231600,51.27
2012-10-01,52.4,55.59,52.14,55.2,768900,51.95
2012-09-24,52.48,53.28,51.79,52.2,405500,49.13
2012-09-17,53.44,53.56,52.41,52.47,487500,49.38
2012-09-10,54.39,54.51,53.25,53.48,414300,50.33
2012-09-04,53.99,54.74,53.88,54.29,340600,51.1
2012-08-27,55.32,55.54,53.93,53.99,450700,50.81
2012-08-20,56.57,56.89,55.04,55.32,396100,51.43
2012-08-13,58.16,58.68,56.61,56.78,432000,52.78
2012-08-06,61.43,61.8,58.15,58.4,493600,54.29
2012-07-30,60.63,61.92,59.56,61.16,315400,56.85
2012-07-23,59.72,60.91,58.86,60.8,329100,56.52
2012-07-16,58.57,60.17,58.37,60.05,361500,55.82
2012-07-09,57.41,58.61,56.95,58.56,278700,54.44
2012-07-02,57.17,57.78,56.82,57.53,327700,53.48
2012-06-25,55.63,57.55,55.35,56.87,373600,52.87
2012-06-18,56.08,57.55,55.74,55.89,519600,51.96
2012-06-11,55.5,56.81,55.05,56.55,415100,52.57
2012-06-04,53.63,55.48,53.41,55.48,405300,51.57
2012-05-29,54.55,54.55,53.44,53.66,534600,49.88
2012-05-21,53.2,55.04,52.83,54.73,544200,50.24
2012-05-14,53.58,54.11,53.01,53.21,402300,48.85
2012-05-07,53.34,54.44,52.88,53.94,514800,49.52
2012-04-30,54.44,55.15,53.45,53.6,514700,49.21
2012-04-23,52.9,54.53,52.71,54.42,440300,49.96
2012-04-16,51.93,53.31,51.89,53.2,449600,48.84
2012-04-09,51.7,52.42,50.89,51.75,608200,47.51
2012-04-02,53.01,53.65,52.01,52.22,424700,47.94
2012-03-26,53.08,53.47,52.25,52.99,351700,48.65
2012-03-19,52.99,53.36,52.4,52.7,339200,48.38
2012-03-12,53.68,54.3,52.69,53.,497700,48.66
2012-03-05,51.96,53.7,51.61,53.53,596700,49.14
2012-02-27,53.71,53.77,51.95,52.07,585300,47.8
2012-02-21,54.6,54.87,53.67,54.41,462900,49.33
2012-02-13,53.51,54.88,53.26,54.58,532800,49.48
2012-02-06,52.71,53.59,52.49,53.36,481800,48.37
2012-01-30,51.61,52.84,51.19,52.72,463700,47.79
2012-01-23,51.09,53.24,50.8,51.95,433800,47.1
2012-01-17,52.48,52.84,51.,51.09,348700,46.32
2012-01-09,53.35,53.58,51.66,52.07,341000,47.21
2012-01-03,54.73,54.73,53.09,53.19,376300,48.22
2011-12-27,53.82,54.61,53.73,54.18,274500,49.12
2011-12-19,51.91,53.89,51.22,53.83,425800,48.8
2011-12-12,51.,52.15,50.06,51.7,514500,46.87
2011-12-05,51.43,51.7,50.26,51.24,464300,46.45
2011-11-28,49.01,51.88,48.71,50.76,624500,46.02
2011-11-21,50.92,50.99,48.45,49.09,586300,43.89
2011-11-14,51.94,52.03,50.63,51.52,519800,46.06
2011-11-07,53.19,53.31,50.88,52.26,649000,46.72
2011-10-31,53.11,53.75,51.23,52.94,611500,47.33
2011-10-24,51.6,54.,51.4,53.61,741800,47.93
2011-10-17,49.58,51.61,48.82,51.61,504500,46.14
2011-10-10,48.99,49.73,48.19,49.71,485100,44.44
2011-10-03,48.6,48.96,45.75,48.42,681200,43.29
2011-09-26,48.37,49.67,47.75,48.62,573200,43.47
2011-09-19,49.25,51.18,47.19,47.84,726800,42.77
2011-09-12,46.88,50.25,46.76,49.96,644400,44.67
2011-09-06,47.26,49.09,46.9,47.22,520600,42.22
2011-08-29,49.34,50.3,48.39,48.45,593100,43.32
2011-08-22,48.63,50.33,47.51,49.42,754000,43.57
2011-08-15,47.21,49.91,47.21,47.86,727800,42.2
2011-08-08,46.68,47.54,42.76,46.97,1288100,41.41
2011-08-01,50.74,50.82,46.11,47.58,800600,41.95
2011-07-25,51.73,52.09,49.73,50.21,344800,44.27
2011-07-18,51.54,52.64,50.8,52.05,304500,45.89
2011-07-11,52.18,52.36,51.28,51.73,366800,45.61
2011-07-05,52.37,52.79,52.05,52.59,296100,46.37
2011-06-27,50.92,52.62,50.92,52.56,313700,46.34
2011-06-20,50.32,51.52,50.1,50.82,513800,44.81
2011-06-13,50.06,50.71,49.59,50.34,402600,44.39
2011-06-06,50.78,50.84,49.83,49.9,358000,44.
2011-05-31,52.26,52.38,50.44,50.81,520400,44.8
2011-05-23,53.25,53.52,51.52,51.97,465600,45.82
