Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,57.66,58.28,57.66,57.97,2607200,57.97
2014-02-18,57.32,58.16,57.15,57.47,2049300,57.47
2014-02-10,56.6,57.5,55.98,57.24,1397000,57.24
2014-02-03,56.59,56.65,54.17,56.61,1960100,56.61
2014-01-27,56.8,58.,56.07,56.51,2777500,56.51
2014-01-21,56.15,61.14,55.68,57.32,3448100,57.32
2014-01-13,55.44,56.19,54.91,55.94,1703600,55.94
2014-01-06,54.7,55.95,54.16,55.44,1601800,55.44
2013-12-30,54.53,55.11,54.26,54.49,1232100,54.49
2013-12-23,54.,54.87,53.94,54.53,644800,54.53
2013-12-16,52.04,53.93,51.65,53.74,2181600,53.74
2013-12-09,53.74,53.94,51.86,51.98,1676500,51.98
2013-12-02,52.64,53.7,52.44,53.62,1959900,53.62
2013-11-25,52.89,53.2,52.49,52.72,1229300,52.72
2013-11-18,52.07,53.44,50.85,52.99,2225400,52.74
2013-11-11,52.04,52.56,51.39,52.39,1894800,52.14
2013-11-04,51.55,52.77,51.26,52.22,1965500,51.97
2013-10-28,55.81,55.81,50.76,51.21,2342900,50.97
2013-10-21,53.51,54.15,53.11,53.6,1484700,53.35
2013-10-14,51.73,53.59,51.1,53.57,1538700,53.32
2013-10-07,51.52,52.14,49.22,51.98,1553300,51.73
2013-09-30,51.64,52.38,51.23,52.12,1157700,51.87
2013-09-23,53.03,53.1,51.72,51.96,1583600,51.71
2013-09-16,54.11,54.19,53.02,53.1,1917900,52.85
2013-09-09,50.7,53.65,50.7,53.44,1930700,53.19
2013-09-03,49.65,50.52,49.25,50.22,1600200,49.98
2013-08-26,50.06,50.14,48.29,49.,1481700,48.77
2013-08-19,49.3,50.33,49.14,50.08,1127300,49.59
2013-08-12,50.31,50.99,49.24,49.4,1613700,48.91
2013-08-05,51.45,51.61,50.43,50.64,1699500,50.14
2013-07-29,50.23,51.63,50.23,51.51,1532800,51.
2013-07-22,47.86,51.36,47.82,50.52,2514300,50.02
2013-07-15,47.45,48.11,46.97,47.77,1618600,47.3
2013-07-08,46.95,47.57,46.45,47.46,1695700,46.99
2013-07-01,45.8,46.82,45.77,46.7,1328300,46.24
2013-06-24,45.15,46.1,44.02,45.54,1573500,45.09
2013-06-17,45.69,46.89,44.67,45.61,1789000,45.16
2013-06-10,45.65,45.88,44.42,45.42,1226300,44.97
2013-06-03,44.55,45.69,43.88,45.53,1616900,45.08
2013-05-28,45.54,45.86,44.39,44.39,1852200,43.95
2013-05-20,45.72,46.46,44.8,45.28,1441700,44.59
2013-05-13,44.46,46.02,44.24,45.99,1394000,45.29
2013-05-06,44.08,45.23,44.08,44.49,1748400,43.81
2013-04-29,42.41,44.75,42.41,44.44,1720500,43.76
2013-04-22,39.41,43.2,39.09,42.43,1886700,41.78
2013-04-15,41.48,41.5,38.75,39.38,1882100,38.78
2013-04-08,41.09,42.21,40.89,41.61,1580600,40.97
2013-04-01,41.94,41.99,40.58,41.14,1454600,40.51
2013-03-25,41.96,42.27,41.28,41.93,1577500,41.29
2013-03-18,41.35,42.16,41.25,41.82,1282800,41.18
2013-03-11,42.08,42.6,41.56,41.83,1697900,41.19
2013-03-04,40.14,42.25,39.98,42.22,1396400,41.57
2013-02-25,41.15,41.17,39.34,40.23,1886400,39.62
2013-02-19,41.,41.45,40.29,41.01,1820700,40.17
2013-02-11,40.49,41.29,40.27,41.03,1396800,40.19
2013-02-04,38.93,40.61,38.83,40.52,1526100,39.69
2013-01-28,39.12,39.66,38.73,39.37,1800900,38.56
2013-01-22,38.67,39.87,38.18,39.47,2645600,38.66
2013-01-14,37.75,38.74,37.48,38.72,1590600,37.93
2013-01-07,37.38,38.04,36.69,37.9,1282500,37.12
2012-12-31,36.27,38.2,36.13,37.64,1580000,36.87
2012-12-24,37.28,37.45,36.31,36.34,1067700,35.6
2012-12-17,36.22,38.,36.14,37.43,2192500,36.66
2012-12-10,35.85,37.,35.63,36.15,1681100,35.41
2012-12-03,35.41,35.99,34.98,35.89,1476700,35.15
2012-11-26,35.16,35.63,34.11,35.19,1354800,34.47
2012-11-19,33.69,35.5,33.31,35.5,1768600,34.56
2012-11-12,34.09,34.69,33.41,34.09,2427900,33.19
2012-11-05,31.99,34.9,31.74,34.09,2339300,33.19
2012-10-31,32.28,33.16,32.05,32.37,2322400,31.52
2012-10-22,32.88,33.31,31.87,32.22,1902300,31.37
2012-10-15,32.86,34.4,32.49,32.94,1612300,32.07
2012-10-08,33.99,34.13,32.73,32.75,1170500,31.88
2012-10-01,34.18,34.63,33.8,34.2,1216900,33.3
