Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,76.05,76.52,75.73,76.04,586000,76.04
2014-02-18,75.85,77.36,75.16,76.08,388000,76.08
2014-02-10,74.72,76.28,74.23,75.86,601500,75.86
2014-02-03,75.1,75.43,71.74,75.08,613300,75.08
2014-01-27,74.57,75.86,73.59,75.15,577800,75.15
2014-01-21,78.17,78.24,74.56,74.56,474100,74.56
2014-01-13,78.04,78.45,76.91,77.71,422200,77.71
2014-01-06,77.84,78.94,77.03,78.27,572900,78.27
2013-12-30,78.24,78.38,77.08,77.58,313600,77.58
2013-12-23,78.06,79.42,77.58,78.24,266800,78.07
2013-12-16,76.09,78.01,74.88,77.85,602300,77.68
2013-12-09,77.15,77.15,75.66,75.84,395900,75.68
2013-12-02,76.05,77.04,74.61,76.78,451800,76.61
2013-11-25,75.53,76.88,75.19,76.,341400,75.83
2013-11-18,75.69,75.85,74.21,75.41,460100,75.25
2013-11-11,73.9,75.54,72.52,75.42,409900,75.26
2013-11-04,73.01,74.59,72.49,73.9,458100,73.74
2013-10-28,73.43,74.26,72.51,72.77,644200,72.61
2013-10-21,75.06,75.79,72.76,73.36,395500,73.2
2013-10-14,72.48,75.12,72.27,75.02,411600,74.86
2013-10-07,71.98,73.44,70.26,73.16,327300,73.
2013-09-30,72.18,72.75,70.75,72.56,404300,72.4
2013-09-23,72.1,73.14,71.55,72.84,306100,72.51
2013-09-16,73.11,73.11,71.48,71.94,536900,71.61
2013-09-09,70.55,72.64,70.39,72.17,229600,71.84
2013-09-03,69.68,71.17,68.74,70.55,343600,70.23
2013-08-26,71.35,71.53,68.69,68.89,374000,68.58
2013-08-19,70.84,71.87,69.57,71.32,358800,71.
2013-08-12,70.91,71.68,70.07,70.93,268000,70.61
2013-08-05,72.4,72.46,70.37,71.16,325900,70.84
2013-07-29,70.32,73.09,70.03,72.4,434900,72.07
2013-07-22,69.55,70.79,69.45,70.34,396500,70.02
2013-07-15,69.39,70.38,68.43,69.55,333400,69.24
2013-07-08,67.45,69.49,67.4,69.24,490400,68.93
2013-07-01,65.48,67.09,65.45,67.08,393600,66.78
2013-06-24,63.96,65.83,63.39,65.14,378800,64.68
2013-06-17,65.08,65.88,64.1,64.55,501100,64.09
2013-06-10,65.04,65.44,63.45,64.66,440900,64.2
2013-06-03,64.41,65.,62.51,64.96,607800,64.5
2013-05-28,64.87,65.74,64.06,64.51,491100,64.05
2013-05-20,64.74,65.53,63.43,64.26,470700,63.8
2013-05-13,64.06,65.49,63.78,64.86,569800,64.4
2013-05-06,62.6,64.28,62.57,64.2,492400,63.74
2013-04-29,61.4,63.01,60.85,62.63,495000,62.19
2013-04-22,59.33,61.74,58.56,61.31,505800,60.88
2013-04-15,59.52,59.58,58.18,59.3,546600,58.88
2013-04-08,58.18,60.03,57.71,59.62,542200,59.2
2013-04-01,59.83,59.97,57.69,58.14,553000,57.73
2013-03-25,59.47,59.86,58.82,59.8,464900,59.21
2013-03-18,58.71,59.64,58.4,59.29,392800,58.7
2013-03-11,58.18,59.75,58.12,59.36,539700,58.77
2013-03-04,56.07,58.66,55.9,58.35,470300,57.77
2013-02-25,56.32,56.49,54.87,56.3,610300,55.74
2013-02-19,56.56,56.88,55.47,56.13,561000,55.57
2013-02-11,55.58,56.42,55.32,56.21,440400,55.65
2013-02-04,55.66,56.03,54.5,55.55,694700,55.
2013-01-28,55.98,56.43,55.25,56.02,654900,55.46
2013-01-22,53.76,56.11,53.63,55.98,669300,55.42
2013-01-14,53.47,54.03,53.02,53.76,465000,53.23
2013-01-07,53.12,53.57,52.18,53.45,675800,52.92
2012-12-31,50.98,53.69,50.6,53.46,572900,52.93
2012-12-24,52.11,52.47,50.68,50.96,455400,50.31
2012-12-17,50.77,52.98,50.77,52.11,861400,51.44
2012-12-10,51.66,52.7,50.52,50.58,525600,49.93
2012-12-03,51.96,52.16,51.08,51.77,656400,51.11
2012-11-26,51.45,52.07,51.23,51.99,611600,51.32
2012-11-19,50.92,51.84,50.67,51.84,354500,51.18
2012-11-12,50.26,50.6,49.1,50.47,1208700,49.82
2012-11-05,50.23,51.25,49.55,50.22,743800,49.58
2012-10-31,50.29,51.5,50.,50.56,578800,49.91
2012-10-22,51.01,51.38,49.62,50.46,775500,49.81
2012-10-15,51.03,52.36,50.51,51.1,684000,50.45
2012-10-08,51.8,51.88,50.64,50.77,358600,50.12
2012-10-01,51.44,52.26,50.61,51.93,432400,51.27
2012-09-24,51.81,52.28,50.71,51.35,497000,50.54
2012-09-17,52.66,52.96,51.29,51.92,573100,51.1
2012-09-10,52.17,53.15,51.66,52.76,529000,51.93
2012-09-04,51.18,52.45,51.09,52.27,554900,51.45
2012-08-27,51.08,51.68,50.75,51.18,565000,50.38
2012-08-20,50.99,51.41,50.15,50.94,581300,50.14
2012-08-13,50.18,51.14,49.91,51.11,499200,50.31
2012-08-06,51.46,51.8,49.4,50.31,915500,49.52
2012-07-30,49.94,51.77,49.35,51.36,827500,50.55
2012-07-23,50.6,51.1,48.23,50.01,1135800,49.22
2012-07-16,51.89,52.,50.92,51.19,593200,50.39
2012-07-09,50.88,51.9,50.37,51.9,445600,51.09
2012-07-02,50.85,51.48,50.35,50.89,500200,50.09
2012-06-25,48.32,50.78,47.84,50.55,736200,49.61
