Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,97.,98.47,96.5,98.26,1307600,98.26
2014-02-18,91.19,97.97,90.56,96.92,2038400,96.92
2014-02-10,84.05,93.13,82.37,91.25,4367400,91.25
2014-02-03,76.94,85.42,72.57,84.45,2775200,84.45
2014-01-27,80.34,80.79,75.56,77.19,1738700,77.19
2014-01-21,84.66,85.16,80.25,80.36,1914900,80.36
2014-01-13,86.43,86.83,82.36,83.9,1354100,83.9
2014-01-06,80.82,86.8,79.35,86.8,1816500,86.8
2013-12-30,81.46,82.89,79.4,80.92,1223800,80.92
2013-12-23,83.78,84.12,81.45,81.64,945600,81.64
2013-12-16,82.05,83.7,78.67,83.13,3010000,83.13
2013-12-09,85.75,87.,81.27,81.38,1915500,81.38
2013-12-02,88.25,89.57,84.52,85.61,1530800,85.61
2013-11-25,87.88,89.46,85.23,88.32,1011200,88.32
2013-11-18,87.64,89.21,86.52,87.4,1297500,87.4
2013-11-11,84.4,90.43,83.58,87.77,2162500,87.77
2013-11-04,84.,89.47,80.69,84.48,2677400,84.48
2013-10-28,76.89,84.64,75.88,83.38,2800500,83.38
2013-10-21,72.1,77.57,69.33,76.98,4915800,76.98
2013-10-14,73.4,75.43,71.6,71.87,2879800,71.87
2013-10-07,77.89,78.,68.11,74.01,2528400,74.01
2013-09-30,74.72,79.89,74.16,78.41,1657200,78.41
2013-09-23,77.,78.17,73.12,75.85,1353400,75.85
2013-09-16,73.83,79.08,72.11,75.12,1776700,75.12
2013-09-09,74.53,75.9,72.25,72.82,1542500,72.82
2013-09-03,74.9,75.73,72.76,74.11,936900,74.11
2013-08-26,71.72,74.67,70.6,73.97,1144600,73.97
2013-08-19,71.15,72.62,68.84,71.87,1151000,71.87
2013-08-12,80.76,82.19,69.19,70.99,3160300,70.99
2013-08-05,75.96,81.49,75.83,80.94,1478300,80.94
2013-07-29,73.49,76.93,72.01,75.79,1276700,75.79
2013-07-22,61.11,74.86,60.03,73.95,2773000,73.95
2013-07-15,61.35,62.97,59.85,60.62,1155900,60.62
2013-07-08,62.,63.75,59.74,61.05,1816000,61.05
2013-07-01,61.45,61.78,59.54,61.7,1791700,61.7
2013-06-24,59.48,63.02,58.74,60.87,2280200,60.87
2013-06-17,64.18,65.2,60.1,60.28,1813000,60.28
2013-06-10,64.17,65.1,63.18,63.75,1142200,63.75
2013-06-03,63.15,64.17,60.73,64.05,2108000,64.05
2013-05-28,62.57,65.41,62.01,64.49,3072000,64.49
2013-05-20,60.07,63.57,59.07,61.69,1959700,61.69
2013-05-13,53.68,60.48,53.29,59.88,2684400,59.88
2013-05-06,55.26,56.8,51.72,53.84,2728800,53.84
2013-04-29,53.69,55.64,51.88,55.3,1701200,55.3
2013-04-22,51.29,54.8,50.34,53.72,1561500,53.72
2013-04-15,52.82,53.5,50.62,51.09,1691900,51.09
2013-04-08,48.86,52.69,48.18,52.49,1591600,52.49
2013-04-01,52.53,54.14,48.29,48.88,1935300,48.88
2013-03-25,52.93,53.5,51.36,52.52,1022100,52.52
2013-03-18,52.12,53.45,51.57,52.5,1377400,52.5
2013-03-11,51.09,53.73,50.26,52.4,1836100,52.4
2013-03-04,45.42,51.34,44.75,51.03,2883500,51.03
2013-02-25,44.13,45.94,43.44,45.62,1866400,45.62
2013-02-19,44.49,44.49,42.2,43.85,1580700,43.85
2013-02-11,47.13,47.78,42.04,44.42,3105000,44.42
2013-02-04,46.09,49.35,45.56,47.02,1910300,47.02
2013-01-28,46.34,47.77,45.07,46.3,1691900,46.3
2013-01-22,43.59,46.05,43.31,45.96,1267900,45.96
2013-01-14,43.89,44.57,43.17,43.68,1291900,43.68
2013-01-07,44.03,45.45,42.77,43.98,1788900,43.98
2012-12-31,41.34,44.5,40.88,44.12,1813500,44.12
2012-12-24,43.25,44.1,41.29,41.34,873900,41.34
2012-12-17,41.86,44.29,41.31,41.97,3444300,41.97
2012-12-10,39.58,47.,37.91,41.67,5394900,41.67
2012-12-03,38.24,39.69,35.96,38.59,2524300,38.59
2012-11-26,38.,39.07,37.16,38.19,1453400,38.19
2012-11-19,38.4,39.32,36.89,38.,1854900,38.
2012-11-12,35.48,38.7,34.31,38.03,3143500,38.03
2012-11-05,34.7,35.04,32.5,34.31,3129400,34.31
2012-10-31,30.73,35.95,28.63,35.12,8336300,35.12
2012-10-22,29.85,32.33,29.36,30.27,2973900,30.27
2012-10-15,31.28,31.9,29.06,29.93,2626400,29.93
2012-10-08,33.28,34.16,30.44,31.22,2475700,31.22
2012-10-01,33.23,34.18,31.7,33.49,2604400,33.49
2012-09-24,34.53,34.53,31.71,32.93,2615200,32.93
2012-09-17,36.07,36.29,33.82,34.53,2281800,34.53
2012-09-10,35.53,36.97,34.99,36.06,1518500,36.06
2012-09-04,33.5,36.25,33.19,35.61,2104700,35.61
2012-08-27,34.29,34.44,33.28,33.44,1450400,33.44
2012-08-20,33.27,34.75,32.76,34.05,2740700,34.05
2012-08-13,35.27,35.29,32.28,33.45,4855700,33.45
2012-08-06,36.67,39.,35.05,35.1,2707400,35.1
2012-07-30,35.52,37.82,35.25,36.68,2512200,36.68
2012-07-23,44.15,46.38,34.03,35.41,5490700,35.41
2012-07-16,45.91,47.81,44.44,44.9,1682100,44.9
2012-07-09,46.27,46.95,43.26,45.85,1386500,45.85
2012-07-02,44.73,47.44,44.7,46.36,1195600,46.36
2012-06-25,44.76,46.3,42.18,44.69,1232800,44.69
2012-06-18,44.14,46.09,42.35,45.53,1846800,45.53
2012-06-11,44.46,45.31,42.53,44.38,1763500,44.38
2012-06-04,41.16,44.,40.12,43.02,1766200,43.02
2012-05-29,45.8,45.8,39.92,41.02,2121100,41.02
2012-05-21,40.87,45.82,40.33,45.,2279400,45.
2012-05-14,41.4,43.84,39.81,40.66,2555700,40.66
2012-05-07,39.8,42.05,39.4,41.73,1886100,41.73
2012-04-30,36.46,44.46,36.07,40.2,4660900,40.2
2012-04-23,34.72,37.85,33.23,36.87,2668100,36.87
2012-04-16,34.63,36.43,33.74,35.02,1218200,35.02
2012-04-09,35.56,35.83,34.39,34.5,1023200,34.5
2012-04-02,35.62,37.78,35.04,36.23,2324100,36.23
2012-03-26,33.31,36.86,32.86,35.67,2308800,35.67
2012-03-19,33.8,34.4,32.81,33.27,962900,33.27
2012-03-12,30.73,34.92,30.23,34.,2323600,34.
2012-03-05,32.29,32.41,30.56,30.7,1003800,30.7
2012-02-27,31.38,33.49,31.09,32.45,1903600,32.45
2012-02-21,30.61,32.,29.56,31.8,2421000,31.8
2012-02-13,30.07,30.94,26.93,30.7,3182900,30.7
2012-02-06,35.35,35.75,27.99,30.04,4794300,30.04
2012-01-30,30.96,35.93,30.64,35.38,2243400,35.38
2012-01-23,30.54,32.33,29.97,31.24,1864500,31.24
2012-01-17,29.58,30.89,28.52,30.4,2108900,30.4
2012-01-09,25.74,29.77,25.65,29.51,2389000,29.51
2012-01-03,26.15,27.35,24.57,25.57,2105500,25.57
2011-12-27,25.36,26.1,24.63,25.21,2257900,25.21
2011-12-19,28.69,30.62,23.99,26.02,2995100,26.02
2011-12-12,28.28,29.92,26.85,28.46,734900,28.46
2011-12-07,27.5,28.,24.,27.91,949800,27.91
