Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,80.02,81.39,80.02,80.86,1007500,80.86
2014-02-18,80.69,81.51,79.31,80.,904500,80.
2014-02-10,79.46,81.07,78.83,80.83,1254500,80.83
2014-02-03,78.48,79.54,75.57,79.34,1801500,79.34
2014-01-27,77.4,81.4,76.5,78.44,2352700,78.44
2014-01-21,81.43,82.38,77.21,77.38,2250100,77.38
2014-01-13,82.94,84.41,82.03,82.28,1625000,82.28
2014-01-06,83.67,84.34,82.86,83.43,964300,83.43
2013-12-30,83.4,83.99,82.19,83.3,834700,83.3
2013-12-23,83.3,83.92,83.06,83.43,720300,83.43
2013-12-16,79.17,83.47,79.,82.88,1750700,82.88
2013-12-09,80.13,80.57,77.72,78.37,1129900,78.37
2013-12-02,80.65,81.46,78.48,79.82,1119600,79.43
2013-11-25,81.42,81.62,80.25,80.46,807500,80.07
2013-11-18,79.91,81.18,79.6,81.13,1140900,80.74
2013-11-11,78.55,80.19,77.81,79.99,1281700,79.6
2013-11-04,77.57,78.87,76.58,78.8,1254200,78.42
2013-10-28,77.1,78.82,76.02,77.63,2166400,77.25
2013-10-21,77.07,77.94,74.61,75.75,2021900,75.38
2013-10-14,73.87,77.36,73.62,76.83,1501900,76.46
2013-10-07,71.87,75.01,70.96,74.66,1378200,74.3
2013-09-30,71.55,72.87,71.27,72.71,1188200,72.36
2013-09-23,73.64,73.72,71.87,72.45,1097100,72.1
2013-09-16,72.84,74.99,72.05,73.96,1874500,73.6
2013-09-09,71.12,72.22,70.75,71.56,1378300,71.21
2013-09-03,70.94,71.55,69.9,70.72,1076600,70.01
2013-08-26,72.35,72.81,69.97,70.14,1176100,69.43
2013-08-19,72.66,72.9,71.45,72.58,933800,71.85
2013-08-12,74.23,76.96,72.16,72.75,1513000,72.02
2013-08-05,76.32,76.32,74.33,74.68,1134400,73.93
2013-07-29,74.21,77.03,73.91,76.35,1785400,75.58
2013-07-22,79.85,80.26,74.6,76.25,1929200,75.48
2013-07-15,77.49,79.19,77.44,79.18,1038600,78.38
2013-07-08,75.74,77.79,74.98,77.45,1529000,76.67
2013-07-01,73.59,75.39,72.9,75.37,1024500,74.61
2013-06-24,72.34,74.14,70.07,73.2,1559100,72.46
2013-06-17,73.51,76.25,71.36,72.07,1645800,71.34
2013-06-10,76.08,76.29,72.24,73.4,983300,72.66
2013-06-03,76.39,76.58,72.51,75.68,1252000,74.54
2013-05-28,77.92,78.38,75.83,75.91,1203500,74.77
2013-05-20,78.38,80.13,75.9,76.92,1425600,75.76
2013-05-13,75.14,78.45,74.58,78.36,1444700,77.18
2013-05-06,73.18,75.19,72.84,75.19,1066300,74.06
2013-04-29,71.47,73.89,70.93,73.25,1583800,72.15
2013-04-22,75.27,76.41,71.01,71.02,2089500,69.95
2013-04-15,76.62,76.77,73.13,74.53,1244400,73.41
2013-04-08,73.23,77.14,72.94,76.8,1030900,75.64
2013-04-01,75.,75.11,72.19,73.26,992500,72.16
2013-03-25,74.54,75.08,73.5,74.87,1176200,73.74
2013-03-18,74.77,75.8,71.67,74.12,1316900,73.
2013-03-11,74.59,76.,74.2,75.56,1428800,74.42
2013-03-04,71.56,75.45,71.3,75.2,1254100,73.69
2013-02-25,72.52,72.61,69.85,71.74,1519700,70.3
2013-02-19,73.36,73.91,71.14,71.91,1485900,70.47
2013-02-11,73.22,74.44,72.62,73.13,1293700,71.66
2013-02-04,72.41,73.55,71.47,73.27,1288600,71.8
2013-01-28,72.61,73.22,68.01,73.08,2230700,71.62
2013-01-22,71.06,72.65,70.89,72.09,1416200,70.64
2013-01-14,69.42,71.34,68.73,71.13,1636400,69.7
2013-01-07,68.,69.59,67.32,69.54,1455500,68.15
2012-12-31,63.98,68.36,63.56,68.34,1497100,66.97
2012-12-24,65.68,66.15,63.91,63.93,1101400,62.65
2012-12-17,64.16,66.95,64.01,65.89,1964500,64.57
2012-12-10,64.6,66.06,63.73,63.98,1499500,62.7
2012-12-03,64.92,65.25,63.38,64.84,1217400,63.21
2012-11-26,65.29,65.44,63.5,64.67,1195100,63.04
2012-11-19,64.17,65.72,63.98,65.7,829800,64.05
2012-11-12,63.38,64.74,62.67,63.25,1445300,61.66
2012-11-05,64.65,66.37,63.15,63.36,1173000,61.77
2012-10-31,64.76,66.5,63.78,64.99,1177200,63.36
2012-10-22,65.1,65.73,63.63,64.83,1077100,63.2
2012-10-15,63.47,66.66,63.19,65.35,1041600,63.71
2012-10-08,64.31,64.75,62.93,63.6,918700,62.
2012-10-01,63.66,64.56,62.35,63.79,991000,62.19
2012-09-24,63.97,64.58,62.34,63.3,902500,61.71
2012-09-17,65.58,65.77,63.67,64.11,1064600,62.5
