Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,83.83,84.39,83.4,83.44,2163200,83.44
2014-02-18,84.08,85.18,83.37,83.79,2406500,83.79
2014-02-10,81.33,84.07,80.65,84.02,3169000,84.02
2014-02-03,81.2,81.28,79.89,80.88,2853600,80.88
2014-01-27,81.25,83.57,80.88,81.28,3718700,81.28
2014-01-21,86.25,86.27,81.61,81.61,4267100,81.61
2014-01-13,87.33,88.,86.27,86.47,2131500,86.47
2014-01-06,89.72,89.9,87.08,87.49,1951900,87.49
2013-12-30,90.04,90.74,88.88,89.16,1342000,89.16
2013-12-23,89.91,90.21,89.01,89.85,871600,89.85
2013-12-16,86.99,89.64,86.26,89.18,2639900,89.18
2013-12-09,89.05,89.28,86.29,86.49,2021600,86.49
2013-12-02,90.26,90.4,87.84,89.01,2563600,89.01
2013-11-25,90.55,91.68,90.53,90.74,1846300,90.22
2013-11-18,88.88,90.59,87.69,90.52,1675800,90.01
2013-11-11,87.78,88.87,86.08,88.67,1859300,88.17
2013-11-04,86.51,88.03,86.14,87.8,1675800,87.3
2013-10-28,86.66,87.5,86.02,86.4,1544800,85.91
2013-10-21,86.69,88.05,85.62,86.63,2258500,86.14
2013-10-14,84.23,86.76,84.2,86.58,1844500,86.09
2013-10-07,84.05,84.78,82.24,84.66,1697100,84.18
2013-09-30,84.89,85.15,83.7,84.68,1801000,84.2
2013-09-23,86.62,87.2,85.11,85.41,1653800,84.92
2013-09-16,84.57,87.53,84.1,86.06,2806400,85.57
2013-09-09,80.74,83.91,80.54,83.56,2193500,83.08
2013-09-03,80.74,81.32,79.12,80.49,1658200,80.03
2013-08-26,80.25,80.75,79.16,79.9,1719600,78.95
2013-08-19,81.15,81.19,79.13,80.19,1603400,79.24
2013-08-12,81.55,82.54,80.83,81.1,1874600,80.14
2013-08-05,83.87,84.,81.47,82.1,1591500,81.13
2013-07-29,83.56,84.77,82.87,84.,2022200,83.
2013-07-22,84.66,85.53,81.51,83.6,2945500,82.61
2013-07-15,83.9,84.8,82.96,84.66,1851200,83.66
2013-07-08,81.6,84.24,81.09,84.18,1730900,83.18
2013-07-01,80.44,81.5,79.35,81.34,1684100,80.38
2013-06-24,78.14,80.64,77.38,79.92,2407400,78.97
2013-06-17,82.48,84.27,78.57,79.07,2573600,78.13
2013-06-10,83.44,83.62,80.91,82.15,1743200,81.18
2013-06-03,83.78,84.32,80.63,83.44,2695700,82.45
2013-05-28,84.38,85.09,82.63,83.72,2220100,82.22
2013-05-20,86.24,86.67,82.59,83.6,2563200,82.11
2013-05-13,86.31,87.91,86.05,86.5,1617300,84.96
2013-05-06,85.37,87.4,84.91,86.49,1623200,84.95
2013-04-29,85.2,85.71,83.98,85.41,1725700,83.88
2013-04-22,84.8,89.,83.95,85.15,2408700,83.63
2013-04-15,86.2,86.61,83.73,84.81,2153000,83.3
2013-04-08,84.38,86.41,83.98,86.26,1515300,84.72
2013-04-01,84.37,84.72,83.34,84.41,1492100,82.9
2013-03-25,84.03,84.28,82.57,84.19,1895700,82.69
2013-03-18,81.86,84.37,81.86,83.69,2036400,82.2
2013-03-11,81.58,83.15,81.18,82.28,2161500,80.81
2013-03-04,80.65,82.05,79.99,81.65,1479200,80.19
2013-02-25,80.99,81.25,79.25,80.69,1988700,78.8
2013-02-19,80.5,81.15,79.92,81.01,2110600,79.11
2013-02-11,78.75,80.85,78.53,80.39,1784000,78.51
2013-02-04,78.57,79.16,77.79,78.86,2627800,77.01
2013-01-28,78.2,80.44,77.09,79.89,2212300,78.02
2013-01-22,79.5,80.,77.15,78.35,2621100,76.52
2013-01-14,74.87,76.67,74.51,76.31,1619400,74.52
2013-01-07,73.67,74.87,72.6,74.85,1776100,73.1
2012-12-31,71.01,74.19,70.73,74.06,2288300,72.33
2012-12-24,72.61,72.74,71.11,71.24,1507300,69.57
2012-12-17,73.75,74.5,72.73,72.82,3218800,71.12
2012-12-10,73.32,74.16,73.04,73.37,2215200,71.65
2012-12-03,70.91,74.36,70.52,73.39,2858900,71.67
2012-11-26,70.81,71.65,69.8,70.82,2031700,68.73
2012-11-19,69.2,71.29,68.83,71.27,1798500,69.17
2012-11-12,69.34,69.35,67.77,68.65,2424400,66.63
2012-11-05,69.06,70.49,67.82,68.98,2859700,66.95
2012-10-31,70.56,72.12,68.73,69.62,4797700,67.57
2012-10-22,73.19,74.,71.13,71.56,3071000,69.45
2012-10-15,68.86,74.7,68.75,73.51,3601000,71.34
2012-10-08,69.27,69.78,68.54,68.72,1614900,66.69
2012-10-01,68.76,70.,68.38,69.56,2047100,67.51
2012-09-24,68.53,69.24,67.62,68.26,2048800,66.25
2012-09-17,68.56,68.97,67.88,68.61,2345000,66.59
2012-09-10,65.18,68.99,65.,68.58,2753400,66.56
2012-09-04,64.76,65.6,64.24,65.21,2196000,63.29
2012-08-27,65.48,65.58,64.15,64.74,1707600,62.38
2012-08-20,64.98,65.72,64.56,65.4,2582100,63.02
2012-08-13,63.82,65.19,63.41,65.13,1712700,62.76
2012-08-06,63.89,64.22,63.05,63.98,1804300,61.65
2012-07-30,62.83,64.07,62.45,63.71,2832600,61.39
2012-07-23,61.9,63.28,60.62,62.72,2929900,60.44
2012-07-16,63.14,64.62,62.13,62.71,2638900,60.43
2012-07-09,63.09,63.7,61.6,63.13,2207300,60.83
2012-07-02,64.08,64.34,62.92,63.26,1840100,60.96
2012-06-25,62.87,64.02,61.85,63.84,2018300,61.52
2012-06-18,63.25,64.11,62.5,63.35,2226900,61.04
2012-06-11,62.92,63.58,61.36,63.41,3068400,61.1
2012-06-04,60.8,62.56,60.08,62.14,2601000,59.88
2012-05-29,63.09,63.23,60.54,60.58,3369400,57.93
2012-05-21,62.31,63.34,62.04,62.6,2227900,59.87
2012-05-14,64.21,65.,62.04,62.18,3317900,59.46
2012-05-07,64.3,64.93,63.6,64.62,2597600,61.8
2012-04-30,63.95,65.27,63.75,64.5,3024100,61.68
2012-04-23,61.81,64.82,61.67,64.01,3763400,61.21
2012-04-16,58.44,62.9,58.44,62.75,3918500,60.01
2012-04-09,58.1,59.17,57.75,58.12,2805200,55.58
2012-04-02,59.25,59.75,58.59,58.88,2739000,56.31
2012-03-26,58.68,59.39,58.38,59.2,3443600,56.61
2012-03-19,59.26,59.56,57.95,58.2,3123900,55.66
2012-03-12,57.58,59.98,57.49,59.2,3814100,56.61
2012-03-05,57.92,58.62,55.86,57.61,3033000,55.09
2012-02-27,58.36,58.85,57.46,58.01,2765500,55.08
2012-02-21,59.95,59.99,58.41,58.6,2606800,55.64
2012-02-13,59.69,60.,58.53,59.85,2664900,56.82
2012-02-06,59.09,60.28,58.97,59.38,2115400,56.38
2012-01-30,57.68,60.13,57.36,60.12,3083500,57.08
2012-01-23,61.54,61.61,57.4,58.05,4765000,55.11
2012-01-17,59.86,61.62,59.38,61.59,2756500,58.48
2012-01-09,59.82,60.37,58.8,59.37,2109800,56.37
2012-01-03,60.11,60.32,58.08,59.35,3559700,56.35
2011-12-27,59.4,59.89,58.82,59.17,1678500,56.18
2011-12-19,57.47,59.67,56.59,59.35,3163400,56.35
2011-12-12,55.47,57.55,55.35,57.28,5104600,54.38
