Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,66.41,67.49,66.05,66.77,916400,66.77
2014-02-18,65.67,66.74,65.02,66.4,1241900,66.4
2014-02-10,66.6,66.76,64.07,65.7,1126600,65.57
2014-02-03,66.26,66.65,62.06,66.52,1758900,66.39
2014-01-27,70.62,70.95,64.63,66.51,2514400,66.38
2014-01-21,74.39,74.91,70.11,70.18,9443800,70.04
2014-01-13,76.62,76.81,72.61,74.17,1222100,74.02
2014-01-06,77.,77.39,75.35,76.58,672100,76.43
2013-12-30,74.93,78.17,74.93,76.48,920900,76.33
2013-12-23,77.,77.,74.73,75.54,730300,75.39
2013-12-16,73.03,75.5,72.51,74.92,2326200,74.77
2013-12-09,72.77,73.32,70.88,72.03,863200,71.89
2013-12-02,73.25,74.47,71.63,72.76,938100,72.62
2013-11-25,73.58,74.55,73.08,73.21,523200,73.06
2013-11-18,74.45,74.6,70.96,73.19,605500,73.05
2013-11-11,71.5,74.1,70.95,74.09,702000,73.94
2013-11-04,70.46,71.96,69.92,71.37,941500,71.1
2013-10-28,73.34,73.69,70.59,71.12,1000500,70.85
2013-10-21,67.46,74.91,67.23,73.22,1700900,72.95
2013-10-14,65.6,67.47,64.8,67.19,639400,66.94
2013-10-07,68.01,68.3,64.17,65.85,758700,65.6
2013-09-30,66.03,69.25,65.83,68.53,845400,68.27
2013-09-23,130.76,132.51,65.36,66.4,661100,66.15
2013-09-16,132.69,132.75,128.62,130.48,912100,65.
2013-09-09,124.24,131.48,124.24,130.5,863400,65.01
2013-09-03,124.16,125.09,120.5,123.66,929100,61.6
2013-08-26,121.36,124.63,119.53,122.37,693700,60.96
2013-08-19,116.29,122.23,116.29,121.,672600,60.27
2013-08-12,121.86,122.4,116.34,116.76,607200,58.16
2013-08-05,122.84,123.12,119.37,122.37,702700,60.82
2013-07-29,119.51,123.57,119.01,123.31,883800,61.29
2013-07-22,122.09,123.84,116.05,119.18,1251500,59.24
2013-07-15,123.62,124.45,117.88,122.49,986700,60.88
2013-07-08,119.42,123.76,118.34,123.01,692800,61.14
2013-07-01,118.75,118.86,114.,118.81,829100,59.05
2013-06-24,109.62,118.23,108.24,117.55,1247700,58.43
2013-06-17,115.08,117.95,108.45,110.21,1150500,54.78
2013-06-10,113.86,115.25,112.01,114.68,810600,57.
2013-06-03,111.66,114.63,106.63,113.52,938800,56.43
2013-05-28,112.21,114.46,110.79,111.98,797100,55.66
2013-05-20,112.58,115.19,109.5,111.2,790200,55.27
2013-05-13,113.1,115.96,111.86,112.6,841600,55.97
2013-05-06,111.13,113.83,110.59,113.76,799400,56.42
2013-04-29,108.99,111.13,105.14,110.74,1313200,54.92
2013-04-22,108.25,113.22,107.01,108.5,2395400,53.81
2013-04-15,106.72,108.16,103.57,108.06,1062400,53.59
2013-04-08,105.77,109.79,105.77,107.36,1625500,53.24
2013-04-01,104.,106.27,100.34,106.03,933500,52.58
2013-03-25,102.61,104.3,100.92,104.13,771100,51.64
2013-03-18,100.22,102.53,99.64,102.11,915700,50.64
2013-03-11,104.6,105.,100.9,101.01,2117400,50.09
2013-03-04,103.21,105.29,101.75,104.7,1676200,51.92
2013-02-25,101.86,104.9,101.2,103.09,1207800,51.13
2013-02-19,103.91,104.89,100.6,101.25,1261400,50.21
2013-02-11,103.54,105.37,102.33,103.77,1008600,51.36
2013-02-04,101.23,104.04,101.23,104.04,1191700,51.49
2013-01-28,95.93,104.83,92.91,103.96,2659500,51.45
2013-01-22,93.86,96.13,91.32,95.86,1186500,47.45
2013-01-14,91.59,94.4,90.56,94.04,703200,46.55
2013-01-07,91.12,95.2,89.54,91.49,1497700,45.28
2012-12-31,87.21,93.89,86.26,91.64,1566700,45.36
2012-12-24,88.47,89.29,85.84,87.47,756600,43.29
2012-12-17,85.5,90.42,85.29,88.03,1904100,43.57
2012-12-10,85.76,87.46,84.66,85.07,1768800,42.11
2012-12-03,89.06,89.99,82.39,85.88,2755500,42.51
2012-11-26,90.5,92.,88.99,89.62,1141000,44.36
2012-11-19,88.19,90.98,88.19,90.73,847400,44.91
2012-11-12,92.28,92.55,85.86,87.17,1324900,43.14
2012-11-05,94.5,95.17,90.26,92.2,936000,45.53
2012-10-31,92.19,97.6,92.13,94.57,1432900,46.7
2012-10-22,94.,97.42,90.1,92.08,1715000,45.47
2012-10-15,96.36,98.95,93.42,93.97,1263800,46.4
2012-10-08,102.42,103.35,96.64,97.18,899700,47.99
2012-10-01,99.02,103.74,96.6,102.45,1144200,50.59
2012-09-24,97.21,100.11,95.36,98.89,921500,48.83
2012-09-17,96.81,98.04,95.47,97.36,1071300,48.08
2012-09-10,99.75,100.96,96.65,97.,1073800,47.9
2012-09-04,97.41,101.28,96.72,100.61,1320500,49.68
2012-08-27,96.75,97.23,93.89,95.48,1028800,47.15
2012-08-20,93.81,96.98,92.82,96.15,1285800,47.48
2012-08-13,90.08,93.97,89.34,93.75,796800,46.3
2012-08-06,89.53,92.89,89.53,90.44,1103600,44.56
2012-07-30,91.96,92.09,87.72,90.45,1268300,44.57
2012-07-23,76.78,93.67,76.45,91.94,4258600,45.3
2012-07-16,81.14,82.25,75.46,77.98,2352000,38.42
2012-07-09,83.97,84.5,78.62,81.01,2326500,39.92
2012-07-02,83.34,84.5,82.37,83.94,1312300,41.36
2012-06-25,85.9,87.51,80.59,83.06,2790900,40.93
2012-06-18,85.81,91.51,84.54,86.66,1943700,42.7
2012-06-11,88.57,89.43,83.56,87.91,2356400,43.32
2012-06-04,88.69,89.8,84.81,87.7,2537200,43.21
2012-05-29,98.87,98.89,87.94,89.59,6793000,44.14
2012-05-21,91.81,100.41,90.59,99.62,1852700,49.08
2012-05-14,98.33,99.46,91.51,91.86,2277800,45.26
2012-05-07,95.69,99.46,92.08,98.64,1842800,48.5
2012-04-30,99.46,101.,95.55,96.48,1403600,47.44
2012-04-23,98.43,99.99,95.93,99.48,1676300,48.92
2012-04-16,98.4,101.2,97.,99.46,2194500,48.91
2012-04-09,92.2,99.33,90.5,98.38,3202200,48.38
2012-04-02,89.88,93.5,89.87,93.35,1171900,45.9
2012-03-26,86.96,92.74,86.95,90.56,1601600,44.53
2012-03-19,85.51,88.97,84.6,86.04,998700,42.31
2012-03-12,87.41,88.32,85.47,85.81,947100,42.19
2012-03-05,86.63,88.,84.9,87.37,1080200,42.96
2012-02-27,84.24,88.65,84.22,86.61,1406000,42.59
2012-02-21,83.65,85.14,82.6,84.33,1085500,41.47
2012-02-13,84.1,85.,82.69,82.76,977600,40.64
2012-02-06,80.51,87.13,80.5,83.08,1970400,40.79
2012-01-30,80.38,82.5,79.06,81.21,1871800,39.88
2012-01-23,80.04,81.75,79.04,80.42,943800,39.49
2012-01-17,80.25,81.98,79.45,79.99,1542200,39.28
2012-01-09,69.78,81.13,69.74,80.56,2522600,39.56
2012-01-03,70.83,71.41,68.5,69.71,1614500,34.23
2011-12-27,70.98,72.8,70.05,70.15,699000,34.44
2011-12-19,73.09,73.73,69.91,70.96,951800,34.84
2011-12-12,74.85,75.25,69.75,72.82,1455900,35.76
