Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,39.,39.19,38.51,38.86,2770500,38.86
2014-02-18,37.88,39.32,37.88,38.91,3465100,38.91
2014-02-10,36.09,37.73,35.99,37.73,3428900,37.73
2014-02-03,37.35,37.79,35.21,36.09,4928400,36.09
2014-01-27,34.9,38.25,34.15,37.4,5027100,37.4
2014-01-21,35.43,35.67,34.59,34.77,3454900,34.77
2014-01-13,34.65,35.74,33.83,35.04,3440900,35.04
2014-01-06,33.65,34.92,33.18,34.84,4491000,34.84
2013-12-30,33.45,33.89,33.03,33.42,1525900,33.42
2013-12-23,33.47,33.63,33.14,33.47,1204400,33.47
2013-12-16,33.36,33.93,33.13,33.21,4006400,33.21
2013-12-09,33.83,34.38,33.03,33.11,3628800,33.11
2013-12-02,31.59,33.98,31.45,33.82,5217700,33.82
2013-11-25,31.78,31.98,31.06,31.69,2314500,31.69
2013-11-18,30.01,31.85,29.03,31.82,6105600,31.74
2013-11-11,27.87,28.92,27.71,28.77,4397900,28.7
2013-11-04,27.86,28.13,27.33,28.,3483500,27.93
2013-10-28,28.24,28.85,27.39,27.71,4361000,27.64
2013-10-21,28.39,29.04,27.91,28.14,4362800,28.07
2013-10-14,29.51,29.89,28.05,28.45,3650500,28.38
2013-10-07,29.12,29.78,28.19,29.76,3897900,29.69
2013-09-30,28.43,28.91,28.03,28.84,4715100,28.77
2013-09-23,30.25,30.35,28.26,28.6,5746400,28.53
2013-09-16,30.5,30.56,29.92,30.32,3911600,30.25
2013-09-09,29.52,30.38,29.51,30.25,4467300,30.18
2013-09-03,29.18,29.87,28.65,29.5,5512400,29.43
2013-08-26,30.85,30.89,28.32,28.95,6470800,28.88
2013-08-19,31.37,32.1,31.25,31.48,3263500,31.35
2013-08-12,31.24,32.4,31.04,31.44,4300500,31.31
2013-08-05,29.53,31.41,29.27,31.36,8192100,31.23
2013-07-29,27.15,28.58,26.97,28.51,3716200,28.39
2013-07-22,27.04,27.29,26.76,27.15,1663000,27.04
2013-07-15,27.19,27.54,26.87,27.07,2642700,26.96
2013-07-08,26.46,27.21,26.26,27.19,3184700,27.08
2013-07-01,25.79,26.5,25.69,26.32,3243000,26.21
2013-06-24,25.04,25.75,24.74,25.68,2583700,25.58
2013-06-17,25.73,26.,24.9,25.19,3704800,25.09
2013-06-10,25.06,25.87,25.06,25.56,3430100,25.46
2013-06-03,24.95,25.34,24.48,25.05,3699700,24.95
2013-05-28,25.06,25.86,24.64,25.,4602700,24.9
2013-05-20,24.97,25.65,24.54,24.87,4250600,24.72
2013-05-13,24.64,25.17,24.48,24.95,5972900,24.8
2013-05-06,23.93,25.22,23.39,24.75,6825700,24.6
2013-04-29,24.81,25.12,24.28,24.93,2456800,24.78
2013-04-22,24.11,24.99,23.71,24.72,3103000,24.57
2013-04-15,23.85,24.2,23.24,24.08,3827900,23.93
2013-04-08,23.99,24.04,22.47,23.88,3981200,23.73
2013-04-01,24.76,25.1,23.88,24.03,4523900,23.88
2013-03-25,24.18,24.85,23.91,24.82,3229000,24.67
2013-03-18,24.16,24.46,23.85,24.13,2790400,23.98
2013-03-11,23.93,24.49,23.66,24.41,3851700,24.26
2013-03-04,23.1,24.16,23.05,24.,4100000,23.85
2013-02-25,23.86,23.91,21.79,23.18,8067100,23.04
2013-02-19,24.12,24.31,23.1,23.8,5620200,23.6
2013-02-11,23.69,24.24,23.43,24.01,4251800,23.81
2013-02-04,22.5,23.9,22.29,23.78,6042200,23.58
2013-01-28,22.45,23.04,22.08,22.8,6356300,22.61
2013-01-22,21.8,22.5,21.76,22.44,3734400,22.25
