Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,50.67,52.25,50.63,51.23,2228900,51.23
2014-02-18,50.24,51.62,49.67,50.34,2792200,50.34
2014-02-10,48.5,50.89,46.88,50.26,3120100,50.26
2014-02-03,51.38,51.75,46.4,47.89,5283600,47.89
2014-01-27,50.68,52.87,49.83,51.52,2566500,51.52
2014-01-21,52.93,53.89,50.03,50.57,2811300,50.57
2014-01-13,57.11,57.61,51.75,52.58,3820300,52.58
2014-01-06,57.33,58.51,56.31,57.51,3987100,57.51
2013-12-30,57.34,59.07,56.3,57.14,2586300,57.14
2013-12-23,56.72,58.79,56.54,57.37,2092900,57.37
2013-12-16,56.51,58.58,55.74,56.16,3668800,56.16
2013-12-09,58.41,59.37,55.69,56.3,4030300,56.3
2013-12-02,58.89,59.57,54.66,57.7,4456700,57.7
2013-11-25,57.33,59.54,56.46,58.63,3534100,58.63
2013-11-18,55.21,57.82,54.43,57.42,4365700,57.17
2013-11-11,50.06,55.27,49.76,54.53,4538900,54.29
2013-11-04,48.,50.9,47.05,50.09,3983500,49.87
2013-10-28,47.09,50.56,46.64,47.82,3030200,47.61
2013-10-21,49.29,50.77,46.46,46.96,3883800,46.76
2013-10-14,44.78,49.16,44.33,49.13,3888700,48.92
2013-10-07,43.73,46.25,40.9,45.19,4715900,44.99
2013-09-30,44.22,44.5,42.92,44.21,3751900,44.02
2013-09-23,44.3,45.91,43.7,44.74,2744100,44.55
2013-09-16,46.45,46.64,44.32,44.41,3116900,44.22
2013-09-09,46.57,46.57,44.43,46.11,3762100,45.91
2013-09-03,46.56,47.64,45.5,46.78,3558300,46.58
2013-08-26,49.01,49.23,45.81,46.09,2706400,45.89
2013-08-19,48.66,49.95,45.53,49.01,4222000,48.53
2013-08-12,52.68,53.06,48.14,48.8,3065200,48.33
2013-08-05,55.3,56.87,52.75,53.08,3686400,52.56
2013-07-29,54.39,57.99,54.25,55.3,3048100,54.76
2013-07-22,51.95,54.75,51.33,54.51,2039900,53.98
2013-07-15,55.36,55.38,50.66,51.74,2760900,51.24
2013-07-08,51.44,55.59,49.92,55.2,3367600,54.66
2013-07-01,52.4,53.21,49.26,51.28,2865900,50.78
2013-06-24,53.01,54.84,50.72,52.32,3080700,51.81
2013-06-17,57.45,58.88,52.94,54.13,3926200,53.6
2013-06-10,59.1,59.46,56.54,57.16,2290400,56.6
2013-06-03,62.2,62.79,56.91,58.68,3230700,58.11
2013-05-28,62.44,63.38,60.45,61.65,4157800,61.05
2013-05-20,63.,65.75,60.35,61.23,5183400,60.44
2013-05-13,54.46,62.71,53.78,62.24,5995600,61.44
2013-05-06,55.5,58.52,54.02,54.41,3697900,53.71
2013-04-29,54.2,55.94,50.77,55.47,3711900,54.75
2013-04-22,50.85,55.97,50.34,53.84,3306000,53.15
2013-04-15,50.91,50.93,47.98,50.67,3789400,50.02
2013-04-08,53.43,54.81,50.75,51.46,3112200,50.8
2013-04-01,58.27,58.45,51.07,53.24,4359700,52.55
2013-03-25,59.2,59.9,57.54,58.55,2545200,57.79
