Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,141.12,142.16,139.13,139.16,5235300,139.16
2014-02-18,146.16,146.45,139.6,140.54,7208800,140.54
2014-02-10,134.8,147.28,134.15,146.,8247100,146.
2014-02-03,135.74,136.44,133.5,135.35,2305000,135.35
2014-01-27,132.57,135.48,130.53,133.27,3490700,133.27
2014-01-21,134.91,135.62,133.34,133.7,2708000,133.7
2014-01-13,132.78,137.2,130.88,135.71,4296500,135.71
2014-01-06,135.,135.57,132.18,133.36,2113000,133.36
2013-12-30,134.33,135.61,133.1,133.4,1236200,133.4
2013-12-23,133.01,134.59,132.45,134.46,997900,134.46
2013-12-16,131.8,134.6,130.92,132.46,2313000,132.46
2013-12-09,130.53,135.99,129.69,131.41,3363000,131.41
2013-12-02,137.98,139.85,130.55,131.,4500400,131.
2013-11-25,132.23,139.17,130.76,138.22,4015100,138.22
2013-11-18,120.88,133.73,119.77,132.92,4001400,132.27
2013-11-11,120.89,122.3,116.98,120.88,1609300,120.28
2013-11-04,125.,125.,118.,121.08,2128000,120.48
2013-10-28,118.94,128.17,115.62,123.51,3050000,122.9
2013-10-21,118.25,120.6,117.58,119.44,1234900,118.85
2013-10-14,115.63,118.86,113.37,118.2,1929700,117.62
2013-10-07,112.11,117.16,108.88,115.79,2389500,115.22
2013-09-30,111.25,113.58,111.07,112.79,1693000,112.23
2013-09-23,113.08,113.73,109.72,112.17,1745900,111.62
2013-09-16,112.81,116.,111.81,113.59,1706100,113.03
2013-09-09,109.43,111.57,108.93,111.21,1640600,110.66
2013-09-03,108.24,110.56,107.63,109.07,1495100,108.53
2013-08-26,109.11,110.26,106.01,107.35,1218200,106.82
2013-08-19,110.04,110.27,107.36,108.73,1453100,108.19
2013-08-12,114.72,114.84,109.37,109.94,2136200,109.4
2013-08-05,116.53,118.39,113.37,115.,1686800,114.43
2013-07-29,116.96,120.93,108.26,117.1,3357600,116.52
2013-07-22,116.34,118.29,114.7,116.85,2147700,116.27
2013-07-15,115.42,119.46,112.12,116.47,2698600,115.9
2013-07-08,113.23,116.95,111.7,115.16,3053800,114.59
2013-07-01,112.76,114.71,107.8,112.36,3397900,111.81
2013-06-24,100.8,113.06,98.46,112.48,4247700,111.93
2013-06-17,102.5,104.,99.81,101.83,3064200,101.33
2013-06-10,95.96,104.13,93.57,103.93,3183600,103.42
2013-06-03,95.5,95.55,92.87,94.93,1759800,94.46
2013-05-28,95.93,97.33,94.51,95.51,2131200,95.04
2013-05-20,97.96,98.09,94.62,95.03,1689400,93.92
2013-05-13,97.67,99.43,96.86,97.95,1609200,96.81
2013-05-06,96.04,98.75,95.69,98.04,1683200,96.9
2013-04-29,93.68,96.94,93.42,96.34,2644100,95.22
2013-04-22,91.6,93.86,89.81,93.43,3137500,92.34
2013-04-15,93.23,93.63,90.36,91.28,3271400,90.22
2013-04-08,97.28,97.79,93.03,93.67,3286000,92.58
2013-04-01,96.11,97.72,95.87,97.57,2678000,96.43
2013-03-25,96.14,96.45,94.92,96.06,2430600,94.94
2013-03-18,91.08,96.33,90.42,95.79,3206000,94.67
2013-03-11,89.79,92.5,89.35,92.23,2558600,91.16
2013-03-04,88.47,90.23,87.07,89.77,2123200,88.72
2013-02-25,86.56,88.69,85.67,88.69,3761200,87.66
2013-02-19,86.7,87.86,84.57,86.39,3223800,84.74
2013-02-11,88.71,88.75,85.33,86.94,3271600,85.28
2013-02-04,90.,90.67,87.11,88.85,3810000,87.16
2013-01-28,100.6,101.36,86.8,90.27,4748200,88.55
2013-01-22,99.87,102.,99.23,100.6,1979000,98.68
2013-01-14,97.87,100.75,97.67,100.54,1262900,98.62
2013-01-07,97.29,98.18,93.91,97.88,2043600,96.01
2012-12-31,95.02,99.19,95.,97.75,1317500,95.89
2012-12-24,96.02,97.,94.97,95.18,949200,93.37
2012-12-17,94.37,97.43,94.17,95.53,2055900,93.71
2012-12-10,94.63,95.06,93.23,94.07,1503000,92.28
2012-12-03,95.17,96.24,93.81,94.89,1712100,93.08
2012-11-26,92.98,95.38,91.51,94.89,1798000,93.08
2012-11-19,90.75,93.73,90.55,93.55,1277200,91.22
2012-11-12,93.1,95.5,89.06,90.48,2288300,88.22
2012-11-05,92.34,95.25,91.26,93.1,2959900,90.78
2012-10-31,99.35,100.02,98.17,98.17,1509400,95.72
2012-10-22,99.97,99.99,97.1,99.52,1649700,97.04
2012-10-15,97.09,100.5,96.7,99.7,1788800,97.21
2012-10-08,98.9,98.95,95.97,96.86,1709200,94.44
2012-10-01,95.84,100.17,95.36,99.25,2155900,96.77
2012-09-24,94.46,96.57,93.67,95.06,2075300,92.69
2012-09-17,92.5,94.9,91.85,94.46,1990300,92.1
2012-09-10,91.56,93.49,90.1,92.38,1725500,90.08
2012-09-04,89.01,90.87,87.97,90.82,1647900,88.55
2012-08-27,89.46,90.44,88.45,88.82,1186400,86.6
2012-08-20,90.11,90.11,88.06,89.55,1417300,86.77
2012-08-13,89.39,91.74,88.78,89.79,1655000,87.
2012-08-06,89.37,89.94,88.13,89.43,1224100,86.66
2012-07-30,84.2,90.,83.83,89.2,2536000,86.43
2012-07-23,83.78,85.23,82.64,84.47,1746300,81.85
2012-07-16,83.04,86.3,82.66,84.8,2100100,82.17
2012-07-09,81.57,83.57,81.07,83.46,1571300,80.87
2012-07-02,82.38,83.81,81.26,81.89,1352000,79.35
2012-06-25,77.39,82.1,76.83,82.1,1690100,79.55
2012-06-18,77.82,80.37,77.58,77.86,1505600,75.44
2012-06-11,76.47,78.4,76.29,77.93,1631900,75.51
2012-06-04,74.07,76.7,73.52,76.07,2019100,73.71
2012-05-29,76.47,76.83,73.95,74.15,1448500,71.85
2012-05-21,74.12,77.47,73.8,76.42,1626700,73.51
2012-05-14,76.41,77.07,73.8,74.07,1438200,71.25
2012-05-07,78.51,79.47,76.81,77.15,1867100,74.21
2012-04-30,80.52,81.97,78.46,78.77,1574800,75.77
2012-04-23,81.47,83.64,78.64,80.65,2137700,77.58
2012-04-16,80.51,82.87,80.15,81.89,1468000,78.77
2012-04-09,80.2,81.07,77.67,80.38,1256500,77.32
2012-04-02,81.23,81.97,79.94,80.84,1057300,77.76
2012-03-26,81.28,81.75,79.63,81.5,1458200,78.39
2012-03-19,79.51,81.04,79.,80.86,1630100,77.78
2012-03-12,79.52,81.45,78.8,79.31,1755000,76.29
2012-03-05,78.53,79.89,77.31,79.68,1457400,76.64
2012-02-27,77.19,79.95,76.98,78.96,2079900,75.95
2012-02-21,77.43,78.35,75.74,78.21,1866200,74.69
2012-02-13,75.55,77.95,74.74,77.66,1773000,74.16
2012-02-06,75.18,76.86,74.27,75.47,1905100,72.07
2012-01-30,73.39,75.84,72.76,75.66,2331200,72.25
2012-01-23,69.05,74.94,68.18,73.77,3249200,70.45
2012-01-17,65.98,69.11,65.4,69.05,2151900,65.94
2012-01-09,64.23,65.45,63.97,65.43,1467000,62.48
2012-01-03,64.41,65.46,63.93,64.03,2506400,61.15
2011-12-27,63.67,64.56,61.88,63.57,1209600,60.71
