Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,64.96,65.28,64.8,65.01,5368600,65.01
2014-02-18,65.24,65.85,64.44,64.73,4869200,64.73
2014-02-10,63.4,65.87,63.31,65.3,5355400,65.3
2014-02-03,62.83,64.62,60.72,63.91,7832700,63.91
2014-01-27,63.53,64.26,62.08,62.83,7278600,62.83
2014-01-21,64.5,65.98,63.05,63.32,6569700,63.32
2014-01-13,65.98,66.26,64.19,64.4,5830600,64.4
2014-01-06,68.91,68.98,65.8,66.19,5735800,66.19
2013-12-30,69.86,70.06,68.41,68.67,3231800,68.67
2013-12-23,68.54,70.1,68.25,69.64,2284500,69.64
2013-12-16,66.08,68.9,65.4,68.34,4460100,68.34
2013-12-09,66.5,66.97,65.39,65.55,4920600,65.55
2013-12-02,65.66,66.72,64.73,66.57,4285800,66.57
2013-11-25,67.12,67.34,65.16,65.71,3896000,65.71
2013-11-18,67.31,67.78,65.63,66.99,3906800,66.7
2013-11-11,67.52,68.72,66.15,67.64,3686900,67.35
2013-11-04,68.98,70.77,65.02,67.65,6567800,67.36
2013-10-28,70.13,70.69,67.86,68.81,4114500,68.51
2013-10-21,68.84,70.58,68.77,70.26,3333700,69.96
2013-10-14,67.41,68.93,67.24,68.73,4321100,68.43
2013-10-07,65.34,68.42,64.2,67.92,4797300,67.63
2013-09-30,65.78,66.68,64.91,66.46,3821300,66.17
2013-09-23,63.97,66.34,63.12,66.2,4489700,65.91
2013-09-16,63.29,64.83,62.5,64.3,5636800,64.02
2013-09-09,61.43,63.68,61.43,62.56,3617100,62.29
2013-09-03,61.38,62.3,60.88,61.45,3051800,61.19
2013-08-26,62.37,62.89,60.26,60.53,3080300,60.27
2013-08-19,60.72,62.8,60.07,62.36,3409800,61.8
2013-08-12,63.13,63.8,60.57,60.86,3730700,60.32
2013-08-05,64.14,66.01,63.1,63.4,5677900,62.83
2013-07-29,62.84,64.5,61.89,64.29,3819900,63.71
2013-07-22,61.91,63.05,61.82,63.02,2997100,62.46
2013-07-15,61.61,62.43,60.76,61.77,3679600,61.22
2013-07-08,61.57,62.1,60.72,61.7,5096800,61.15
2013-07-01,58.12,61.45,58.12,61.41,5191900,60.86
2013-06-24,56.24,58.25,55.71,57.82,4965100,57.3
2013-06-17,57.82,59.18,55.82,56.81,4712300,56.3
2013-06-10,58.78,58.78,55.86,57.47,5350400,56.96
2013-06-03,58.32,59.1,56.3,58.77,4831900,58.24
2013-05-28,59.88,60.43,58.37,58.37,5367800,57.85
2013-05-20,60.72,61.06,59.14,59.28,5131200,58.47
2013-05-13,60.72,61.48,60.41,60.71,4581400,59.88
2013-05-06,60.27,61.73,60.11,60.94,4645100,60.11
2013-04-29,59.94,60.72,58.23,60.43,6841200,59.6
2013-04-22,59.9,60.72,58.93,59.67,5238500,58.85
2013-04-15,59.27,60.01,58.01,59.75,6149700,58.93
2013-04-08,57.83,59.82,57.47,59.46,6338500,58.65
2013-04-01,57.65,58.68,57.17,57.88,10656900,57.09
2013-03-25,56.94,58.02,55.95,57.62,6763500,56.83
2013-03-18,56.08,57.06,55.17,56.79,4922400,56.01
2013-03-11,57.44,57.47,56.19,56.65,8504700,55.88
2013-03-04,53.37,57.85,53.13,57.46,9140700,56.67
2013-02-25,53.,53.99,51.62,53.62,5745500,52.89
2013-02-19,53.61,53.9,52.33,52.99,4868800,51.98
2013-02-11,52.28,53.89,51.82,53.52,7593200,52.49
2013-02-04,50.44,52.85,49.9,52.57,7785300,51.56
2013-01-28,50.57,51.18,49.5,50.88,5270600,49.91
2013-01-22,49.81,51.29,49.5,50.4,4930800,49.43
2013-01-14,49.65,50.18,48.84,49.93,4775700,48.97
2013-01-07,49.08,50.28,48.55,49.61,5317800,48.66
2012-12-31,46.78,49.96,46.73,49.37,6552500,48.42
2012-12-24,47.5,47.81,46.7,46.93,3390400,46.03
2012-12-17,46.91,48.54,46.91,47.57,6927500,46.66
2012-12-10,46.64,47.9,46.48,46.77,5991600,45.87
2012-12-03,47.37,47.64,45.88,46.81,8558000,45.91
2012-11-26,45.82,47.4,45.76,47.3,6597600,46.39
2012-11-19,44.81,46.15,44.71,46.15,5574200,45.01
2012-11-12,44.73,44.91,43.78,44.7,5874700,43.6
2012-11-05,43.01,45.4,42.61,44.67,8590000,43.57
2012-10-31,44.08,44.22,42.94,43.36,7139800,42.29
2012-10-22,44.94,45.32,43.19,43.64,5609400,42.57
2012-10-15,45.06,46.14,44.45,44.93,5555000,43.82
2012-10-08,46.18,46.59,44.77,45.06,4909300,43.95
2012-10-01,45.43,46.37,45.16,46.18,5612300,45.04
2012-09-24,45.76,46.12,44.31,45.34,6580700,44.22
2012-09-17,44.6,46.56,44.42,45.9,8149600,44.77
2012-09-10,43.55,45.07,42.66,44.71,6618000,43.61
2012-09-04,41.49,43.83,41.03,43.64,8242300,42.57
2012-08-27,41.98,42.22,41.13,41.55,7018500,40.53
2012-08-20,42.55,43.05,41.63,42.09,6436500,40.8
2012-08-13,42.51,42.8,42.26,42.61,7420500,41.3
2012-08-06,40.94,42.91,40.83,42.9,8818800,41.58
2012-07-30,38.93,41.39,37.96,41.38,12779700,40.11
2012-07-23,38.36,39.24,36.95,38.98,9572100,37.78
2012-07-16,38.13,39.49,37.91,38.86,6642500,37.67
2012-07-09,38.43,38.47,37.43,38.19,5593500,37.02
2012-07-02,38.51,38.95,37.99,38.59,4607700,37.4
2012-06-25,37.06,38.5,36.57,38.5,7216600,37.32
2012-06-18,36.5,37.6,36.34,37.49,8276300,36.34
2012-06-11,35.94,36.47,34.54,36.42,7080900,35.3
2012-06-04,33.74,35.42,33.64,35.23,6271900,34.15
2012-05-29,34.61,35.34,33.62,33.76,7869300,32.72
2012-05-21,34.33,34.92,33.96,34.7,5082700,33.38
2012-05-14,35.43,35.85,34.19,34.27,5296800,32.97
2012-05-07,36.09,36.24,35.24,35.69,5064800,34.33
2012-04-30,37.9,38.16,36.19,36.35,6371100,34.97
2012-04-23,36.34,38.21,36.06,38.07,5890300,36.62
2012-04-16,35.75,36.69,35.57,36.6,5009100,35.21
2012-04-09,36.2,36.37,35.24,35.69,5357900,34.33
2012-04-02,37.75,38.,36.63,36.65,7358100,35.26
2012-03-26,37.3,38.16,36.03,37.75,9431300,36.32
2012-03-19,35.76,37.15,35.33,37.08,8907400,35.67
2012-03-12,36.38,36.61,35.59,35.91,13270400,34.55
2012-03-05,37.03,37.07,36.07,36.72,6416100,35.32
2012-02-27,37.1,38.,36.94,37.14,7446600,35.73
2012-02-21,37.45,37.84,36.83,37.69,6128000,36.01
2012-02-13,37.69,38.04,37.3,37.7,4882600,36.02
2012-02-06,37.88,39.24,37.25,37.52,8313000,35.85
2012-01-30,36.72,38.22,36.56,38.19,5998700,36.49
2012-01-23,37.6,38.45,37.08,37.54,6239300,35.86
2012-01-17,37.5,37.9,36.91,37.6,6175200,35.92
2012-01-09,36.63,37.8,36.57,37.27,5822600,35.61
2012-01-03,36.65,36.87,36.05,36.55,5288200,34.92
2011-12-27,35.57,36.69,35.43,36.14,4419200,34.53
2011-12-19,34.54,35.97,33.41,35.96,6533600,34.36
2011-12-12,34.43,34.78,33.58,34.59,9027600,33.05
2011-12-05,34.93,35.27,33.8,34.6,6456500,33.06
2011-11-28,33.15,34.84,33.01,34.41,7206800,32.87
2011-11-21,33.1,33.44,32.09,32.36,5394800,30.69
2011-11-14,34.91,35.07,33.08,33.61,6014300,31.88
2011-11-07,34.49,35.38,33.5,35.21,8158100,33.39
2011-10-31,34.92,35.63,32.59,34.44,9895800,32.66
2011-10-24,34.5,36.,33.85,35.47,8008400,33.64
2011-10-17,33.28,34.78,32.63,34.77,7402700,32.98
2011-10-10,31.34,33.65,31.26,33.53,6315900,31.8
2011-10-03,29.86,31.59,28.43,30.85,9226000,29.26
2011-09-26,30.21,32.37,29.66,29.97,10942800,28.42
2011-09-19,30.45,31.79,28.26,29.89,9351200,28.35
2011-09-12,28.64,31.22,28.57,30.96,9902200,29.36
2011-09-06,29.66,31.,28.75,28.89,10204800,27.4
2011-08-29,30.14,32.07,30.04,30.6,9254700,29.02
2011-08-22,28.5,30.28,27.62,29.92,11566700,28.15
2011-08-15,30.09,30.82,27.83,27.9,10491900,26.25
2011-08-08,30.9,31.32,28.59,29.84,17385800,28.08
2011-08-01,35.38,35.45,31.01,31.74,13622800,29.87
2011-07-25,36.02,37.04,35.15,35.16,6278700,33.08
2011-07-18,35.43,36.75,34.65,36.7,6212900,34.53
2011-07-11,36.12,36.39,35.27,35.63,7496100,33.53
2011-07-05,36.77,37.26,36.23,36.64,5616000,34.48
2011-06-27,34.52,37.03,34.45,36.92,7114300,34.74
2011-06-20,34.98,36.13,34.23,34.46,7915700,32.43
2011-06-13,34.64,35.45,34.36,35.13,7757200,33.06
2011-06-06,35.11,35.47,34.56,34.63,7223300,32.59
2011-05-31,36.36,36.59,34.98,35.17,8558200,33.09
2011-05-23,36.31,36.39,35.33,36.12,5756400,33.99
2011-05-16,35.8,37.23,35.09,36.79,6929800,34.39
2011-05-09,36.18,36.52,35.58,35.99,5402000,33.64
2011-05-02,38.03,38.62,35.75,36.25,9143200,33.89
2011-04-25,36.42,38.11,36.27,37.86,6295300,35.39
2011-04-18,35.72,36.53,34.93,36.51,7812000,34.13
2011-04-11,35.42,36.14,34.84,36.05,7144300,33.7
2011-04-04,35.71,36.42,35.31,35.47,6079300,33.16
2011-03-28,35.3,36.04,34.86,35.53,6966700,33.21
2011-03-21,35.15,35.83,34.54,35.3,7850000,33.
2011-03-14,35.91,36.39,34.66,34.72,9127900,32.46
2011-03-07,37.3,37.47,35.58,36.33,9003600,33.96
2011-02-28,37.93,38.34,36.94,37.25,10100300,34.82
