Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,44.22,44.83,44.2,44.45,5311800,44.45
2014-02-18,43.75,44.43,43.24,44.15,5553300,44.15
2014-02-10,41.97,43.94,41.89,43.86,5358700,43.86
2014-02-03,42.42,42.5,40.33,41.95,8638600,41.95
2014-01-27,42.95,43.27,41.26,42.4,8372000,42.4
2014-01-21,43.75,44.82,42.88,42.95,9037200,42.65
2014-01-13,42.96,43.85,42.12,43.45,6191600,43.15
2014-01-06,43.25,43.39,42.62,43.11,4918600,42.81
2013-12-30,43.5,44.09,42.88,43.29,4182300,42.99
2013-12-23,43.,43.83,42.9,43.67,2286600,43.36
2013-12-16,42.18,43.11,42.05,42.84,5532800,42.54
2013-12-09,43.65,43.67,41.91,41.95,5400800,41.66
2013-12-02,42.95,43.56,42.22,43.49,5316300,43.19
2013-11-25,42.66,43.08,41.94,43.,4725700,42.7
2013-11-18,42.62,42.7,41.81,42.64,4258600,42.34
2013-11-11,41.94,42.75,41.51,42.55,5188700,42.25
2013-11-04,42.18,42.3,41.5,41.98,5118900,41.69
2013-10-28,40.13,42.37,40.09,42.03,9926600,41.74
2013-10-21,40.55,41.22,39.19,40.23,9717300,39.66
2013-10-14,40.23,40.77,39.74,40.71,6303300,40.13
2013-10-07,39.61,40.43,38.92,40.38,6004100,39.8
2013-09-30,39.88,40.55,39.68,39.93,5231400,39.36
2013-09-23,40.5,40.62,40.,40.16,4343300,39.59
2013-09-16,40.5,40.94,40.28,40.52,5870900,39.94
2013-09-09,39.39,40.39,39.25,40.28,5386400,39.71
2013-09-03,38.62,39.6,38.48,39.18,4959000,38.62
2013-08-26,39.16,39.56,38.06,38.2,5722900,37.66
2013-08-19,38.94,39.14,38.,39.07,5906000,38.51
2013-08-12,39.48,39.92,38.36,38.74,6721600,38.19
2013-08-05,39.72,39.99,39.42,39.78,4766700,39.21
2013-07-29,38.62,39.99,38.54,39.94,7586400,39.37
2013-07-22,37.55,39.74,37.22,39.11,11254600,38.28
2013-07-15,37.49,38.16,37.13,37.26,6486500,36.47
2013-07-08,36.13,37.49,35.41,37.49,7648600,36.69
2013-07-01,34.95,36.02,34.81,36.,5720200,35.23
2013-06-24,34.82,35.41,34.1,34.85,8314700,34.11
2013-06-17,35.8,36.34,34.4,34.95,8377500,34.21
2013-06-10,36.25,36.76,34.58,35.48,7883800,34.72
2013-06-03,35.94,36.99,35.21,36.18,7242000,35.41
2013-05-28,36.65,36.72,35.87,35.91,9213000,35.14
2013-05-20,36.75,36.84,35.53,35.99,7571000,35.22
2013-05-13,36.92,37.03,36.46,36.77,9734700,35.99
2013-05-06,37.19,37.36,36.81,37.04,6962600,36.25
2013-04-29,35.98,37.2,35.68,37.01,9873100,36.22
2013-04-22,34.31,36.26,34.06,35.74,11250600,34.98
2013-04-15,35.58,35.88,33.56,34.25,11849200,33.26
2013-04-08,34.29,35.92,34.26,35.85,8259000,34.81
2013-04-01,35.26,35.56,33.81,34.2,10790800,33.21
2013-03-25,34.56,35.5,34.31,35.48,7917100,34.45
2013-03-18,34.21,35.15,34.21,34.46,8968500,33.46
2013-03-11,35.27,35.73,34.85,35.08,10523700,34.07
2013-03-04,34.44,35.32,34.11,35.29,9808800,34.27
2013-02-25,34.2,34.66,33.62,34.52,10721800,33.52
2013-02-19,33.72,34.25,32.19,34.18,11758000,33.19
2013-02-11,34.18,34.19,33.3,33.59,6733700,32.62
2013-02-04,33.5,34.29,32.92,34.28,11507900,33.29
2013-01-28,32.84,33.75,32.39,33.72,9990700,32.75
2013-01-22,33.35,33.61,32.71,32.8,9706400,31.65
2013-01-14,32.25,33.54,31.97,33.52,7668500,32.34
2013-01-07,31.77,32.64,31.39,32.42,6889200,31.28
2012-12-31,30.48,32.41,30.3,31.82,9237400,30.7
2012-12-24,30.82,31.16,30.44,30.47,4370900,29.4
2012-12-17,30.48,31.81,30.4,30.93,9009300,29.85
2012-12-10,29.82,31.27,29.71,30.8,10454100,29.72
2012-12-03,29.76,30.06,29.39,29.85,6095300,28.8
2012-11-26,29.52,30.2,29.05,29.47,8105700,28.44
2012-11-19,28.7,29.84,28.45,29.59,6744300,28.55
2012-11-12,29.56,29.74,28.05,28.32,9891400,27.33
2012-11-05,28.66,30.02,28.46,29.51,10598700,28.47
2012-10-31,28.9,29.3,28.06,28.53,9815500,27.53
2012-10-22,27.69,28.92,27.21,28.92,10808500,27.7
2012-10-15,27.79,28.86,27.73,27.81,10403900,26.64
2012-10-08,27.94,28.23,27.,27.28,8631500,26.13
2012-10-01,27.55,28.53,27.35,28.16,8697500,26.97
2012-09-24,28.64,28.95,26.94,27.56,10544100,26.4
2012-09-17,29.63,29.71,28.38,28.99,9106000,27.77
2012-09-10,29.17,29.7,28.24,29.56,10026000,28.32
2012-09-04,28.92,29.57,28.47,29.18,7119500,27.95
2012-08-27,29.6,29.65,28.88,29.04,6276800,27.82
2012-08-20,29.97,29.99,29.01,29.56,7129700,28.32
2012-08-13,29.72,30.38,29.15,29.86,8168000,28.6
2012-08-06,28.27,29.79,28.18,29.75,9337100,28.5
2012-07-30,27.45,28.38,27.,28.27,9210600,27.08
2012-07-23,26.67,27.74,26.14,27.34,9760800,26.19
2012-07-16,26.49,28.15,26.06,27.25,8379600,25.94
2012-07-09,27.67,27.79,26.57,27.02,8238000,25.72
2012-07-02,28.69,28.79,27.38,27.72,5571800,26.39
2012-06-25,27.71,28.7,26.55,28.69,8173100,27.31
