Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,74.14,76.77,74.,76.01,9559000,76.01
2014-02-18,73.52,74.62,73.23,73.81,4537800,73.81
2014-02-10,70.91,73.84,69.57,73.52,5614800,73.52
2014-02-03,72.14,72.21,69.8,71.36,5047000,71.36
2014-01-27,71.31,73.04,70.84,72.28,4343300,72.28
2014-01-21,72.72,73.93,71.38,71.6,5454400,71.6
2014-01-13,74.67,75.,72.15,72.52,6504000,72.52
2014-01-06,75.42,77.33,74.12,74.7,5812500,74.7
2013-12-30,74.85,75.76,74.31,75.1,2634300,75.1
2013-12-23,73.84,75.32,73.71,74.69,2374300,74.69
2013-12-16,70.73,73.73,70.2,73.35,5099200,73.35
2013-12-09,73.5,74.41,70.46,70.48,5117200,70.48
2013-12-02,73.64,74.45,72.54,73.5,4595500,73.5
2013-11-25,74.,74.99,73.79,74.48,3518800,74.2
2013-11-18,71.97,73.75,71.26,73.74,4020400,73.46
2013-11-11,70.73,71.96,69.81,71.87,3604100,71.6
2013-11-04,68.78,71.02,68.27,70.5,4149200,70.23
2013-10-28,67.55,68.71,66.72,68.63,5177100,68.37
2013-10-21,68.65,69.63,67.09,67.62,8123300,67.36
2013-10-14,73.86,75.49,67.54,68.76,10548900,68.5
2013-10-07,72.59,74.27,71.18,74.27,4626000,73.99
2013-09-30,71.29,73.14,71.01,72.99,4109500,72.71
2013-09-23,70.8,72.94,70.62,71.99,4022300,71.72
2013-09-16,75.09,75.88,70.4,70.57,6900000,70.3
2013-09-09,74.11,75.5,73.78,74.48,3323800,74.2
2013-09-03,71.81,74.79,71.79,74.06,3395200,73.5
2013-08-26,72.64,72.92,71.15,71.74,3830200,71.2
2013-08-19,71.53,72.84,71.46,72.54,3078800,71.99
2013-08-12,72.41,73.39,71.,71.43,3095000,70.89
2013-08-05,72.36,73.67,72.27,72.93,2699200,72.38
2013-07-29,72.11,73.66,71.93,72.26,4410300,71.72
2013-07-22,71.56,73.15,71.4,72.21,4532400,71.67
2013-07-15,68.13,72.09,65.92,71.45,7953000,70.91
2013-07-08,66.95,68.75,66.36,68.,5217300,67.49
2013-07-01,65.89,66.36,64.65,66.17,3212200,65.67
2013-06-24,63.49,66.19,63.46,65.48,5375800,64.99
2013-06-17,64.29,66.16,63.43,63.9,6016600,63.42
2013-06-10,62.58,64.56,62.57,63.8,4542600,63.32
2013-06-03,62.89,63.11,60.95,62.57,4842700,61.83
2013-05-28,62.49,64.9,62.4,62.63,5477400,61.89
2013-05-20,62.73,63.27,61.49,62.06,4286200,61.32
2013-05-13,62.67,63.31,61.17,62.84,5686900,62.09
2013-05-06,59.38,62.99,59.32,62.91,6381100,62.16
2013-04-29,59.95,60.49,58.87,58.92,5336600,58.22
2013-04-22,59.99,60.15,58.12,59.48,5929700,58.77
2013-04-15,62.72,63.15,58.03,60.04,7714100,59.33
2013-04-08,62.07,63.28,61.29,63.03,4450600,62.28
2013-04-01,57.16,63.95,57.01,62.1,11260100,61.36
2013-03-25,54.65,57.31,54.44,57.21,6353300,56.53
2013-03-18,54.3,55.53,54.23,54.46,5271800,53.81
2013-03-11,53.83,55.,53.75,54.73,5354600,54.08
2013-03-04,53.31,54.25,53.13,53.81,4859400,52.96
2013-02-25,54.69,54.75,52.51,53.52,6223700,52.68
2013-02-19,54.2,56.88,54.04,54.47,9216700,53.61
2013-02-11,57.56,57.71,56.75,57.32,4760100,56.42
2013-02-04,55.32,58.26,55.32,57.74,5862500,56.83
2013-01-28,56.42,56.69,55.21,55.77,6530100,54.89
2013-01-22,54.65,56.44,54.56,56.04,6455500,55.16
2013-01-14,52.87,54.63,52.6,54.56,8172000,53.7
2013-01-07,51.88,53.4,51.36,52.82,7568800,51.99
2012-12-31,53.63,55.,51.85,52.09,8794500,51.27
2012-12-24,54.8,55.05,53.8,53.86,2832300,53.01
2012-12-17,54.08,55.52,53.98,55.03,6195600,54.17
2012-12-10,53.87,55.82,53.74,54.05,4903600,53.2
2012-12-03,54.56,54.95,53.28,53.87,4456600,53.02
2012-11-26,52.99,54.88,52.24,54.39,7605300,53.32
2012-11-19,52.23,53.93,51.85,53.92,4353200,52.86
2012-11-12,53.04,53.51,51.09,51.9,6092600,50.88
2012-11-05,56.26,56.49,52.64,52.9,8454900,51.86
2012-10-31,56.14,57.24,55.51,56.05,4646500,54.95
2012-10-22,55.52,56.72,55.34,55.78,4774900,54.69
2012-10-15,57.14,57.85,55.37,55.66,5813800,54.57
2012-10-08,57.59,58.29,56.92,57.07,4921000,55.95
2012-10-01,55.72,58.15,55.52,57.13,5178300,56.01
