Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,96.21,97.,95.92,95.95,2762600,95.95
2014-02-18,97.15,97.91,94.12,96.11,3953500,96.11
2014-02-10,95.25,97.37,94.46,97.24,3130000,96.56
2014-02-03,95.1,95.92,93.19,95.37,4132500,94.7
2014-01-27,96.14,97.,94.02,95.23,4300500,94.56
2014-01-21,100.46,100.59,96.28,96.33,4631000,95.65
2014-01-13,101.64,102.53,97.,99.91,4379500,99.21
2014-01-06,103.53,103.67,101.23,102.52,3229200,101.8
2013-12-30,104.95,105.37,102.82,103.09,2444300,102.36
2013-12-23,103.8,105.09,103.45,104.72,2150400,103.98
2013-12-16,101.64,104.56,101.24,103.33,4280800,102.6
2013-12-09,103.02,103.04,100.65,101.38,2519700,100.67
2013-12-02,102.14,102.92,100.75,102.43,2628200,101.71
2013-11-25,102.2,103.04,101.19,102.38,2344400,101.66
2013-11-18,101.21,102.,100.11,101.98,2260200,101.26
2013-11-11,99.51,101.56,98.76,100.94,4358700,100.23
2013-11-04,98.77,100.67,98.47,99.62,3571600,98.31
2013-10-28,95.45,98.99,95.45,98.22,4702400,96.93
2013-10-21,93.1,97.,92.93,95.61,3888000,94.35
2013-10-14,90.34,93.01,90.15,93.,2631600,91.78
2013-10-07,90.21,90.8,88.45,90.77,2135600,89.58
2013-09-30,90.69,91.87,89.64,91.,2443600,89.8
2013-09-23,91.52,91.99,90.36,91.25,2765800,90.05
2013-09-16,89.92,92.12,89.25,91.55,3657600,90.35
2013-09-09,86.92,89.27,86.84,88.66,2286400,87.5
2013-09-03,86.23,87.38,85.7,86.76,1871400,85.62
2013-08-26,87.15,87.94,85.18,85.58,2328000,84.46
2013-08-19,85.81,87.44,85.74,87.17,2749000,86.03
2013-08-12,87.48,88.,85.39,86.05,2915900,84.92
2013-08-05,87.63,88.69,87.36,87.81,2136800,86.04
2013-07-29,86.75,88.49,86.3,87.92,2911800,86.15
2013-07-22,87.82,88.13,86.25,86.99,3163800,85.24
2013-07-15,85.63,88.31,85.25,88.08,4291300,86.31
2013-07-08,88.,91.78,85.49,86.12,6181000,84.39
2013-07-01,86.92,87.72,85.84,87.54,1975500,85.78
2013-06-24,84.98,87.46,84.7,86.48,2939800,84.74
2013-06-17,86.44,87.82,84.38,85.41,3606500,83.69
2013-06-10,86.54,86.81,85.11,85.91,2427800,84.18
2013-06-03,85.87,86.84,84.2,86.37,3989500,84.63
2013-05-28,87.23,87.5,85.87,85.9,3615500,84.17
2013-05-20,88.62,89.54,86.38,86.83,3696700,85.08
2013-05-13,88.14,88.74,87.7,88.7,3036400,86.91
2013-05-06,86.13,89.96,86.07,88.34,4392700,86.56
2013-04-29,85.77,86.48,84.65,86.09,3541400,83.77
2013-04-22,83.01,85.98,82.24,85.71,3923700,83.4
2013-04-15,83.97,84.09,81.95,82.99,3292300,80.75
2013-04-08,83.55,84.82,82.85,84.14,3189600,81.87
2013-04-01,85.81,85.95,82.33,83.54,3373000,81.29
2013-03-25,84.98,85.93,84.11,85.9,3343600,83.58
2013-03-18,84.81,85.85,82.67,84.76,4558200,82.48
2013-03-11,84.33,85.7,84.12,85.47,3321800,83.17
2013-03-04,82.85,84.75,82.4,84.44,2834100,82.16
2013-02-25,83.28,83.67,81.51,82.87,3657200,80.64
2013-02-19,83.5,84.87,82.27,82.94,4330000,80.7
2013-02-11,82.11,84.11,81.89,83.48,3735300,80.63
2013-02-04,79.61,82.46,79.51,82.38,3921900,79.57
2013-01-28,82.62,82.75,79.,79.97,5141100,77.24
2013-01-22,79.95,82.76,79.9,82.45,4246200,79.63
2013-01-14,78.66,80.31,78.54,80.25,4552500,77.51
2013-01-07,76.45,78.43,75.81,77.92,3163500,75.26
2012-12-31,72.8,76.96,72.58,76.57,4167900,73.96
2012-12-24,74.74,74.93,72.81,72.83,2330700,70.34
2012-12-17,73.15,76.2,72.96,74.84,4943800,72.28
2012-12-10,73.12,74.26,72.72,72.85,2883600,70.36
2012-12-03,73.5,73.83,71.96,73.17,3624000,70.67
2012-11-26,71.83,73.83,71.76,73.11,3256400,70.61
2012-11-19,70.7,72.08,70.33,71.98,2776000,69.52
2012-11-12,72.24,72.69,69.56,70.02,3369800,67.63
2012-11-05,73.55,74.18,71.94,72.25,3662700,69.22
2012-10-31,73.45,74.5,73.,73.48,3278500,70.4
2012-10-22,72.04,74.14,71.02,73.02,4942000,69.95
2012-10-15,72.2,73.88,71.91,72.3,3309900,69.26
2012-10-08,73.07,74.,71.98,72.11,2927100,69.08
2012-10-01,72.09,73.88,71.69,73.1,3904300,70.03
2012-09-24,71.78,73.53,71.25,71.57,4579400,68.57
2012-09-17,73.51,74.87,71.18,71.88,10013300,68.86
2012-09-10,72.24,75.25,72.24,73.68,4753200,70.59
2012-09-04,73.57,73.92,71.62,72.6,6970900,69.55
2012-08-27,75.78,75.95,73.57,73.81,2596400,70.71
2012-08-20,76.4,76.88,75.27,75.72,2325200,72.54
2012-08-13,76.,76.81,75.64,76.49,2014000,73.28
2012-08-06,75.99,76.4,75.32,76.3,2322700,72.55
2012-07-30,75.93,76.5,74.07,75.76,3006900,72.04
2012-07-23,77.82,78.15,73.51,76.,5834600,72.27
2012-07-16,79.62,80.53,78.34,78.45,3440100,74.6
2012-07-09,79.28,79.74,77.88,79.44,3291200,75.54
2012-07-02,78.23,80.21,77.61,79.37,3269100,75.47
2012-06-25,77.04,78.76,75.62,78.76,2828900,74.89
2012-06-18,77.41,78.6,76.79,77.71,3202900,73.89
2012-06-11,77.01,78.05,75.45,77.53,3371500,73.72
