Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,36.,36.62,35.89,36.22,959200,36.22
2014-02-18,35.03,36.58,35.03,35.92,1706600,35.92
2014-02-10,37.13,37.2,34.86,35.85,2686800,35.85
2014-02-03,35.89,36.3,33.95,36.24,2452200,36.24
2014-01-27,36.52,36.74,35.3,35.82,1748500,35.82
2014-01-21,37.27,37.3,35.9,36.,1334000,36.
2014-01-13,37.38,37.66,36.29,37.02,1897300,37.02
2014-01-06,38.75,38.75,37.1,37.57,2650500,37.57
2013-12-30,37.03,38.69,36.84,37.99,1519600,37.99
2013-12-23,36.55,37.84,36.14,37.06,1404400,37.06
2013-12-16,36.83,36.87,35.26,36.48,2100600,36.48
2013-12-09,35.94,37.77,35.61,35.78,2450900,35.78
2013-12-02,37.51,38.54,35.51,35.99,2662300,35.99
2013-11-25,38.7,39.38,38.5,39.02,1098400,39.02
2013-11-18,40.37,40.44,37.98,38.44,2818800,38.44
2013-11-11,39.45,40.45,39.27,40.17,1831300,40.17
2013-11-04,38.84,39.55,38.4,39.48,1552500,39.48
2013-10-28,37.68,38.8,37.46,38.59,1545200,38.59
2013-10-21,37.03,37.89,36.07,37.88,1585700,37.88
2013-10-14,35.78,37.24,35.41,37.01,1458900,37.01
2013-10-07,36.55,36.87,35.,35.9,2569200,35.9
2013-09-30,36.82,37.15,36.47,36.96,1976000,36.96
2013-09-23,38.,38.09,36.4,37.07,1896500,37.07
2013-09-16,38.74,39.,37.34,38.1,2936900,38.1
2013-09-09,42.42,42.79,37.83,38.38,5344900,38.38
2013-09-03,42.55,42.76,41.47,42.56,1763300,42.56
2013-08-26,42.75,43.06,41.24,41.93,1472200,41.93
2013-08-19,39.97,44.15,39.77,42.8,3822000,42.8
2013-08-12,41.29,42.34,39.65,39.74,2066100,39.74
2013-08-05,43.88,43.98,40.84,41.46,1730800,41.46
2013-07-29,41.93,43.98,41.7,43.83,1046300,43.83
2013-07-22,43.19,43.25,41.51,41.95,890300,41.95
2013-07-15,42.95,43.35,42.32,42.85,1010100,42.85
2013-07-08,41.27,43.45,41.19,42.98,1351400,42.98
2013-07-01,40.38,41.2,40.03,41.04,921000,41.04
2013-06-24,39.19,40.54,38.11,40.22,2119500,40.22
2013-06-17,41.25,41.39,38.85,39.54,1804700,39.54
2013-06-10,42.78,42.81,40.52,40.88,1350400,40.88
2013-06-03,41.78,42.64,40.57,42.58,1578300,42.58
2013-05-28,42.44,42.61,40.49,41.93,1882800,41.93
2013-05-20,44.43,44.96,41.32,41.84,2901800,41.84
2013-05-13,43.33,44.82,43.26,44.54,1901400,44.54
2013-05-06,41.5,44.12,41.21,43.83,1397100,43.83
2013-04-29,41.49,42.,40.5,41.54,1132400,41.54
2013-04-22,39.45,41.31,38.9,41.16,1454000,41.16
2013-04-15,41.25,41.36,38.83,39.46,1452300,39.46
2013-04-08,39.85,42.19,39.8,41.38,1320200,41.38
2013-04-01,38.88,40.98,38.19,39.97,2733400,39.97
2013-03-25,38.88,39.46,38.46,38.74,2504700,38.74
2013-03-18,40.31,40.54,38.63,38.75,2299500,38.75
2013-03-11,41.36,42.3,40.25,40.65,2359300,40.65
2013-03-04,40.48,41.78,40.32,41.31,1639400,41.31
2013-02-25,39.82,40.87,38.91,40.81,1853000,40.81
2013-02-19,41.5,41.98,39.52,39.54,3279700,39.54
2013-02-11,42.5,43.03,40.65,41.29,2009400,41.29
2013-02-04,43.23,44.15,42.46,42.58,2484600,42.58
2013-01-28,43.25,43.5,42.49,43.35,1918400,43.35
2013-01-22,42.62,43.81,42.17,43.62,1858500,43.62
2013-01-14,42.53,43.46,41.52,43.39,3390700,43.39
2013-01-07,41.13,43.27,40.23,42.75,3454900,42.75
2012-12-31,38.42,41.72,38.4,41.39,2563100,41.39
2012-12-24,39.49,39.51,37.73,38.22,1375000,38.22
2012-12-17,38.67,40.65,38.62,39.43,2275900,39.43
2012-12-10,37.35,40.,36.94,38.6,4244200,38.6
2012-12-03,37.79,37.81,35.82,37.37,2173700,37.37
2012-11-26,37.87,38.74,37.18,37.7,2054200,37.7
2012-11-19,35.59,37.95,35.55,37.86,3818400,37.86
2012-11-12,35.31,36.91,34.38,35.05,2233800,35.05
2012-11-05,36.61,37.26,34.48,35.31,1412300,35.31
2012-10-31,35.78,37.06,35.28,36.56,1979300,36.56
2012-10-22,36.85,37.26,35.42,35.74,1880700,35.74
2012-10-15,36.73,38.37,36.7,37.09,1487600,37.09
2012-10-08,37.56,37.94,36.5,36.61,1436900,36.61
2012-10-01,37.64,38.25,36.65,37.73,1963100,37.73
2012-09-24,38.79,39.,36.87,37.56,2890200,37.56
2012-09-17,39.56,39.95,38.54,38.75,2718100,38.75
2012-09-10,38.98,40.65,38.59,39.71,3544800,39.71
2012-09-04,37.57,39.08,37.29,38.73,2222800,38.73
2012-08-27,36.99,38.3,36.76,37.54,2484200,37.54
2012-08-20,31.5,37.68,30.91,36.94,7185300,36.94
2012-08-13,30.47,31.6,30.,31.42,2121400,31.42
2012-08-06,30.43,31.34,30.18,30.66,1420800,30.66
2012-07-30,31.05,31.34,29.36,30.16,2262700,30.16
2012-07-23,30.36,31.39,29.83,30.97,2385900,30.97
2012-07-16,29.21,31.81,28.96,31.01,3140300,31.01
2012-07-09,27.45,29.32,27.21,29.18,2397700,29.18
2012-07-02,27.79,28.15,27.02,27.41,1254800,27.41
2012-06-25,27.25,27.76,26.04,27.59,2039300,27.59
2012-06-18,27.46,28.68,26.97,27.55,2095300,27.55
2012-06-11,27.89,28.04,26.13,27.51,3231100,27.51
2012-06-04,27.,28.05,26.26,27.64,2666700,27.64
2012-05-29,28.55,28.89,26.59,26.69,2507200,26.69
2012-05-21,25.7,28.53,25.57,28.42,5001700,28.42
2012-05-14,27.32,27.69,25.43,25.62,3573500,25.62
2012-05-07,28.17,28.67,26.98,27.45,2501400,27.45
2012-04-30,29.27,30.13,28.28,28.31,2677400,28.31
2012-04-23,28.58,29.39,27.75,29.21,2031200,29.21
2012-04-16,28.9,29.63,28.37,28.94,1920100,28.94
2012-04-09,29.68,29.68,28.39,28.67,2389400,28.67
2012-04-02,29.25,31.36,29.07,30.03,5342600,30.03
2012-03-26,29.64,30.01,28.61,29.11,3117600,29.11
2012-03-19,27.87,29.43,27.52,29.37,3706100,29.37
2012-03-12,29.5,30.1,27.52,27.98,7069100,27.98
2012-03-05,28.21,29.68,27.87,29.5,2402300,29.5
2012-02-27,29.54,29.81,28.08,28.11,2843300,28.11
2012-02-21,28.64,30.,28.39,29.62,2525500,29.62
2012-02-13,27.21,29.15,26.79,28.48,1998500,28.48
2012-02-06,27.45,28.,26.57,27.,3507400,27.
2012-01-30,26.76,28.28,26.08,27.69,3331200,27.69
2012-01-23,25.47,27.7,25.25,26.99,3506700,26.99
2012-01-17,25.34,26.4,24.68,25.4,3772300,25.4
2012-01-09,27.72,30.25,23.42,25.13,11712800,25.13
2012-01-03,28.02,28.67,27.5,27.67,2479300,27.67
2011-12-27,27.39,27.79,27.04,27.56,1204200,27.56
2011-12-19,26.68,27.56,26.1,27.55,1807600,27.55
2011-12-12,26.19,29.54,25.66,26.58,5966200,26.58
2011-12-05,27.56,27.74,25.79,26.34,2797000,26.34
2011-11-28,25.85,27.76,25.75,27.09,2449600,27.09
2011-11-21,25.51,26.26,25.02,25.19,2608000,25.19
2011-11-14,26.67,27.37,25.62,25.96,4981600,25.96
2011-11-07,26.75,27.56,25.4,26.82,4264600,26.82
2011-10-31,28.05,28.05,25.73,26.72,3361800,26.72
2011-10-24,25.19,29.73,25.19,28.1,3678100,28.1
2011-10-17,23.75,25.16,22.27,25.07,2579100,25.07
2011-10-10,23.63,24.89,23.3,23.84,2353200,23.84
2011-10-03,22.2,24.31,21.47,23.29,4464800,23.29
2011-09-26,23.54,24.68,22.31,22.31,3969500,22.31
2011-09-19,24.46,24.93,22.52,23.41,4813600,23.41
2011-09-12,24.24,25.62,24.19,24.83,4413500,24.83
2011-09-06,25.22,26.02,23.5,24.56,6884300,24.56
2011-08-29,24.98,26.61,24.92,25.96,4108500,25.96
2011-08-22,26.49,27.27,23.89,24.77,6949200,24.77
2011-08-15,29.76,30.21,25.27,25.95,7054800,25.95
2011-08-08,28.58,30.39,26.46,29.68,4655500,29.68
2011-08-01,32.79,32.9,28.21,29.39,4028600,29.39
2011-07-25,32.26,33.9,31.95,32.54,2769800,32.54
2011-07-18,31.42,32.77,30.89,32.56,2079500,32.56
2011-07-11,31.7,32.46,30.96,31.41,2562600,31.41
2011-07-05,28.96,33.56,28.51,32.03,6027100,32.03
2011-06-27,28.41,29.07,27.96,28.92,2623500,28.92
2011-06-20,28.71,29.37,28.1,28.43,2567400,28.43
2011-06-13,28.96,29.58,28.13,28.81,2848100,28.81
2011-06-06,29.1,29.43,28.1,29.03,4783500,29.03
2011-05-31,30.65,30.72,29.16,29.19,2684800,29.19
