Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,115.77,117.58,115.3,116.49,3331500,116.49
2014-02-18,114.,116.08,112.96,115.38,3336400,115.38
2014-02-10,110.59,114.14,110.33,113.87,3290300,113.87
2014-02-03,114.11,114.74,107.,110.73,5917300,110.15
2014-01-27,111.88,115.27,111.57,114.02,4380200,113.42
2014-01-21,114.84,118.2,111.77,111.8,4746500,111.22
2014-01-13,113.26,114.47,112.12,114.21,3179800,113.61
2014-01-06,113.38,114.71,112.16,113.83,2593900,113.24
2013-12-30,112.9,113.94,112.1,112.9,2170600,112.31
2013-12-23,111.42,113.04,110.57,112.8,1689600,112.21
2013-12-16,107.81,111.13,106.95,110.66,3597900,110.08
2013-12-09,111.05,111.61,105.9,107.35,3448000,106.79
2013-12-02,111.17,111.4,107.99,111.12,2475400,110.54
2013-11-25,110.95,111.9,110.09,110.86,2013100,110.28
2013-11-18,108.6,110.33,108.6,110.2,2192800,109.62
2013-11-11,108.54,109.,106.02,108.59,2749400,108.02
2013-11-04,108.31,109.27,106.71,108.55,2644100,107.39
2013-10-28,107.09,107.73,105.68,107.51,2607300,106.36
2013-10-21,107.9,108.56,105.07,107.52,3515200,106.37
2013-10-14,106.03,108.44,105.68,107.74,2633800,106.59
2013-10-07,103.44,107.03,102.21,107.01,2906800,105.87
2013-09-30,108.86,109.01,102.73,104.27,4061800,103.16
2013-09-23,109.68,110.89,108.3,109.36,2499600,108.19
2013-09-16,109.53,112.46,108.91,109.58,3750500,108.41
2013-09-09,103.54,109.13,103.54,108.39,2785900,107.23
2013-09-03,101.1,104.4,101.09,103.23,2829500,102.13
2013-08-26,102.9,103.48,99.5,100.1,2390600,99.03
2013-08-19,102.83,104.,101.21,102.8,2714000,101.7
2013-08-12,105.13,107.39,102.68,103.08,2616900,101.98
2013-08-05,107.34,107.38,104.7,105.62,2540900,103.97
2013-07-29,104.42,107.86,104.33,107.77,2947000,106.08
2013-07-22,103.53,105.66,102.02,104.97,3716000,103.33
2013-07-15,100.08,102.5,99.72,102.48,2737500,100.88
2013-07-08,97.05,100.7,96.8,99.83,3576000,98.27
2013-07-01,93.31,96.63,93.12,96.53,2994600,95.02
2013-06-24,91.27,93.84,90.3,92.94,3717100,91.49
2013-06-17,94.97,96.42,91.36,92.18,3796600,90.74
2013-06-10,94.59,94.85,92.19,94.02,2996100,92.55
2013-06-03,95.16,95.75,91.78,94.5,4210900,93.02
2013-05-28,95.94,96.62,94.81,94.9,3634000,93.42
2013-05-20,97.04,98.18,94.19,95.04,3124700,93.55
2013-05-13,95.03,97.41,94.77,97.35,3143400,95.83
2013-05-06,92.95,95.59,92.8,95.25,2671700,93.24
2013-04-29,91.27,93.48,90.62,93.11,3392700,91.14
2013-04-22,93.22,94.25,90.65,91.15,4077000,89.22
2013-04-15,95.37,95.48,91.25,93.22,3700600,91.25
2013-04-08,92.84,95.84,92.42,95.69,3159200,93.67
2013-04-01,93.16,93.97,91.9,92.64,3026300,90.68
2013-03-25,93.78,94.,91.29,93.43,2961800,91.46
2013-03-18,92.97,94.,92.28,93.59,3024700,91.61
2013-03-11,92.16,93.5,91.91,93.28,3653600,91.31
2013-03-04,89.54,92.91,88.49,92.07,2944000,90.12
2013-02-25,90.9,91.32,88.37,90.13,3302900,88.23
2013-02-19,91.03,91.51,88.52,90.49,3719000,88.58
2013-02-11,90.07,90.78,88.8,90.78,3603600,88.86
2013-02-04,90.43,90.89,88.61,90.09,4395000,87.66
2013-01-28,89.93,90.11,87.57,89.84,5162300,87.42
2013-01-22,86.63,89.81,86.34,89.79,4494500,87.37
2013-01-14,85.25,87.36,84.91,86.95,3196400,84.61
2013-01-07,84.54,85.49,83.25,85.18,3700800,82.88
2012-12-31,80.51,84.99,80.28,84.98,3951600,82.69
2012-12-24,82.59,82.8,80.68,80.81,2139700,78.63
2012-12-17,80.13,83.64,79.5,82.54,6118200,80.32
2012-12-10,80.99,81.91,79.83,79.98,3799500,77.82
2012-12-03,80.73,81.36,79.34,80.99,3663100,78.81
2012-11-26,77.77,80.36,77.77,80.11,4902400,77.95
2012-11-19,76.08,78.66,75.6,78.61,2742700,76.49
2012-11-12,76.17,77.79,74.44,75.25,3794400,73.22
2012-11-05,78.,80.26,75.64,75.84,4109500,73.28
2012-10-31,79.18,80.39,77.85,78.07,5003300,75.44
2012-10-22,77.65,78.85,76.35,78.2,4962400,75.56
2012-10-15,76.13,79.36,75.88,77.99,3357100,75.36
2012-10-08,78.19,78.53,75.69,75.96,3953900,73.4
2012-10-01,78.56,79.37,77.93,78.51,3174500,75.86
