Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,223.73,227.43,223.47,226.19,2704300,226.19
2014-02-18,226.48,228.48,222.59,223.36,2543400,223.36
2014-02-10,221.89,226.24,219.99,226.,3030900,226.
2014-02-03,216.51,222.,211.38,221.78,3767700,221.38
2014-01-27,222.07,226.,215.11,215.43,4931000,215.04
2014-01-21,234.39,235.5,221.25,221.25,3544500,220.85
2014-01-13,222.02,232.26,218.33,232.18,4377600,231.76
2014-01-06,221.18,224.52,219.59,221.13,2002900,220.73
2013-12-30,220.59,222.72,219.5,221.16,1928200,220.76
2013-12-23,216.99,221.4,216.55,219.67,1458900,219.27
2013-12-16,208.04,218.2,207.29,215.97,4411300,215.58
2013-12-09,201.78,208.,199.43,207.36,4889300,206.99
2013-12-02,204.1,206.49,199.93,201.87,2995000,201.51
2013-11-25,202.52,205.07,201.31,203.46,1754100,203.09
2013-11-18,202.,202.71,196.82,202.12,3098400,201.76
2013-11-11,198.64,202.54,196.5,202.,2444200,201.64
2013-11-04,199.68,200.36,195.,198.29,2666000,197.53
2013-10-28,203.57,205.25,194.26,199.16,3233400,198.4
2013-10-21,201.05,203.9,197.18,203.06,2555200,202.29
2013-10-14,190.37,200.99,190.02,200.45,2843200,199.69
2013-10-07,187.95,192.2,180.11,192.2,3202600,191.47
2013-09-30,190.8,193.61,187.74,190.48,2833500,189.75
2013-09-23,197.96,200.86,190.68,193.05,3101300,192.31
2013-09-16,190.96,198.83,188.56,198.83,5246500,198.07
2013-09-09,177.28,189.3,177.28,189.,3596500,188.28
2013-09-03,176.03,178.4,175.05,176.67,2275400,176.
2013-08-26,179.46,179.46,172.57,174.42,3075700,173.75
2013-08-19,172.33,181.5,172.21,179.1,3872000,178.42
2013-08-12,179.4,181.49,172.36,173.13,3513400,172.47
2013-08-05,184.,185.14,179.56,179.81,3333900,178.79
2013-07-29,192.86,194.9,170.99,184.,10287300,182.96
2013-07-22,190.21,196.,185.66,193.2,3213300,192.11
2013-07-15,191.5,191.99,188.14,189.92,2407400,188.85
2013-07-08,191.6,192.77,185.81,190.72,4022900,189.64
2013-07-01,183.9,190.86,183.63,190.79,2087100,189.71
2013-06-24,178.11,185.,175.68,182.75,3120000,181.72
2013-06-17,182.32,185.23,178.46,179.5,3401800,178.49
2013-06-10,180.54,183.14,178.71,180.93,2440900,179.91
2013-06-03,178.75,181.75,176.4,179.94,3475000,178.92
2013-05-28,182.44,182.54,178.07,178.14,2473100,177.13
2013-05-20,183.91,184.9,176.9,180.45,4169500,179.43
2013-05-13,178.58,184.58,178.13,184.57,3267000,183.53
2013-05-06,179.34,180.77,177.22,178.75,3237400,177.42
2013-04-29,167.73,180.84,163.6,179.54,4040600,178.2
2013-04-22,163.57,170.48,162.49,167.23,1731200,165.98
2013-04-15,164.62,164.88,161.27,163.96,2952000,162.74
2013-04-08,165.64,167.9,164.01,165.75,1739600,164.51
2013-04-01,169.75,170.99,163.59,165.16,2815400,163.93
2013-03-25,160.75,170.96,160.5,169.84,3901800,168.57
2013-03-18,157.28,160.16,155.68,160.09,4127900,158.89
2013-03-11,161.37,161.6,158.53,158.55,2927800,157.37
2013-03-04,157.76,161.78,157.55,160.67,2130600,159.47
2013-02-25,159.2,160.35,155.89,158.08,2764700,156.9
2013-02-19,158.01,159.58,154.79,159.43,3428600,158.24
2013-02-11,157.58,158.17,154.14,157.99,3270000,156.81
2013-02-04,157.77,160.88,156.56,157.8,3489500,156.29
2013-01-28,160.28,160.58,154.75,158.56,3666400,157.04
2013-01-22,158.68,160.17,157.78,159.84,1720100,158.31
2013-01-14,161.28,161.81,156.5,158.27,2134200,156.76
2013-01-07,156.94,162.77,156.8,161.16,3274300,159.62
2012-12-31,148.35,158.08,148.35,156.77,3375400,155.27
2012-12-24,150.23,151.62,147.9,148.65,1864800,147.23
2012-12-17,146.97,152.51,146.9,150.77,2960300,149.33
2012-12-10,148.75,150.33,146.25,146.82,3236100,145.42
2012-12-03,150.,150.72,146.1,148.55,2474500,147.13
2012-11-26,147.61,149.93,145.89,149.71,2779200,148.28
2012-11-19,144.,148.12,143.66,148.12,2231600,146.7
2012-11-12,142.02,144.79,138.53,142.71,3152500,141.35
2012-11-05,142.75,144.84,140.28,142.93,2765800,141.24
2012-10-31,137.6,146.41,137.4,143.4,4506600,141.7
2012-10-22,139.81,140.05,135.93,138.31,3060400,136.67
2012-10-15,139.36,143.1,138.6,139.97,2476000,138.31
2012-10-08,139.,139.99,136.32,139.12,2350200,137.47
2012-10-01,134.87,141.59,134.87,140.26,2810800,138.6
2012-09-24,134.11,135.4,132.38,134.28,2721500,132.69
2012-09-17,134.46,135.95,132.53,135.,3891100,133.4
2012-09-10,128.42,136.65,128.42,134.25,3560700,132.66
2012-09-04,128.36,129.96,126.95,129.71,3086700,128.17
2012-08-27,127.29,128.37,126.18,128.25,2381200,126.73
2012-08-20,128.61,129.25,125.81,126.66,2139800,125.16
2012-08-13,128.64,130.3,127.4,128.69,2081200,127.16
2012-08-06,131.,132.58,127.75,129.09,2527900,127.34
2012-07-30,128.85,132.35,126.19,130.98,2863600,129.21
2012-07-23,124.05,129.5,121.28,129.14,3758700,127.39
2012-07-16,128.2,131.,123.65,125.75,3946300,124.05
2012-07-09,123.15,124.75,119.1,124.09,3735600,122.41
2012-07-02,124.26,127.47,124.,125.28,2771000,123.59
2012-06-25,122.86,124.12,119.57,123.63,3525300,121.96
2012-06-18,118.01,124.95,117.46,124.95,4209100,123.26
2012-06-11,117.27,118.5,114.26,118.4,3247100,116.8
2012-06-04,112.03,118.,112.02,116.58,2997000,115.
2012-05-29,120.15,120.95,111.94,112.25,4750400,110.73
2012-05-21,113.27,121.,112.66,119.37,3647700,117.76
2012-05-14,116.83,118.36,112.5,112.64,4496200,111.12
2012-05-07,116.96,119.49,116.15,117.92,3367700,116.11
2012-04-30,124.11,125.35,115.31,117.79,6158000,115.98
2012-04-23,120.25,124.21,116.48,123.52,2991100,121.62
2012-04-16,123.04,123.05,120.04,121.01,2674000,119.15
2012-04-09,119.66,123.68,116.59,123.16,3840300,121.27
2012-04-02,118.,121.15,117.1,121.01,3198300,119.15
2012-03-26,119.36,120.7,117.25,118.,2835500,116.18
2012-03-19,116.44,119.72,116.,118.78,2722600,116.95
2012-03-12,117.02,117.89,115.68,116.68,3239500,114.88
2012-03-05,116.16,118.39,113.54,117.17,2606300,115.37
2012-02-27,117.07,119.36,115.6,116.16,3317700,114.37
2012-02-21,115.26,117.77,113.3,117.54,2949100,115.73
2012-02-13,114.25,117.15,112.09,115.01,4661200,113.24
2012-02-06,106.94,114.9,106.06,113.9,5531300,111.93
2012-01-30,100.14,107.82,99.5,107.03,4568300,105.18
2012-01-23,100.75,102.15,98.8,101.05,3434800,99.31
2012-01-17,101.3,104.2,99.8,100.58,3960700,98.84
2012-01-09,101.01,101.79,98.33,100.74,4453100,99.
2012-01-03,103.4,103.4,99.66,100.71,3658500,98.97
2011-12-27,102.49,103.45,100.6,101.53,2244500,99.78
2011-12-19,97.51,102.5,97.51,102.48,4374100,100.71
