Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,86.92,88.13,86.6,86.98,2444500,86.98
2014-02-18,85.73,88.17,84.71,86.86,1881600,86.86
2014-02-10,82.07,86.34,81.84,85.48,2312400,85.48
2014-02-03,82.15,82.19,78.43,81.92,2804900,81.92
2014-01-27,81.36,85.33,80.61,82.1,4109000,82.1
2014-01-21,83.76,84.39,81.23,81.41,2748500,81.41
2014-01-13,85.34,86.2,82.77,83.08,2700100,83.08
2014-01-06,87.13,87.16,84.58,85.4,2000700,85.4
2013-12-30,86.25,87.84,85.91,86.6,1870700,86.6
2013-12-23,84.7,86.16,84.26,86.05,1639500,86.05
2013-12-16,81.67,85.37,80.88,84.16,3924700,84.16
2013-12-09,82.54,83.04,80.49,81.2,2371900,81.2
2013-12-02,81.,82.74,80.22,82.2,2862000,81.9
2013-11-25,80.12,80.86,78.83,80.17,2792200,79.88
2013-11-18,80.65,80.89,78.97,79.63,4690200,79.34
2013-11-11,82.27,83.49,79.2,80.51,3692500,80.22
2013-11-04,83.96,85.5,80.56,82.29,2714100,81.99
2013-10-28,84.57,86.06,82.66,83.55,1891200,83.25
2013-10-21,83.47,85.45,83.24,84.94,1906500,84.63
2013-10-14,81.67,83.76,80.4,83.64,2256500,83.34
2013-10-07,82.44,83.19,79.29,82.,2923800,81.7
2013-09-30,83.8,84.43,81.7,83.2,2436000,82.9
2013-09-23,82.66,85.22,82.5,84.42,2960200,84.11
2013-09-16,83.58,84.6,82.48,83.14,3671100,82.84
2013-09-09,80.37,83.48,80.13,82.27,3461600,81.97
2013-09-03,80.74,81.68,78.74,80.29,3387500,79.7
2013-08-26,79.13,80.96,78.28,79.56,2950100,78.98
2013-08-19,77.75,79.99,77.65,79.43,2847300,78.85
2013-08-12,79.88,80.48,76.78,78.51,2803600,77.93
2013-08-05,78.57,80.68,77.95,80.15,3839300,79.56
2013-07-29,72.84,80.93,71.83,79.17,3748500,78.59
2013-07-22,74.89,74.9,71.9,73.04,2138100,72.5
2013-07-15,71.99,74.84,71.57,74.36,2386800,73.81
2013-07-08,69.6,72.13,68.84,72.01,2450800,71.48
2013-07-01,68.52,69.39,66.82,69.31,1848800,68.8
2013-06-24,65.26,68.62,64.55,68.03,2872900,67.53
2013-06-17,67.05,68.09,65.03,65.72,2656400,65.24
2013-06-10,67.8,67.82,65.09,66.77,2610600,66.28
2013-06-03,65.61,68.45,65.28,67.81,2607700,67.01
