Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,50.31,51.87,50.2,50.92,6666800,50.92
2014-02-18,50.15,51.1,48.99,50.23,8361100,50.23
2014-02-10,48.62,50.16,47.01,49.86,6847600,49.86
2014-02-03,51.09,51.49,45.9,48.82,12058100,48.57
2014-01-27,49.36,52.8,48.6,51.1,7809500,50.84
2014-01-21,52.24,52.84,48.65,49.04,8538200,48.79
2014-01-13,53.13,53.64,50.01,51.42,9106900,51.16
2014-01-06,49.56,53.45,49.03,53.24,10396200,52.97
2013-12-30,48.75,50.54,48.19,49.35,4840000,49.1
2013-12-23,47.86,48.96,47.57,48.67,3895800,48.42
2013-12-16,46.55,48.2,46.44,47.49,8305900,47.25
2013-12-09,47.07,47.98,45.09,46.13,9659600,45.89
2013-12-02,45.92,47.26,44.53,46.58,14317600,46.34
2013-11-25,43.88,46.37,43.44,45.72,7033500,45.49
2013-11-18,43.33,44.48,41.91,44.11,7901100,43.66
2013-11-11,40.24,43.78,39.87,43.,8588400,42.56
2013-11-04,41.15,41.68,39.01,40.32,7966400,39.91
2013-10-28,39.63,42.15,39.37,41.,9329300,40.58
2013-10-21,39.26,41.2,39.06,39.44,10034600,39.04
2013-10-14,36.15,39.1,35.85,39.1,7772600,38.7
2013-10-07,34.07,37.19,33.2,36.54,8659700,36.17
2013-09-30,33.78,34.67,33.35,34.44,6884900,34.09
2013-09-23,34.11,35.1,33.8,34.3,5362700,33.95
2013-09-16,35.43,35.52,34.36,34.44,5970800,34.09
2013-09-09,36.89,37.18,34.67,35.05,7088900,34.69
2013-09-03,36.12,37.28,36.06,36.76,6330100,36.39
2013-08-26,36.41,36.58,35.22,35.53,4184800,35.17
2013-08-19,35.26,36.78,34.11,36.4,5424800,36.03
2013-08-12,36.74,37.07,35.21,35.41,4780900,35.05
2013-08-05,35.07,37.5,34.7,37.13,9450100,36.53
2013-07-29,36.01,36.52,34.99,35.09,6174000,34.52
2013-07-22,35.,36.33,34.34,36.04,7981100,35.46
2013-07-15,35.94,36.05,34.11,34.71,7410100,34.15
2013-07-08,34.06,36.18,33.4,35.86,10506100,35.28
2013-07-01,34.58,35.3,33.,33.85,7700200,33.3
2013-06-24,34.79,35.75,33.27,34.77,9120000,34.21
2013-06-17,38.23,38.61,34.63,35.39,9302700,34.82
2013-06-10,39.73,39.81,37.85,38.01,5663200,37.39
2013-06-03,40.68,40.86,38.31,39.57,6378500,38.93
2013-05-28,40.67,41.51,40.,40.63,5936000,39.97
2013-05-20,41.19,42.7,39.3,40.06,7228300,39.41
2013-05-13,38.52,41.3,37.99,41.2,7895300,40.34
2013-05-06,37.94,39.84,37.55,38.8,8904800,37.99
2013-04-29,40.61,42.95,35.81,37.59,11643200,36.8
2013-04-22,39.45,42.5,38.65,40.72,10478600,36.44
2013-04-15,40.27,40.35,37.67,39.24,10116900,35.12
2013-04-08,41.86,43.3,39.76,40.91,11953900,36.61
2013-04-01,45.3,45.53,39.8,41.98,15260800,37.57
2013-03-25,44.44,45.79,44.1,45.49,9406300,40.71
2013-03-18,43.55,45.05,43.39,44.24,9318600,39.59
2013-03-11,45.06,45.78,42.51,44.18,19162800,39.54
2013-03-04,46.41,48.97,45.39,45.5,11196600,40.72
2013-02-25,46.18,46.9,43.69,46.63,9760300,41.73
2013-02-19,47.55,47.85,43.51,46.07,11659700,41.23
2013-02-11,46.04,47.66,45.34,47.29,8570900,42.32
2013-02-04,44.45,46.32,44.25,46.13,10645100,41.1
2013-01-28,38.41,44.96,38.12,44.85,16644400,39.96
2013-01-22,37.14,38.38,36.66,38.1,9063800,33.95
2013-01-14,34.7,37.61,34.61,36.76,10435400,32.75
2013-01-07,34.97,35.29,34.05,34.7,10835400,30.92
2012-12-31,32.97,35.66,32.9,35.31,10309100,31.46
2012-12-24,33.9,34.38,32.89,33.1,4967700,29.49
2012-12-17,33.44,34.49,33.35,34.14,9186900,30.42
2012-12-10,31.7,33.47,31.7,33.37,8809900,29.73
2012-12-03,32.33,32.5,30.96,31.86,7846200,28.39
2012-11-26,31.62,32.43,30.56,32.26,7541200,28.74
2012-11-19,29.8,32.04,29.72,31.92,7767300,28.44
2012-11-12,29.62,29.89,28.56,29.36,8679900,26.
2012-11-05,28.28,30.57,28.23,29.59,9553400,26.21
2012-10-31,29.39,29.63,28.07,28.2,9992400,24.98
2012-10-22,29.28,29.8,27.89,29.03,8002000,25.71
2012-10-15,28.98,30.16,28.17,29.53,9104400,26.16
2012-10-08,31.67,32.12,27.97,29.01,13726800,25.69
2012-10-01,31.96,33.44,31.3,31.89,8110400,28.25
2012-09-24,31.62,32.08,30.47,31.68,6970800,28.06
2012-09-17,33.15,33.19,31.12,31.97,11101900,28.32
2012-09-10,32.12,34.36,31.87,33.75,10663300,29.89
2012-09-04,31.3,32.39,30.56,32.18,9588100,28.5
2012-08-27,29.67,31.48,29.64,31.26,12865900,27.69
2012-08-20,28.79,30.34,28.79,29.24,9852600,25.9
2012-08-13,28.99,29.11,28.32,28.8,8229800,25.51
