Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,85.29,85.29,83.76,83.95,1287300,83.95
2014-02-18,82.03,86.12,81.61,84.81,1607700,84.81
2014-02-10,81.1,85.89,80.95,81.61,1511900,81.61
2014-02-03,78.5,81.46,75.89,81.41,1907800,81.41
2014-01-27,79.75,84.38,77.01,79.04,2000500,79.04
2014-01-21,82.86,87.77,79.75,79.77,2032900,79.77
2014-01-13,77.84,82.81,76.16,82.09,1881800,82.09
2014-01-06,74.92,78.22,73.97,78.21,1293600,78.21
2013-12-30,73.6,74.7,72.84,73.45,793300,73.45
2013-12-23,72.4,74.08,72.,73.45,819600,73.45
2013-12-16,65.68,71.93,63.65,71.83,2638600,71.83
2013-12-09,66.56,67.12,64.12,65.18,1229500,65.18
2013-12-02,69.6,70.18,65.77,66.45,1452300,66.45
2013-11-25,67.44,70.69,66.75,69.42,1446800,69.42
2013-11-18,63.21,67.73,61.24,66.28,2141600,66.28
2013-11-11,61.3,63.42,58.06,63.39,2461700,63.39
2013-11-04,67.31,67.85,60.42,61.06,2698600,61.06
2013-10-28,76.67,78.01,66.81,67.36,2846300,67.36
2013-10-21,77.3,78.38,74.51,76.83,1601600,76.83
2013-10-14,69.74,78.,69.64,77.06,1827800,77.06
2013-10-07,76.05,76.32,68.71,70.92,1802800,70.92
2013-09-30,75.32,77.84,74.97,77.21,1390600,77.21
2013-09-23,76.55,77.51,73.43,76.1,2374200,76.1
2013-09-16,79.06,79.49,75.37,76.15,9945900,76.15
2013-09-09,79.13,82.74,77.07,78.25,1721900,78.25
2013-09-03,76.2,79.91,74.02,78.99,1518000,78.99
2013-08-26,77.69,78.73,74.67,75.15,1133400,75.15
2013-08-19,76.45,79.,75.01,77.78,911100,77.78
2013-08-12,76.84,78.97,76.04,76.51,1700700,76.51
2013-08-05,79.49,79.81,76.78,77.15,889500,77.15
2013-07-29,79.99,85.72,78.52,79.44,2149500,79.44
2013-07-22,89.01,89.36,79.6,80.71,1934200,80.71
2013-07-15,87.09,89.96,84.98,88.51,1190400,88.51
2013-07-08,83.25,88.,79.01,87.79,1341800,87.79
2013-07-01,81.44,85.47,78.82,82.43,1298200,82.43
2013-06-24,75.03,81.77,73.4,80.06,1468000,80.06
2013-06-17,81.22,81.5,74.2,75.98,2328000,75.98
2013-06-10,82.66,84.84,78.79,80.31,1491700,80.31
2013-06-03,80.83,84.72,76.16,82.81,1792200,82.81
2013-05-28,79.28,83.94,76.94,80.33,1674400,80.33
2013-05-20,79.03,81.45,76.73,78.4,1552800,78.4
2013-05-13,79.53,81.83,75.85,79.49,2473900,79.49
