Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,66.46,67.25,66.41,66.52,4783800,66.52
2014-02-18,64.86,67.24,64.25,66.32,5926700,66.32
2014-02-10,60.76,67.16,60.14,64.78,13004600,64.78
2014-02-03,57.33,60.96,55.27,60.96,8108900,60.67
2014-01-27,57.02,57.97,56.42,57.35,5277900,57.07
2014-01-21,59.14,60.39,57.23,57.23,5569200,56.95
2014-01-13,60.27,61.19,58.93,59.16,6006600,58.88
2014-01-06,57.16,62.24,56.71,60.36,8889900,60.07
2013-12-30,57.46,57.91,56.35,56.82,3863900,56.55
2013-12-23,59.3,59.3,57.26,57.43,3908900,57.15
2013-12-16,57.12,59.15,54.86,59.04,7802600,58.76
2013-12-09,56.76,57.98,56.06,57.01,5831800,56.74
2013-12-02,59.33,59.69,55.92,56.71,6606400,56.44
2013-11-25,60.83,60.93,59.01,59.2,3858800,58.91
2013-11-18,60.28,60.74,58.42,60.5,5005000,60.21
2013-11-11,59.77,60.75,59.14,60.28,4171100,59.99
2013-11-04,60.7,60.87,58.9,59.7,4460800,59.1
2013-10-28,59.54,60.82,58.72,60.52,5452700,59.92
2013-10-21,58.6,59.34,57.89,59.19,4474600,58.6
2013-10-14,55.68,59.54,55.55,58.59,5229300,58.
2013-10-07,55.32,56.13,54.54,55.96,5635300,55.4
2013-09-30,54.27,57.41,53.76,55.79,9297700,55.23
2013-09-23,56.13,56.84,54.27,54.51,8172200,53.97
2013-09-16,54.,56.26,53.92,55.52,5608400,54.97
2013-09-09,49.54,53.48,49.54,53.46,6293600,52.93
2013-09-03,48.22,50.6,48.18,49.46,4575200,48.97
2013-08-26,48.75,49.3,46.75,48.07,3804400,47.59
2013-08-19,48.71,49.28,48.2,48.79,2670900,48.3
2013-08-12,49.4,50.94,48.61,48.84,2979200,48.35
2013-08-05,51.16,51.2,49.3,49.61,3790600,48.8
2013-07-29,50.79,51.26,49.56,50.98,4645100,50.15
2013-07-22,50.85,51.62,50.4,50.82,4139500,49.99
2013-07-15,48.88,51.45,48.66,50.61,6198100,49.78
2013-07-08,44.59,49.47,44.41,48.76,10344600,47.96
2013-07-01,44.97,45.11,43.31,44.25,5585100,43.53
2013-06-24,48.08,48.68,44.04,44.2,12762600,43.48
2013-06-17,50.36,51.22,48.22,48.71,4437400,47.92
2013-06-10,49.46,50.79,49.15,50.18,3483300,49.36
2013-06-03,47.72,49.51,46.56,49.42,6198000,48.61
2013-05-28,51.05,51.25,47.75,47.76,4875400,46.98
2013-05-20,49.55,51.2,49.41,50.77,5666700,49.94
