Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,113.4,114.57,113.33,113.59,386600,113.59
2014-02-18,112.74,115.06,110.98,113.31,613100,113.31
2014-02-10,108.5,112.68,107.87,112.48,486300,112.48
2014-02-03,108.45,108.93,104.41,108.72,608200,108.72
2014-01-27,103.65,111.,102.16,108.27,1110000,108.27
2014-01-21,104.84,105.77,103.02,103.02,638900,103.02
2014-01-13,101.29,105.39,99.83,104.4,633300,104.4
2014-01-06,98.37,101.48,98.05,101.46,466700,101.46
2013-12-30,99.56,100.85,97.9,98.04,597100,98.04
2013-12-23,100.18,100.21,99.12,99.36,252800,99.36
2013-12-16,96.27,99.98,95.64,99.58,491400,99.58
2013-12-09,98.55,98.64,94.5,96.03,711400,96.03
2013-12-02,99.57,99.99,97.9,98.21,434100,98.21
2013-11-25,101.48,101.48,98.46,99.53,248800,99.53
2013-11-18,102.35,102.35,100.3,101.09,317600,101.09
2013-11-11,99.81,102.13,98.9,102.12,387600,102.12
2013-11-04,101.2,101.24,98.34,100.12,345700,100.12
2013-10-28,101.9,103.06,100.38,100.58,478400,100.58
2013-10-21,106.47,106.82,98.54,101.99,944600,101.99
2013-10-14,102.79,107.04,102.61,106.48,311600,106.48
2013-10-07,104.06,104.62,101.82,104.48,399300,104.48
2013-09-30,106.51,107.13,104.25,105.,587800,105.
2013-09-23,106.2,108.89,105.09,107.28,459700,107.28
2013-09-16,105.42,107.55,104.66,106.54,352600,106.54
2013-09-09,101.72,105.29,101.72,104.19,400200,104.19
2013-09-03,100.21,102.29,99.41,101.62,286800,101.62
2013-08-26,99.27,100.21,97.53,98.85,340500,98.85
2013-08-19,98.79,100.69,97.79,99.63,351000,99.63
2013-08-12,102.77,103.81,98.47,98.47,425000,98.47
2013-08-05,102.01,103.95,101.28,103.41,274000,103.41
2013-07-29,99.59,103.34,98.91,102.09,426500,102.09
2013-07-22,105.18,106.,97.85,100.16,868900,100.16
2013-07-15,104.76,105.51,102.89,104.74,431700,104.74
2013-07-08,102.2,105.23,101.54,104.53,400500,104.53
2013-07-01,100.55,104.24,99.31,102.01,511000,102.01
2013-06-24,98.26,101.65,97.57,100.05,524400,100.05
2013-06-17,99.53,102.69,97.04,99.26,496600,99.26
2013-06-10,98.59,99.57,96.76,98.6,358800,98.6
2013-06-03,97.09,98.44,95.45,98.38,521200,98.38
2013-05-28,98.66,99.66,96.67,96.71,606600,96.71
2013-05-20,97.71,99.19,95.52,97.79,402600,97.79
