Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.77,53.39,52.64,52.88,3978000,52.88
2014-02-18,52.22,53.19,51.28,52.76,4304100,52.76
2014-02-10,54.52,56.42,50.32,52.25,10901100,52.25
2014-02-03,53.56,54.36,51.78,54.18,4471700,54.18
2014-01-27,51.71,52.85,50.62,52.26,3652600,52.26
2014-01-21,52.58,52.95,50.78,51.61,4411300,51.61
2014-01-13,52.6,54.19,52.04,52.31,3943000,52.31
2014-01-06,55.8,55.89,52.25,52.56,6522800,52.44
2013-12-30,56.85,57.97,56.06,56.29,2205900,56.16
2013-12-23,59.35,59.5,56.43,56.68,2577400,56.55
2013-12-16,56.37,59.7,55.64,59.27,3796600,59.14
2013-12-09,56.59,56.64,55.2,56.01,2029000,55.89
2013-12-02,57.,57.07,54.87,56.26,2601200,56.13
2013-11-25,55.95,57.41,55.8,56.6,1879400,56.47
2013-11-18,58.87,58.97,55.38,55.95,3335700,55.83
2013-11-11,58.44,59.47,57.53,58.84,3255700,58.71
2013-11-04,63.52,64.72,57.,58.55,6688300,58.42
2013-10-28,64.9,65.59,62.68,63.3,2302300,63.16
2013-10-21,63.96,65.31,63.43,65.24,1821800,65.09
2013-10-14,60.94,64.1,60.75,63.85,2329100,63.71
2013-10-07,59.02,61.25,57.71,61.18,2390100,61.04
2013-09-30,57.95,59.99,57.55,59.55,1948100,59.42
2013-09-23,57.83,58.92,57.73,58.33,1762500,58.2
2013-09-16,57.75,59.35,57.49,57.85,3448500,57.62
2013-09-09,54.74,57.42,54.52,57.11,2145500,56.89
2013-09-03,53.2,54.79,53.17,54.52,2354500,54.31
2013-08-26,52.97,53.13,51.,52.75,1922400,52.54
2013-08-19,52.98,53.3,52.11,52.88,2019000,52.67
2013-08-12,55.,55.75,52.95,52.96,1983400,52.75
2013-08-05,55.04,56.18,54.83,55.42,2092600,55.2
2013-07-29,55.25,56.6,54.31,54.85,4404900,54.63
2013-07-22,56.38,56.48,54.25,55.97,2454400,55.75
2013-07-15,56.3,56.83,55.64,55.93,2205300,55.71
2013-07-08,53.39,56.26,52.95,56.23,2651000,56.01
2013-07-01,51.95,53.63,51.34,53.23,1775300,53.02
2013-06-24,50.83,53.21,50.33,51.48,2564200,51.18
2013-06-17,51.9,52.89,50.32,51.14,2702600,50.84
2013-06-10,51.5,52.26,50.56,51.38,1733500,51.08
2013-06-03,52.,52.83,49.95,51.51,3260700,51.21
2013-05-28,105.66,107.2,51.86,51.86,3074600,51.56
2013-05-20,103.6,105.86,102.3,104.8,3434000,52.09
2013-05-13,100.13,104.,100.1,103.77,3263600,51.58
2013-05-06,91.41,103.72,90.85,100.89,7998600,50.15
2013-04-29,88.66,91.57,87.49,91.46,4353800,45.46
2013-04-22,86.,89.77,85.71,88.61,3754200,44.05
2013-04-15,87.5,88.2,84.45,86.07,3397800,42.78
2013-04-08,82.59,88.01,81.39,88.01,5353700,43.75
2013-04-01,86.76,87.27,81.86,83.02,4675600,41.17
2013-03-25,86.77,87.6,85.37,86.75,3251700,43.02
2013-03-18,85.88,87.79,84.84,87.78,3415200,43.53
2013-03-11,85.01,88.77,84.76,87.06,3937800,43.17
2013-03-04,85.79,86.84,84.72,85.,4195800,42.15
2013-02-25,86.25,87.07,83.07,85.79,5080200,42.54
2013-02-19,88.82,88.83,84.6,85.83,6025300,42.56
2013-02-11,94.73,96.93,87.11,88.12,9788500,43.7
2013-02-04,95.9,96.3,92.47,94.59,3008400,46.91
2013-01-28,96.37,96.86,94.65,96.22,2459600,47.71
2013-01-22,90.95,95.77,90.81,95.65,3509000,47.43
2013-01-14,89.01,90.73,87.98,90.54,2848800,44.9
2013-01-07,91.06,91.06,86.85,88.66,4409400,43.87
2012-12-31,88.92,93.25,88.7,91.22,2701900,45.13
2012-12-24,90.63,91.75,89.13,89.2,1589100,44.13
2012-12-17,88.68,92.06,88.51,91.18,3169400,45.11
2012-12-10,90.76,92.71,88.18,88.54,2221200,43.81
2012-12-03,93.9,93.99,90.42,90.59,3624200,44.82
2012-11-26,95.,95.,89.42,93.36,3789600,45.2
2012-11-19,91.15,95.19,90.2,95.06,4055600,46.02
2012-11-12,91.69,92.34,87.7,90.54,2968900,43.83
2012-11-05,97.,98.66,88.9,91.57,5078200,44.33
2012-10-31,94.42,99.,93.25,97.15,3071200,47.03
2012-10-22,96.38,96.78,92.76,94.21,2439800,45.61
