Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.85,7.97,7.85,7.95,5737300,7.95
2014-02-18,7.95,8.05,7.71,7.86,7228000,7.86
2014-02-10,7.32,7.96,7.32,7.92,8078200,7.92
2014-02-03,7.46,7.5,7.18,7.36,7579100,7.36
2014-01-27,7.6,7.6,7.31,7.48,8266100,7.48
2014-01-21,7.9,7.92,7.56,7.56,7110800,7.56
2014-01-13,8.,8.05,7.81,7.9,7994800,7.9
2014-01-06,7.99,8.06,7.93,8.05,5307800,8.05
2013-12-30,8.05,8.14,7.96,7.99,6838100,7.99
2013-12-23,8.25,8.44,8.02,8.13,6687100,8.13
2013-12-16,7.95,8.24,7.93,8.24,5712300,8.
2013-12-09,8.05,8.09,7.89,7.96,6373100,7.72
2013-12-02,8.07,8.27,7.99,8.05,6897100,7.81
2013-11-25,8.14,8.16,8.03,8.07,5539000,7.83
2013-11-18,8.26,8.36,8.15,8.16,4482200,7.92
2013-11-11,8.01,8.35,8.,8.25,6719000,8.01
2013-11-04,8.55,8.75,7.82,8.02,12054600,7.78
2013-10-28,8.57,8.65,8.42,8.54,3983800,8.29
2013-10-21,8.59,8.61,8.46,8.56,4180300,8.31
2013-10-14,8.44,8.61,8.4,8.6,5956500,8.34
2013-10-07,8.,8.5,8.,8.5,6755300,8.25
2013-09-30,8.06,8.21,7.98,8.02,5529100,7.78
2013-09-23,8.4,8.75,8.08,8.12,5685300,7.88
2013-09-16,8.55,8.6,8.43,8.48,4726300,7.99
2013-09-09,8.29,8.54,8.27,8.47,3914400,7.98
2013-09-03,8.15,8.32,8.11,8.26,4480200,7.78
2013-08-26,8.2,8.26,8.,8.07,4636900,7.6
2013-08-19,8.11,8.25,7.98,8.22,4492000,7.74
2013-08-12,8.15,8.44,8.1,8.13,5241200,7.66
2013-08-05,8.54,8.72,8.15,8.2,9692700,7.72
2013-07-29,8.18,8.6,8.12,8.59,8151800,8.09
2013-07-22,8.14,8.36,8.01,8.17,9813700,7.7
2013-07-15,8.17,8.2,7.98,8.1,5335700,7.63
2013-07-08,7.9,8.23,7.78,8.15,6310800,7.68
2013-07-01,7.66,7.9,7.5,7.9,6792200,7.44
2013-06-24,7.94,7.96,7.5,7.71,9001600,7.26
2013-06-17,8.34,8.39,7.78,7.94,7831400,7.24
2013-06-10,7.95,8.32,7.88,8.31,6072000,7.58
2013-06-03,8.12,8.16,7.84,7.89,10614400,7.2
2013-05-28,8.75,8.76,8.03,8.03,6204100,7.32
2013-05-20,8.69,8.85,8.47,8.67,4656800,7.91
2013-05-13,8.37,8.75,8.32,8.69,5226200,7.93
2013-05-06,8.32,8.69,7.89,8.36,13614100,7.62
2013-04-29,8.45,8.64,8.32,8.36,6201500,7.62
2013-04-22,8.61,8.84,8.43,8.45,6163300,7.71
2013-04-15,8.85,8.88,8.41,8.64,6368100,7.88
2013-04-08,8.38,8.87,8.25,8.87,6897900,8.09
2013-04-01,7.95,8.35,7.91,8.33,7765500,7.6
2013-03-25,8.66,8.68,7.87,7.93,15910000,7.23
2013-03-18,8.77,8.85,8.44,8.6,8385200,7.61
2013-03-11,8.59,8.96,8.56,8.82,6067700,7.81
2013-03-04,8.73,8.84,8.35,8.56,7566100,7.58
2013-02-25,8.55,8.73,8.39,8.73,7226200,7.73
2013-02-19,8.96,9.16,8.35,8.48,13267000,7.5
2013-02-11,9.85,9.9,8.47,8.93,12176900,7.9
2013-02-04,9.77,9.9,9.65,9.78,4903500,8.66
2013-01-28,9.68,9.85,9.64,9.8,5161300,8.67
