Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,41.04,41.31,40.9,41.06,3222400,41.06
2014-02-18,42.69,43.45,40.67,40.99,4311600,40.99
2014-02-10,42.84,43.78,42.37,43.67,1640300,43.67
2014-02-03,41.72,43.,40.89,42.84,2305700,42.84
2014-01-27,41.61,41.92,40.86,41.78,2451500,41.78
2014-01-21,43.41,43.45,41.61,41.64,2444900,41.64
2014-01-13,43.34,43.48,42.75,43.12,2148400,43.12
2014-01-06,44.38,44.39,43.43,43.61,1891600,43.61
2013-12-30,44.81,45.,44.,44.19,1253400,44.19
2013-12-23,44.46,45.12,44.45,44.91,1294500,44.91
2013-12-16,43.68,44.45,42.95,44.37,3005100,44.37
2013-12-09,44.85,44.93,43.55,43.62,2178300,43.62
2013-12-02,45.27,45.36,44.27,44.83,2323800,44.83
2013-11-25,46.22,46.38,45.36,45.68,3391500,45.32
2013-11-18,45.28,46.13,45.15,46.1,3988200,45.73
2013-11-11,44.09,45.32,43.35,45.21,2128500,44.85
2013-11-04,43.75,44.16,43.36,44.16,1946500,43.81
2013-10-28,43.63,44.6,42.49,43.69,2941400,43.34
2013-10-21,42.44,43.68,42.09,43.65,1585000,43.3
2013-10-14,41.5,42.59,41.33,42.45,1178900,42.11
2013-10-07,40.49,41.85,40.3,41.74,1337800,41.41
2013-09-30,41.04,41.62,40.28,40.8,1199900,40.47
2013-09-23,42.,42.2,41.13,41.39,1369900,41.06
2013-09-16,41.2,42.48,40.9,42.09,1669800,41.75
2013-09-09,40.04,41.18,40.02,40.89,1189900,40.56
2013-09-03,40.87,40.95,39.6,39.92,2083800,39.6
2013-08-26,42.14,42.22,40.31,40.44,1488800,39.75
2013-08-19,41.9,42.38,41.5,42.12,1342900,41.4
2013-08-12,43.18,43.59,41.65,41.93,1930300,41.22
2013-08-05,42.45,43.23,42.19,43.2,1396100,42.47
2013-07-29,42.04,42.72,41.59,42.6,1544800,41.88
2013-07-22,42.43,42.83,41.75,42.05,1228200,41.33
2013-07-15,42.03,42.49,41.71,42.39,1148400,41.67
2013-07-08,40.79,42.19,40.42,42.07,1713900,41.35
2013-07-01,40.4,40.99,39.93,40.75,1180800,40.06
2013-06-24,39.45,40.51,38.81,40.33,2357000,39.64
2013-06-17,39.92,40.93,39.45,39.86,2038400,39.18
2013-06-10,40.61,40.75,39.59,39.68,2289300,39.01
2013-06-03,42.,42.,38.82,40.47,3230000,39.78
2013-05-28,42.63,42.8,41.64,41.93,1976300,40.86
2013-05-20,42.39,43.,41.79,42.38,1639000,41.3
2013-05-13,41.16,42.41,40.93,42.39,1445100,41.3
2013-05-06,41.04,41.55,41.,41.21,1382800,40.16
2013-04-29,40.23,41.23,40.1,41.12,2773700,40.07
2013-04-22,38.77,40.98,38.33,40.19,2756400,39.16
2013-04-15,39.02,39.17,37.97,38.7,2128700,37.71
2013-04-08,38.51,39.49,38.37,39.21,2016200,38.21
2013-04-01,39.05,39.18,38.34,38.51,2317200,37.52
2013-03-25,38.38,39.27,38.1,39.21,2824600,38.21
2013-03-18,37.25,38.38,37.23,38.37,2217300,37.39
2013-03-11,36.92,37.55,36.77,37.52,2126500,36.56
2013-03-04,36.92,37.64,36.59,36.92,2206700,35.97
2013-02-25,36.7,37.5,36.34,36.9,2723800,35.6
2013-02-19,36.8,36.8,36.23,36.61,2216700,35.32
2013-02-11,36.31,37.44,35.5,36.69,3259100,35.4
2013-02-04,36.14,36.83,35.6,36.3,3282000,35.02
2013-01-28,35.97,37.98,35.74,36.3,5415700,35.02
2013-01-22,35.28,35.75,35.26,35.69,2489400,34.44
2013-01-14,34.83,35.39,34.68,35.25,2563600,34.01
2013-01-07,33.97,34.89,33.84,34.81,2663000,33.59
2012-12-31,33.36,34.33,33.2,34.08,3446800,32.88
2012-12-24,33.76,34.01,33.4,33.46,2565500,32.28
2012-12-17,33.6,34.06,33.57,33.85,3944700,32.66
2012-12-10,34.,34.45,33.27,33.57,4948600,32.39
2012-12-03,32.68,34.14,32.34,34.12,3175600,32.92
2012-11-26,31.97,32.66,31.79,32.57,2229100,31.43
2012-11-19,31.67,32.36,31.43,32.36,2056000,30.88
2012-11-12,31.84,31.89,30.82,31.43,2834700,29.99
2012-11-05,32.09,32.51,31.64,31.82,3043200,30.36
2012-10-31,32.9,33.4,32.13,32.17,3434300,30.7
2012-10-22,32.45,32.75,32.1,32.54,1816700,31.05
2012-10-15,32.07,33.03,31.99,32.53,2498500,31.04
2012-10-08,31.95,32.25,31.8,32.09,2601200,30.62
2012-10-01,32.07,32.29,31.52,32.05,3437900,30.58
2012-09-24,32.45,32.56,31.86,32.08,3843000,30.61
2012-09-17,34.,34.24,32.38,32.48,5404900,30.99
2012-09-10,34.34,34.45,33.72,33.96,2667200,32.41
2012-09-04,34.73,34.88,33.87,34.5,4804900,32.92
2012-08-27,34.29,34.8,34.01,34.58,4029800,32.66
2012-08-20,34.93,34.99,33.88,34.28,3949000,32.38
2012-08-13,35.,35.7,34.88,35.66,1877900,33.68
2012-08-06,34.94,35.09,34.55,35.05,1707200,33.11
2012-07-30,34.16,34.97,33.97,34.77,3492100,32.84
2012-07-23,32.63,34.5,32.01,34.15,7086000,32.26
2012-07-16,32.32,33.4,32.1,32.95,4161500,31.12
