Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,42.31,42.37,41.59,41.77,7691600,41.77
2014-02-18,41.03,42.47,40.4,42.06,10255600,42.06
2014-02-10,41.35,41.9,40.32,40.83,11049300,40.83
2014-02-03,40.49,41.54,39.29,41.42,11012500,41.42
2014-01-27,38.97,40.89,38.45,40.49,6713000,40.49
2014-01-21,39.5,39.68,38.53,38.97,5590400,38.97
2014-01-13,39.2,39.59,38.92,39.22,7163700,39.22
2014-01-06,38.25,39.86,37.95,39.35,8486000,39.35
2013-12-30,38.41,38.68,37.77,38.03,5445800,38.03
2013-12-23,37.3,38.42,37.21,38.3,5727500,38.3
2013-12-16,34.53,37.33,34.4,37.01,12304600,37.01
2013-12-09,36.22,36.4,33.98,34.25,6746800,34.25
2013-12-02,35.34,36.91,34.94,36.21,8059300,35.82
2013-11-25,35.25,36.23,35.11,35.22,4868900,34.84
2013-11-18,35.29,35.55,34.53,35.27,4823300,34.89
2013-11-11,34.85,35.29,34.22,35.23,6075300,34.85
2013-11-04,35.82,35.94,34.24,34.79,6139700,34.42
2013-10-28,37.37,37.47,35.03,35.52,6788900,35.14
2013-10-21,36.16,37.35,35.81,37.3,4073900,36.9
2013-10-14,35.67,36.35,35.28,36.24,5318700,35.85
2013-10-07,35.6,36.3,34.67,36.15,4404800,35.76
2013-09-30,36.04,36.98,35.76,35.92,5142000,35.54
2013-09-23,36.46,36.83,35.91,36.24,3222200,35.85
2013-09-16,36.16,36.94,35.04,36.63,5966700,36.24
2013-09-09,35.29,36.26,35.27,35.93,9354600,35.55
2013-09-03,36.6,36.64,34.95,35.12,8308200,34.39
2013-08-26,36.5,36.77,35.69,36.24,3504500,35.49
2013-08-19,34.94,36.35,34.02,36.31,5234000,35.56
2013-08-12,35.2,35.66,34.76,34.99,5423400,34.27
2013-08-05,36.13,36.34,35.19,35.39,9854800,34.66
2013-07-29,33.9,36.45,33.66,36.22,7144700,35.47
2013-07-22,34.2,34.76,33.26,33.91,4312600,33.21
2013-07-15,33.78,34.66,33.29,34.28,5099600,33.57
2013-07-08,32.81,33.93,32.81,33.82,4031400,33.12
2013-07-01,32.65,33.24,32.36,32.68,4001200,32.
2013-06-24,32.,33.94,31.25,32.47,7902100,31.8
2013-06-17,33.48,33.76,31.59,32.29,8335300,31.62
2013-06-10,35.36,35.37,32.54,33.31,8915700,32.62
2013-06-03,35.22,35.35,33.93,35.23,8409400,34.5
2013-05-28,37.13,37.24,35.14,35.18,9813800,34.1
2013-05-20,37.21,38.2,36.49,36.67,10684800,35.54
2013-05-13,36.5,37.23,36.08,37.21,6529700,36.07
2013-05-06,37.52,37.67,35.02,36.5,13810700,35.38
2013-04-29,38.24,38.45,37.22,37.54,5048700,36.39
2013-04-22,37.48,38.57,37.08,38.04,4286100,36.87
2013-04-15,37.41,37.78,36.41,37.27,5086000,36.13
2013-04-08,36.79,38.19,36.79,37.73,4117200,36.57
2013-04-01,37.84,38.24,36.11,36.91,4939300,35.78
2013-03-25,37.09,38.,36.53,37.46,5553000,36.31
2013-03-18,35.15,37.28,34.82,36.87,6025100,35.74
2013-03-11,34.65,35.66,34.52,35.43,6708300,34.34
2013-03-04,33.75,34.78,33.34,34.71,8759000,33.64
2013-02-25,34.56,34.85,33.09,33.83,13714400,32.46
2013-02-19,35.23,35.56,33.54,34.44,10341900,33.05
2013-02-11,36.03,36.03,34.98,35.11,4879400,33.69
2013-02-04,35.35,36.22,35.04,36.,4326600,34.54
2013-01-28,35.06,35.5,34.38,35.43,5111400,34.
2013-01-22,34.68,35.4,34.37,34.83,5229400,33.42
2013-01-14,33.52,34.76,33.1,34.74,6409200,33.33
2013-01-07,33.91,34.1,33.43,33.49,5693100,32.13
2012-12-31,31.72,34.39,31.65,34.14,7290600,32.76
2012-12-24,32.62,32.8,31.73,31.79,3521900,30.5
2012-12-17,31.57,32.88,31.47,32.8,7903900,31.47
2012-12-10,31.23,31.74,30.59,31.49,15491600,30.22
2012-12-03,33.,33.14,31.1,31.22,5221700,29.96
2012-11-26,33.13,33.27,32.36,32.84,4366200,31.19
2012-11-19,31.98,33.47,31.96,33.44,4704200,31.76
2012-11-12,32.09,32.36,30.55,31.68,6121600,30.09
2012-11-05,33.11,33.58,31.83,32.07,5865200,30.46
2012-10-31,35.08,35.4,32.86,33.07,9223900,31.41
2012-10-22,34.93,35.3,34.08,34.82,4019100,33.07
2012-10-15,35.21,37.39,34.55,34.97,9083300,33.22
2012-10-08,35.81,36.53,35.12,35.14,4247000,33.38
2012-10-01,35.,37.56,35.,35.95,7885500,34.15
2012-09-24,34.14,35.,33.88,34.97,5592000,33.22
2012-09-17,35.03,35.05,33.68,34.32,6686900,32.6
2012-09-10,33.92,35.39,33.49,35.1,4447100,33.34
2012-09-04,32.27,33.9,32.02,33.89,4438200,32.19
2012-08-27,32.18,32.68,31.91,32.27,4604400,30.65
2012-08-20,32.29,32.68,31.64,32.11,3521200,30.5
2012-08-13,31.86,32.79,31.64,32.31,6964800,30.39
2012-08-06,31.63,32.16,31.23,31.85,4773800,29.96
2012-07-30,31.6,32.11,29.89,31.52,8301700,29.65
2012-07-23,29.9,31.82,29.7,31.6,8635000,29.72
2012-07-16,29.79,31.66,29.54,31.31,5887100,29.45
2012-07-09,28.83,29.92,28.47,29.89,5465100,28.12
2012-07-02,28.82,29.36,28.5,28.94,4588200,27.22
2012-06-25,28.06,28.82,27.25,28.82,9356900,27.11
2012-06-18,29.85,30.24,28.07,28.43,10330600,26.74
2012-06-11,29.7,30.07,29.13,30.07,7611100,28.29
2012-06-04,29.07,30.28,28.25,29.37,8635000,27.63
2012-05-29,30.9,31.49,29.,29.01,10925900,27.01
2012-05-21,29.76,31.82,29.76,30.77,13623800,28.65
2012-05-14,32.23,32.33,29.56,29.67,8251100,27.62
2012-05-07,32.87,33.28,31.99,32.54,7752700,30.3
2012-04-30,33.59,34.63,32.24,32.7,7776800,30.44
2012-04-23,31.87,34.12,31.8,33.63,6276400,31.31
2012-04-16,32.35,32.52,31.32,32.3,6319500,30.07
2012-04-09,30.93,32.21,30.51,32.1,7040900,29.89
2012-04-02,30.85,31.69,30.66,31.46,7415900,29.29
2012-03-26,30.73,31.44,30.21,30.81,9577100,28.68
2012-03-19,30.45,32.09,29.91,30.18,8282600,28.1
2012-03-12,29.85,30.5,29.41,30.46,4846500,28.36
2012-03-05,30.14,30.46,29.33,29.86,4297600,27.8
2012-02-27,29.18,30.55,28.86,30.26,6684500,27.93
2012-02-21,29.37,29.72,28.51,29.31,6026100,27.05
2012-02-13,29.25,29.6,28.71,29.11,5493200,26.87
2012-02-06,29.57,29.69,28.66,29.06,5777800,26.82
2012-01-30,28.39,29.78,28.15,29.7,6160700,27.41
2012-01-23,28.82,29.68,28.2,28.55,6429800,26.35
2012-01-17,28.51,29.29,28.1,28.84,10096100,26.62
2012-01-09,27.52,28.48,27.24,28.22,9256400,26.04
2012-01-03,27.55,27.92,26.21,27.39,12236900,25.28
2011-12-27,32.63,33.11,32.08,33.02,6497400,24.84
2011-12-19,31.04,32.71,30.66,32.71,5717200,24.61
2011-12-12,31.41,31.89,30.36,31.,11461800,23.32
2011-12-05,32.8,32.97,31.03,31.65,11465900,23.81
2011-11-28,30.61,32.89,30.47,32.37,11936300,24.16
2011-11-21,29.86,30.49,29.12,29.7,7437900,22.17
2011-11-14,31.17,31.49,29.84,30.45,8152200,22.73
2011-11-07,31.24,31.49,30.04,31.34,7385700,23.4
2011-10-31,30.63,31.6,29.02,31.27,12892000,23.34
2011-10-24,30.32,31.4,29.14,31.25,11770300,23.33
2011-10-17,28.72,30.25,27.4,30.16,16795400,22.51
2011-10-10,25.57,27.38,25.57,27.32,8218000,20.39
2011-10-03,24.04,25.74,21.9,24.97,15136900,18.64
2011-09-26,25.2,27.17,24.27,24.34,10672200,18.17
2011-09-19,26.68,28.26,24.43,25.01,12592500,18.67
2011-09-12,25.42,27.65,25.07,27.05,9122900,20.19
2011-09-06,24.98,27.08,24.62,25.71,12442900,19.19
2011-08-29,25.64,27.58,25.28,25.94,8518700,19.36
2011-08-22,25.46,26.15,23.46,25.22,14446300,18.83
2011-08-15,28.03,28.95,24.48,24.73,12494300,18.32
2011-08-08,26.14,28.18,23.48,27.68,19019800,20.5
2011-08-01,31.84,32.11,25.47,27.05,14814700,20.03
2011-07-25,30.6,33.16,30.13,31.7,13843200,23.48
2011-07-18,30.06,31.13,29.8,31.09,8669700,23.03
2011-07-11,29.19,30.48,28.34,30.37,12616600,22.49
2011-07-05,30.6,30.81,29.5,29.58,8466300,21.91
2011-06-27,28.64,30.84,28.36,30.75,7702500,22.77
2011-06-20,28.17,29.73,28.01,28.55,13024600,21.15
2011-06-13,28.91,29.84,27.92,28.31,12296600,20.97
2011-06-06,30.37,30.44,29.25,29.34,7132000,21.73
2011-05-31,31.58,31.73,29.97,30.46,7921300,22.41
2011-05-23,30.33,31.35,30.15,31.,7916800,22.81
2011-05-16,30.16,31.15,29.39,30.76,9415500,22.63
2011-05-09,30.92,31.92,29.92,30.26,7808000,22.26
2011-05-02,33.29,33.47,30.37,30.85,11205900,22.7
2011-04-25,32.03,33.33,31.59,33.17,7547900,24.4
2011-04-18,30.52,32.07,30.05,31.97,6250400,23.52
2011-04-11,31.02,31.31,29.86,31.05,7962100,22.84
2011-04-04,31.28,31.4,30.35,30.83,6427200,22.68
2011-03-28,31.26,31.89,30.29,31.28,6919600,23.01
2011-03-21,30.08,31.34,30.,31.13,6072100,22.9
2011-03-14,29.84,30.04,28.7,29.69,9804800,21.84
2011-03-07,30.86,31.,28.93,29.98,9101700,22.06
2011-02-28,30.31,30.89,29.86,30.84,9481400,22.59
2011-02-22,30.47,30.72,29.48,30.26,11340900,22.17
2011-02-14,26.99,30.95,26.73,30.37,25444100,22.25
2011-02-07,27.58,28.07,26.92,26.99,7154900,19.77
2011-01-31,26.7,27.78,26.7,27.46,7308400,20.12
2011-01-24,26.27,27.17,26.17,26.6,8305600,19.49
2011-01-18,26.47,26.73,25.77,26.4,10728500,19.34
2011-01-10,24.37,27.06,24.37,26.46,10710600,19.39
2011-01-03,24.97,25.2,24.26,24.92,6900700,18.26
2010-12-27,24.56,24.89,24.44,24.72,2734400,18.11
2010-12-20,23.89,24.77,23.89,24.62,3983500,18.04
2010-12-13,24.06,24.49,23.36,23.9,9491300,17.51
2010-12-06,23.68,24.27,23.24,23.98,9422400,17.57
2010-11-29,22.55,23.86,22.41,23.72,9099200,17.29
2010-11-22,23.28,23.42,22.75,22.9,5995100,16.69
2010-11-15,23.12,23.6,22.41,23.51,9844500,17.13
2010-11-08,22.28,23.96,22.19,23.05,14230500,16.8
2010-11-01,21.64,22.37,20.98,22.34,8103400,16.28
2010-10-25,21.2,21.65,20.2,21.51,13307700,15.68
2010-10-18,21.28,21.71,20.86,20.99,8933900,15.3
2010-10-11,19.78,22.24,19.35,21.24,14797100,15.48
2010-10-04,19.3,19.78,18.88,19.72,6706000,14.37
2010-09-27,18.82,19.5,18.5,19.37,4977000,14.12
2010-09-20,18.44,19.13,18.37,18.85,6589300,13.74
2010-09-13,19.48,19.7,18.14,18.4,9134700,13.41
2010-09-07,19.1,19.49,18.89,19.26,6762300,14.04
2010-08-30,18.47,19.44,17.97,19.32,6457600,14.08
2010-08-23,18.7,18.95,17.72,18.51,6761800,13.49
