Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,18.08,18.58,17.91,18.45,3146900,18.45
2014-02-18,17.43,18.12,17.09,17.95,3272300,17.95
2014-02-10,19.15,19.2,16.92,17.46,6011200,17.46
2014-02-03,19.01,19.75,18.72,19.21,2659200,19.21
2014-01-27,19.49,19.67,18.7,19.05,2452900,19.05
2014-01-21,18.76,20.55,18.75,19.62,3022400,19.62
2014-01-13,18.92,19.62,18.32,18.65,2113400,18.65
2014-01-06,19.63,19.65,18.88,18.97,2970800,18.97
2013-12-30,20.5,20.57,19.45,19.57,1768800,19.57
2013-12-23,20.19,20.67,20.08,20.49,1016900,20.49
2013-12-16,18.98,20.41,18.93,20.14,4106400,20.14
2013-12-09,18.3,19.81,18.19,19.02,2718000,19.02
2013-12-02,18.62,19.7,18.24,18.29,2747100,18.29
2013-11-25,18.93,19.04,18.1,18.59,2392900,18.59
2013-11-18,18.39,19.07,17.54,18.95,2649900,18.95
2013-11-11,18.82,19.17,18.18,18.4,3788700,18.4
2013-11-04,22.01,22.55,18.03,18.68,4119400,18.68
2013-10-28,22.56,23.69,21.59,21.91,2452000,21.91
2013-10-21,22.55,23.05,21.9,22.82,2310400,22.82
2013-10-14,19.71,22.53,19.63,22.52,2557500,22.52
2013-10-07,19.7,19.97,18.8,19.78,1266600,19.78
2013-09-30,19.08,20.,19.03,19.92,1699100,19.92
2013-09-23,18.99,19.37,18.62,19.36,1589600,19.36
2013-09-16,19.9,19.93,18.97,19.06,1345900,19.06
2013-09-09,18.77,20.01,18.46,19.73,2098500,19.73
2013-09-03,18.99,19.04,18.4,18.7,1765200,18.7
2013-08-26,19.51,19.81,18.61,18.66,1311900,18.66
2013-08-19,19.,19.6,18.7,19.51,1961900,19.51
2013-08-12,19.05,19.23,18.1,18.97,2044800,18.97
2013-08-05,19.11,19.77,18.89,19.16,1504000,19.16
2013-07-29,19.4,19.58,18.28,19.17,2988500,19.17
2013-07-22,20.23,20.24,19.2,19.52,1973900,19.52
2013-07-15,19.76,20.36,19.54,20.25,1875100,20.25
2013-07-08,19.05,19.93,19.04,19.85,1986500,19.85
2013-07-01,19.08,19.26,18.59,18.94,1832700,18.94
2013-06-24,18.9,19.91,18.76,18.94,2516300,18.94
2013-06-17,19.13,20.47,18.74,19.12,2396100,19.12
2013-06-10,19.4,19.49,18.67,19.,1854500,19.
2013-06-03,19.37,20.29,18.57,19.3,2920400,19.3
2013-05-28,20.31,20.56,19.24,19.26,2559200,19.26
2013-05-20,18.84,21.12,18.8,19.94,4098400,19.94
2013-05-13,17.06,18.67,17.06,18.46,3350200,18.46
2013-05-06,16.55,17.25,16.26,17.12,2077300,17.12
2013-04-29,15.85,16.88,15.14,16.57,2491300,16.57
2013-04-22,16.28,16.4,15.27,15.74,2284800,15.74
2013-04-15,17.07,17.15,15.72,16.38,3497300,16.38
2013-04-08,16.18,17.92,16.02,17.29,3211500,17.29
2013-04-01,16.03,16.15,14.87,16.15,2369000,16.15
2013-03-25,16.3,16.41,15.94,16.02,2702900,16.02
2013-03-18,16.65,16.99,15.9,16.2,3315300,16.2
2013-03-11,16.23,16.97,15.9,16.85,4166200,16.85
2013-03-04,14.26,16.36,14.14,16.25,3962900,16.25
2013-02-25,15.03,15.2,14.03,14.33,4186200,14.33
2013-02-19,14.77,15.13,14.38,14.9,2905200,14.9
2013-02-11,15.57,15.6,14.66,14.76,2619200,14.76
2013-02-04,15.,15.99,14.76,15.63,2857800,15.63
2013-01-28,14.76,15.38,14.3,15.08,3426700,15.08
2013-01-22,14.54,15.65,14.52,14.73,3862900,14.73
2013-01-14,14.85,14.91,14.1,14.58,3950500,14.58
2013-01-07,15.72,15.9,14.36,14.86,2932500,14.86
2012-12-31,14.65,15.83,14.43,15.73,2721000,15.73
2012-12-24,15.22,15.32,14.55,14.74,1584100,14.74
2012-12-17,15.51,16.07,15.09,15.23,2111700,15.23
2012-12-10,15.38,15.85,15.21,15.49,1907700,15.49
2012-12-03,15.96,16.17,15.31,15.61,1943600,15.61
2012-11-26,16.34,16.34,15.46,15.79,1699100,15.79
2012-11-19,15.65,16.66,15.62,16.54,1219100,16.54
2012-11-12,15.23,15.68,14.88,15.37,1577100,15.37
2012-11-05,15.9,16.16,14.86,15.2,2185300,15.2
2012-10-31,17.08,17.25,15.23,15.88,4022100,15.88
2012-10-22,17.52,17.7,16.59,17.02,1225700,17.02
2012-10-15,17.67,18.15,17.41,17.69,1674400,17.69
