Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.19,30.43,30.18,30.21,3287000,30.21
2014-02-18,30.44,30.6,30.13,30.18,2829200,30.18
2014-02-10,29.84,30.53,29.6,30.45,2521200,30.45
2014-02-03,29.88,30.12,28.84,29.88,4030700,29.88
2014-01-27,30.22,31.05,29.66,29.88,4145200,29.88
2014-01-21,31.04,31.36,30.16,30.19,3443300,30.19
2014-01-13,30.91,31.3,30.48,30.97,2271000,30.97
2014-01-06,31.41,31.43,30.49,31.06,3469000,31.06
2013-12-30,31.33,31.6,31.17,31.34,2361500,31.34
2013-12-23,31.52,31.71,31.17,31.3,2024600,31.3
2013-12-16,30.19,31.62,29.94,31.4,5819700,31.4
2013-12-09,29.96,30.35,29.2,30.01,3849400,30.01
2013-12-02,30.1,30.25,29.01,29.82,3637600,29.82
2013-11-25,29.44,30.68,29.25,30.13,3054000,30.13
2013-11-18,29.85,29.94,29.08,29.56,3076200,29.56
2013-11-11,29.19,29.98,28.82,29.74,3944000,29.74
2013-11-04,30.74,30.8,28.56,29.3,4333000,29.3
2013-10-28,31.39,31.48,29.97,30.34,4414200,30.34
2013-10-21,30.06,32.,29.71,31.39,5207100,31.17
2013-10-14,29.05,30.31,28.77,30.11,3232800,29.9
2013-10-07,28.33,29.34,28.01,29.34,3478900,29.13
2013-09-30,28.66,29.23,28.34,28.59,3409100,28.39
2013-09-23,28.67,28.99,28.17,28.93,3801900,28.72
2013-09-16,28.95,29.64,28.13,28.81,4417700,28.61
2013-09-09,28.57,29.1,28.16,28.39,4209600,28.19
2013-09-03,27.57,28.74,26.91,28.51,5562800,28.31
2013-08-26,27.91,28.25,26.97,27.38,4012400,27.19
2013-08-19,27.,27.82,26.64,27.81,4006000,27.39
2013-08-12,27.68,28.22,26.8,27.06,5446300,26.65
2013-08-05,27.98,28.43,27.25,27.81,4214300,27.39
2013-07-29,28.28,28.89,27.57,27.98,5631500,27.56
2013-07-22,29.85,29.86,28.38,28.8,4374500,28.37
