Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,70.08,71.68,70.05,70.65,1125900,70.65
2014-02-18,71.01,71.09,68.63,69.96,1231400,69.96
2014-02-10,70.82,71.08,69.59,71.05,1583200,71.05
2014-02-03,71.2,72.49,66.32,70.34,2453100,70.34
2014-01-27,73.74,73.74,70.49,70.94,1500700,70.94
2014-01-21,74.83,75.25,71.79,71.85,825200,71.85
2014-01-13,72.63,74.72,71.32,74.37,755000,74.37
2014-01-06,72.92,73.32,71.63,72.97,1091200,72.97
2013-12-30,72.96,74.18,72.33,72.49,877700,72.49
2013-12-23,73.27,73.54,72.1,73.01,509600,73.01
2013-12-16,70.96,73.09,69.87,72.97,1250600,72.97
2013-12-09,72.59,72.8,69.95,70.59,1110900,70.59
2013-12-02,71.68,72.95,70.93,72.4,1178000,72.4
2013-11-25,71.,72.38,70.48,71.71,922500,71.71
2013-11-18,68.97,70.99,68.24,70.95,1605000,70.95
2013-11-11,66.23,69.1,65.59,68.92,727900,68.64
2013-11-04,66.93,67.5,65.53,66.2,974800,65.93
2013-10-28,67.4,67.52,65.63,66.8,970600,66.52
2013-10-21,64.31,67.49,63.32,67.35,1376000,67.07
2013-10-14,61.17,64.38,61.,64.21,765900,63.94
2013-10-07,60.17,61.61,58.53,61.56,1208400,61.31
2013-09-30,60.96,61.39,59.66,60.84,1000500,60.59
2013-09-23,62.21,62.46,61.1,61.65,676900,61.4
2013-09-16,62.93,63.89,61.95,62.43,818500,62.17
2013-09-09,60.65,62.32,60.24,62.09,586700,61.83
2013-09-03,60.12,61.27,59.32,60.33,613600,60.08
2013-08-26,60.38,61.5,58.,59.36,831900,59.11
2013-08-19,59.19,61.07,58.65,60.42,748500,60.17
2013-08-12,60.29,60.75,59.12,59.32,807500,58.79
2013-08-05,63.46,63.63,60.57,60.78,756100,60.23
2013-07-29,61.72,64.18,61.2,63.65,1078200,63.08
2013-07-22,59.84,62.59,59.8,61.77,1165400,61.21
2013-07-15,60.04,61.19,58.97,59.84,993500,59.3
2013-07-08,58.86,60.6,58.44,59.97,909300,59.43
