Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.09,30.21,29.98,29.98,3588900,29.98
2014-02-18,29.76,30.17,29.48,30.05,2171600,30.05
2014-02-10,28.54,29.65,28.33,29.65,1812300,29.65
2014-02-03,28.94,29.33,28.21,28.63,2564000,28.63
2014-01-27,28.1,29.02,28.02,28.91,3108700,28.91
2014-01-21,28.31,28.62,28.06,28.06,2449500,28.06
2014-01-13,28.23,28.34,27.91,28.2,2813800,28.2
2014-01-06,27.56,28.38,27.27,28.25,3255700,28.25
2013-12-30,27.88,28.09,27.38,27.5,2437900,27.5
2013-12-23,28.39,28.47,27.72,27.86,2038000,27.86
2013-12-16,27.8,28.53,27.6,28.21,5157800,27.93
2013-12-09,28.44,28.54,27.56,27.74,4061100,27.46
2013-12-02,28.09,28.56,27.51,28.45,5842400,28.17
2013-11-25,28.39,28.46,27.91,28.02,3878400,27.74
2013-11-18,28.64,28.7,28.03,28.35,4080400,28.07
2013-11-11,28.48,28.75,28.04,28.6,2868500,28.32
2013-11-04,29.,29.1,27.96,28.52,2602800,28.24
2013-10-28,29.12,29.4,28.49,28.92,2714300,28.63
2013-10-21,28.65,29.35,28.44,29.1,3073000,28.81
2013-10-14,28.15,28.74,27.63,28.6,2401200,28.32
2013-10-07,27.16,28.3,27.14,28.27,2706900,27.99
2013-09-30,27.59,27.89,27.2,27.3,2496300,27.03
2013-09-23,27.7,28.35,27.51,27.69,2790500,27.41
2013-09-16,27.87,28.11,26.9,27.75,6398200,27.47
2013-09-09,27.39,27.92,27.31,27.64,6408000,27.09
2013-09-03,28.06,28.16,27.14,27.37,4770000,26.82
2013-08-26,27.96,27.98,27.41,27.92,3091800,27.36
2013-08-19,27.91,28.13,27.28,27.92,3285500,27.36
2013-08-12,29.36,29.43,27.84,27.95,2678400,27.39
2013-08-05,30.3,30.3,29.4,29.45,2448100,28.86
2013-07-29,29.73,30.41,29.66,30.36,2622400,29.75
2013-07-22,30.13,30.22,29.56,29.75,2017900,29.15
2013-07-15,29.25,30.14,29.19,30.09,2104000,29.49
2013-07-08,28.22,29.35,28.09,29.31,2170200,28.72
2013-07-01,28.38,28.58,27.76,28.1,3452800,27.54
2013-06-24,27.83,29.05,27.38,28.34,4418700,27.77
2013-06-17,29.55,29.74,27.46,28.01,5343400,27.45
2013-06-10,29.26,29.58,28.61,29.42,6721500,28.56
2013-06-03,28.72,29.23,28.36,29.15,4568300,28.29
