Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.43,29.87,29.37,29.73,1982000,29.73
2014-02-18,29.31,29.55,28.93,29.44,1352200,29.44
2014-02-10,28.78,29.4,28.58,29.23,2130500,29.23
2014-02-03,28.74,28.9,27.79,28.87,2214000,28.87
2014-01-27,28.85,29.55,28.43,28.74,2287500,28.74
2014-01-21,30.05,30.39,28.76,28.81,2655200,28.81
2014-01-13,30.3,30.41,29.71,29.94,2051400,29.94
2014-01-06,30.84,31.02,30.19,30.42,2477700,30.42
2013-12-30,31.73,32.03,30.78,30.81,1672400,30.81
2013-12-23,31.29,31.82,31.24,31.69,870500,31.69
2013-12-16,29.83,31.12,29.65,31.1,2482000,31.1
2013-12-09,30.87,31.08,29.62,29.65,2056400,29.65
2013-12-02,30.75,31.47,30.38,30.75,2801200,30.61
2013-11-25,31.67,32.29,31.55,31.99,1591900,31.84
2013-11-18,31.34,31.65,30.86,31.55,1641400,31.41
2013-11-11,31.31,31.45,30.63,31.39,2057100,31.25
2013-11-04,30.28,31.27,30.03,31.25,2074800,31.11
2013-10-28,31.6,31.69,30.03,30.32,3714900,30.18
2013-10-21,32.14,32.28,31.58,31.68,1317300,31.54
2013-10-14,31.12,32.26,31.05,32.08,1178700,31.93
2013-10-07,30.99,31.42,30.24,31.3,1536000,31.16
2013-09-30,30.68,31.27,30.56,31.15,1525800,31.01
2013-09-23,31.23,31.45,30.3,31.,1801800,30.86
2013-09-16,30.66,31.64,30.48,31.44,1991600,31.3
2013-09-09,30.01,30.79,29.95,30.51,1435200,30.37
2013-09-03,30.05,30.43,29.63,29.94,1745100,29.67
2013-08-26,31.01,31.07,29.48,29.56,1944000,29.29
2013-08-19,30.35,31.06,30.03,30.92,1475000,30.64
2013-08-12,30.67,31.05,30.25,30.43,1441000,30.15
2013-08-05,31.84,31.97,30.74,30.84,1935000,30.56
2013-07-29,32.08,32.28,31.04,31.95,2216200,31.66
2013-07-22,32.83,33.12,31.61,32.22,1637300,31.93
2013-07-15,32.09,32.95,31.91,32.88,1592900,32.58
2013-07-08,30.8,32.04,30.75,32.01,1651700,31.72
2013-07-01,30.48,30.97,30.09,30.65,1722800,30.37
2013-06-24,29.19,30.75,28.88,30.32,2466900,30.04
2013-06-17,31.23,31.7,29.38,29.56,2395100,29.29
2013-06-10,31.38,31.57,30.57,31.06,1823500,30.78
2013-06-03,31.53,31.57,30.57,31.31,2378200,30.88
2013-05-28,31.83,32.09,31.31,31.43,1908200,31.
2013-05-20,32.45,32.46,31.26,31.5,2483100,31.07
2013-05-13,31.92,32.83,31.84,32.45,2478500,32.01
2013-05-06,32.25,32.33,31.69,31.93,2904300,31.5
2013-04-29,31.2,32.96,30.7,32.23,3769000,31.79
2013-04-22,30.52,31.74,30.28,31.15,1336600,30.73
2013-04-15,31.17,31.2,29.93,30.44,2232500,30.03
2013-04-08,30.71,31.63,30.65,31.29,1712100,30.86
2013-04-01,30.35,30.96,30.05,30.77,2324500,30.35
2013-03-25,30.42,30.61,30.04,30.3,1754800,29.89
2013-03-18,29.98,30.45,29.97,30.25,2150700,29.84
2013-03-11,29.59,30.48,29.56,30.4,2628800,29.99
2013-03-04,28.83,29.82,28.69,29.66,2010700,29.12
2013-02-25,29.13,29.23,28.07,28.82,2750500,28.29
2013-02-19,28.71,29.05,28.29,28.99,2472700,28.46
2013-02-11,28.25,28.75,28.12,28.67,2673800,28.15
2013-02-04,27.91,28.74,27.36,28.24,2924700,27.73
2013-01-28,27.81,28.17,27.27,28.07,1916900,27.56
2013-01-22,27.24,27.79,27.13,27.79,2243000,27.28
2013-01-14,26.57,27.25,26.25,27.22,2382900,26.72
2013-01-07,25.86,26.75,25.77,26.6,2203500,26.12
2012-12-31,24.68,26.03,24.57,26.01,2968200,25.54
2012-12-24,24.48,24.94,24.43,24.69,1123800,24.24
2012-12-17,24.38,25.32,24.38,24.56,2234900,24.11
2012-12-10,25.04,25.43,24.1,24.29,2084900,23.85
2012-12-03,24.39,25.2,24.18,25.09,1573700,24.52
2012-11-26,24.18,24.44,23.61,24.33,1295200,23.78
2012-11-19,23.96,24.36,23.67,24.36,1249700,23.81
2012-11-12,24.01,24.19,23.15,23.71,1552200,23.18
2012-11-05,23.52,24.78,23.49,24.,2300700,23.46
2012-10-31,24.93,25.12,23.47,24.01,3339800,23.47
2012-10-22,25.39,25.67,24.53,24.77,1837300,24.21
2012-10-15,25.09,25.78,24.93,25.43,1931800,24.86
2012-10-08,24.8,25.33,24.69,24.98,1740300,24.42
2012-10-01,24.25,25.05,24.15,24.86,2250300,24.3
2012-09-24,24.1,24.4,23.8,24.03,2100800,23.49
2012-09-17,24.65,24.73,23.98,24.2,1882300,23.65
2012-09-10,23.79,24.89,23.6,24.68,2635600,24.12
