Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,51.,51.9,51.,51.34,3907400,51.34
2014-02-18,49.56,51.43,49.53,50.81,4218300,50.81
2014-02-10,46.24,49.99,46.02,49.89,5795900,49.89
2014-02-03,46.18,46.4,44.63,46.1,3247200,46.1
2014-01-27,46.94,47.15,46.07,46.42,3507900,46.16
2014-01-21,47.29,48.91,46.1,46.86,7122900,46.6
2014-01-13,45.52,47.8,45.05,47.22,2858100,46.96
2014-01-06,45.78,46.1,45.25,45.76,1884600,45.51
2013-12-30,45.32,46.7,45.23,45.62,1921000,45.37
2013-12-23,45.3,45.45,44.83,45.29,1087900,45.04
2013-12-16,43.55,45.25,43.39,44.71,3074800,44.46
2013-12-09,44.52,44.6,42.88,43.32,2636300,43.08
2013-12-02,44.25,44.85,43.92,44.35,1980100,44.1
2013-11-25,44.27,44.72,43.94,44.43,1740300,44.18
2013-11-18,43.84,44.24,42.92,43.98,2941500,43.74
2013-11-11,44.55,44.95,42.84,43.66,3742000,43.42
2013-11-04,45.21,45.4,44.14,44.63,2595400,44.38
2013-10-28,44.56,45.68,44.08,45.28,2957000,44.78
2013-10-21,45.54,46.69,44.14,44.64,4049100,44.15
2013-10-14,46.97,47.51,44.1,45.5,5105900,45.
2013-10-07,46.24,47.59,45.11,47.28,2396500,46.76
2013-09-30,46.44,47.5,46.01,46.65,2326700,46.13
2013-09-23,47.09,47.29,46.12,46.54,2142100,46.03
2013-09-16,47.76,48.12,47.05,47.12,3041000,46.6
2013-09-09,46.32,47.33,46.03,47.27,2409700,46.75
2013-09-03,43.99,46.61,43.99,46.18,4016200,45.67
2013-08-26,44.34,44.63,43.04,43.42,2389800,42.94
2013-08-19,44.59,44.96,43.82,44.19,2098100,43.7
2013-08-12,45.31,45.77,43.86,44.56,2918600,44.07
2013-08-05,46.25,46.42,45.14,45.3,3297900,44.8
2013-07-29,46.,47.18,45.61,46.51,4101500,45.75
2013-07-22,46.18,46.5,45.22,46.18,3326500,45.42
2013-07-15,42.99,46.54,42.85,45.86,5681000,45.11
2013-07-08,40.53,43.37,39.53,42.98,3208700,42.28
2013-07-01,39.77,40.56,39.32,40.49,2096800,39.83
2013-06-24,39.07,39.95,38.41,39.61,2867600,38.96
2013-06-17,39.12,40.46,38.29,38.98,3448700,38.34
2013-06-10,40.66,40.85,37.63,38.88,5073600,38.24
2013-06-03,40.67,41.36,39.57,40.6,3216500,39.94
2013-05-28,40.,41.47,39.64,40.65,4540200,39.98
2013-05-20,39.09,40.1,38.91,39.4,4054500,38.76
2013-05-13,38.15,39.73,37.86,39.22,2577900,38.58
2013-05-06,38.26,38.75,37.79,38.56,2080300,37.68
2013-04-29,37.43,38.57,37.3,38.16,2478800,37.29
2013-04-22,35.62,38.04,35.15,37.44,3698700,36.59
2013-04-15,37.02,37.28,34.98,35.51,2907900,34.7
2013-04-08,36.47,37.9,36.15,37.08,2499800,36.24
2013-04-01,38.47,38.47,35.51,36.36,3487900,35.53
2013-03-25,38.12,38.38,37.55,38.17,2059400,37.3
2013-03-18,37.99,38.51,37.52,37.97,2466600,37.11
2013-03-11,38.2,39.24,37.94,38.45,3247000,37.58
2013-03-04,36.75,38.53,36.37,38.37,4217400,37.5
2013-02-25,38.31,38.42,36.4,36.65,4154500,35.82
2013-02-19,38.66,39.43,37.48,37.96,3475200,37.1
2013-02-11,37.46,38.62,37.22,38.12,2718900,37.25
2013-02-04,36.76,37.63,36.44,37.51,2895200,36.66
2013-01-28,36.72,37.2,36.43,37.16,2287600,36.1
2013-01-22,37.08,37.24,36.34,36.85,2810400,35.8
2013-01-14,36.46,37.63,35.38,37.17,4615100,36.11
2013-01-07,36.25,36.57,35.33,35.8,2858500,34.78
2012-12-31,35.29,37.39,35.27,36.5,2682600,35.46
2012-12-24,36.,36.33,35.29,35.31,1308100,34.3
2012-12-17,35.43,36.44,35.17,36.1,2866200,35.07
2012-12-10,34.89,36.06,34.82,35.37,2167700,34.36
2012-12-03,34.83,34.89,34.01,34.86,1723400,33.87
2012-11-26,34.14,34.78,33.4,34.65,2310000,33.66
2012-11-19,32.86,34.3,32.82,34.19,1716600,33.21
2012-11-12,33.62,34.29,32.13,32.56,3458600,31.63
2012-11-05,32.79,34.48,32.71,33.59,3071000,32.63
2012-10-31,32.93,33.82,32.54,33.19,2581900,32.03
2012-10-22,33.05,33.37,32.12,32.83,2739400,31.68
2012-10-15,32.8,34.36,32.74,33.06,2552800,31.9
2012-10-08,33.83,34.05,32.33,32.68,2334800,31.54
2012-10-01,33.68,34.52,33.45,34.06,2229800,32.87
2012-09-24,34.7,34.86,33.15,33.41,2472400,32.24
2012-09-17,35.3,35.5,34.68,34.95,1951100,33.73
2012-09-10,34.62,35.81,34.51,35.23,3128800,34.
2012-09-04,33.79,34.89,33.33,34.87,2578800,33.65
2012-08-27,33.93,34.15,33.32,33.91,1958400,32.72
2012-08-20,33.87,34.3,33.38,33.9,2698000,32.71
2012-08-13,33.8,34.19,33.28,33.96,2310000,32.77
2012-08-06,33.36,34.1,33.08,33.71,2538300,32.53
2012-07-30,32.86,33.52,32.24,33.36,2973500,31.98
2012-07-23,30.7,33.02,30.25,32.9,4498800,31.54
2012-07-16,31.31,32.3,30.46,31.14,5729800,29.85
2012-07-09,32.5,32.63,30.77,31.45,2532000,30.15
2012-07-02,33.53,33.77,32.25,32.44,2097700,31.1
2012-06-25,32.33,33.58,31.34,33.57,2951000,32.18
2012-06-18,32.42,33.33,31.89,32.66,2548400,31.31
2012-06-11,33.03,33.18,31.92,32.55,3113100,31.2
2012-06-04,31.06,33.14,30.71,32.84,3696200,31.48
2012-05-29,32.14,32.6,31.,31.,3624600,29.72
2012-05-21,31.24,32.26,31.24,31.98,3498600,30.66
2012-05-14,32.81,33.12,31.24,31.31,4305600,30.02
2012-05-07,33.84,34.24,33.02,33.24,3210100,31.66
2012-04-30,36.45,36.58,34.03,34.06,3628600,32.44
2012-04-23,34.07,37.04,33.47,36.5,4351000,34.76
