Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,72.87,73.4,72.74,72.97,1799600,72.97
2014-02-18,73.4,74.06,72.37,72.85,2285400,72.85
2014-02-10,72.,73.9,71.67,73.42,3071900,73.42
2014-02-03,67.36,72.58,65.84,71.73,6568600,71.73
2014-01-27,68.79,68.91,65.83,67.15,4884700,67.15
2014-01-21,72.71,72.86,68.82,68.82,3911300,68.82
2014-01-13,75.01,75.12,71.87,72.1,3722500,72.1
2014-01-06,75.52,77.33,74.75,75.02,3471800,74.64
2013-12-30,73.85,76.41,73.84,75.56,1874900,75.18
2013-12-23,73.5,74.41,72.81,73.87,1053300,73.5
2013-12-16,73.07,73.89,71.25,73.39,2763000,73.02
2013-12-09,74.37,74.72,71.5,71.81,2471100,71.45
2013-12-02,77.56,78.57,74.,74.37,3673500,73.99
2013-11-25,77.88,78.37,76.88,77.68,2487800,77.29
2013-11-18,73.85,78.68,72.1,78.3,4474100,77.9
2013-11-11,70.92,73.99,70.61,73.98,4018700,73.61
2013-11-04,68.91,70.7,68.79,70.57,3150200,70.21
2013-10-28,66.57,68.61,66.57,68.48,2782800,68.13
2013-10-21,66.75,67.28,64.08,66.57,4648300,66.23
2013-10-14,66.84,67.79,65.76,66.68,4202500,66.34
2013-10-07,70.97,72.08,64.92,67.,8585400,66.66
2013-09-30,71.52,71.86,70.,71.53,2415400,70.8
2013-09-23,71.91,72.71,71.39,72.13,1317000,71.4
2013-09-16,73.,73.76,72.,72.09,2258700,71.36
2013-09-09,70.14,72.84,70.14,72.53,2265200,71.79
2013-09-03,70.74,70.94,68.78,69.61,3580900,68.9
2013-08-26,72.55,72.75,69.57,70.02,2374600,69.31
2013-08-19,72.29,73.04,71.92,72.57,1605400,71.83
2013-08-12,74.26,75.13,71.73,72.16,3129600,71.42
2013-08-05,74.5,74.95,73.72,74.4,1861300,73.64
2013-07-29,73.61,74.42,72.77,74.39,1754300,73.63
2013-07-22,71.52,74.02,70.03,74.,2813400,73.25
2013-07-15,70.85,72.38,70.79,72.08,2550100,71.35
2013-07-08,72.48,73.46,70.38,70.64,4040700,69.92
2013-07-01,69.6,71.73,69.26,71.66,1962500,70.6
2013-06-24,68.06,69.99,67.06,69.34,2514700,68.32
2013-06-17,71.54,72.64,68.82,68.98,2666400,67.96
2013-06-10,73.4,73.89,70.96,71.11,3112400,70.06
2013-06-03,67.79,73.64,67.79,73.52,4119500,72.44
2013-05-28,69.86,70.41,67.75,67.75,2124000,66.75
2013-05-20,70.1,70.93,68.55,69.21,2330700,68.19
2013-05-13,69.28,70.6,68.43,70.16,3289400,69.13
2013-05-06,68.,70.36,67.95,70.36,2565100,69.32
2013-04-29,67.15,69.05,66.72,68.91,2755400,67.89
2013-04-22,65.04,69.78,63.16,66.86,5896000,65.88
2013-04-15,67.04,67.25,64.74,65.04,4382800,64.08
2013-04-08,66.16,67.87,65.92,67.8,5233300,66.8
2013-04-01,71.93,72.32,65.28,66.97,5377000,65.65
2013-03-25,70.54,72.21,70.29,71.94,2947500,70.52
2013-03-18,69.31,69.9,68.46,69.69,2169600,68.32
2013-03-11,67.78,71.5,67.32,70.2,5252800,68.82
2013-03-04,65.11,68.37,64.95,67.72,3539400,66.39
2013-02-25,65.62,66.48,64.31,65.21,3315600,63.93
2013-02-19,64.2,65.6,63.93,65.45,3914000,64.16
2013-02-11,65.16,65.19,63.45,63.99,4514100,62.73
2013-02-04,65.9,66.01,59.68,65.3,12548000,64.02
2013-01-28,64.51,66.02,63.18,65.93,6761100,64.63
2013-01-22,64.92,66.81,64.,64.63,5300900,63.36
2013-01-14,66.95,67.18,64.9,65.15,3875100,63.87
2013-01-07,67.99,68.29,64.09,66.87,6521900,65.55
2012-12-31,64.72,68.45,64.56,68.32,3266100,66.63
2012-12-24,64.73,65.8,64.41,64.72,2938800,63.12
2012-12-17,68.11,70.35,63.07,63.88,6964800,62.3
2012-12-10,66.59,68.9,65.76,67.9,4000000,66.22
2012-12-03,67.12,68.09,65.35,66.3,4914200,64.66
2012-11-26,73.79,74.75,66.73,67.08,5752300,65.42
2012-11-19,72.82,74.35,71.51,74.,2441600,72.17
2012-11-12,72.16,73.66,70.56,71.89,3030800,70.11
2012-11-05,71.88,73.31,70.42,71.97,2700400,70.19
2012-10-31,70.64,73.86,69.58,72.12,3319800,70.34
2012-10-22,70.19,70.86,69.,69.9,2518100,68.17
2012-10-15,69.73,72.15,69.63,70.09,3628600,68.36
2012-10-08,66.11,72.,65.92,69.45,7585700,67.73
2012-10-01,66.8,68.,65.62,66.,3051400,64.04
