Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.91,30.56,29.89,30.29,2027200,30.29
2014-02-18,31.,31.24,29.71,29.91,2270200,29.91
2014-02-10,29.6,31.15,29.15,30.9,2122300,30.86
2014-02-03,28.59,29.47,27.82,28.93,2507600,28.89
2014-01-27,30.38,30.54,28.72,28.75,2765300,28.71
2014-01-21,30.4,32.29,30.22,30.23,3685500,30.19
2014-01-13,29.9,30.37,29.33,30.16,1584800,30.12
2014-01-06,29.95,30.45,29.57,30.06,1748700,30.02
2013-12-30,29.88,30.13,29.17,29.86,1112900,29.82
2013-12-23,29.36,29.99,29.23,29.79,952700,29.75
2013-12-16,28.16,29.67,27.92,29.22,3809900,29.18
2013-12-09,29.77,30.,28.32,28.47,2181200,28.43
2013-12-02,29.34,29.9,28.63,29.73,1511000,29.69
2013-11-25,29.57,29.73,29.02,29.33,1316300,29.29
2013-11-18,29.3,29.5,27.61,29.39,1916200,29.35
2013-11-11,29.71,29.88,28.52,29.2,1444800,29.12
2013-11-04,28.48,29.67,28.07,29.64,1963600,29.56
2013-10-28,28.5,28.73,28.24,28.42,1798700,28.34
2013-10-21,30.04,30.07,27.37,28.51,4444300,28.43
2013-10-14,28.06,30.05,27.66,29.91,2009600,29.83
2013-10-07,27.25,28.44,26.89,28.32,1907700,28.24
2013-09-30,27.,28.01,26.79,27.84,1679000,27.76
2013-09-23,28.03,28.07,27.,27.33,2123200,27.26
2013-09-16,29.4,29.5,27.36,27.97,2507900,27.89
2013-09-09,28.72,29.32,28.31,28.99,1239800,28.91
2013-09-03,28.66,29.26,27.99,28.67,1744700,28.59
2013-08-26,29.46,29.61,27.76,27.97,1263700,27.89
2013-08-19,28.7,29.9,28.61,29.47,1478600,29.39
2013-08-12,29.32,29.73,28.58,28.86,1996100,28.74
2013-08-05,30.15,30.19,28.89,29.49,1634900,29.37
2013-07-29,29.45,30.39,29.02,30.15,1824500,30.03
2013-07-22,30.83,30.95,29.29,29.55,2690000,29.43
2013-07-15,30.26,30.6,29.16,30.55,1901400,30.42
