Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.78,30.07,29.62,29.7,3105500,29.7
2014-02-18,29.91,30.59,29.53,29.61,5048100,29.61
2014-02-10,30.78,31.53,28.77,29.88,12666700,29.88
2014-02-03,30.4,30.8,29.95,30.7,4288500,30.7
2014-01-27,31.53,31.62,30.07,30.36,4858400,30.36
2014-01-21,31.98,32.09,31.26,31.46,4790000,31.39
2014-01-13,32.39,32.42,31.63,31.73,2751300,31.66
2014-01-06,32.3,32.73,31.51,32.54,2874100,32.47
2013-12-30,32.74,32.84,32.02,32.05,2293700,31.98
2013-12-23,32.61,32.78,32.07,32.67,1417800,32.59
2013-12-16,31.67,32.69,31.3,32.38,3215600,32.31
2013-12-09,31.56,31.94,30.76,31.58,3468400,31.51
2013-12-02,31.31,31.71,30.89,31.54,4507600,31.47
2013-11-25,31.41,31.92,31.06,31.15,2990000,31.08
2013-11-18,31.84,31.96,31.2,31.36,3229700,31.29
2013-11-11,31.7,32.18,31.28,31.81,3401800,31.74
2013-11-04,31.84,32.18,30.86,31.59,5414500,31.52
2013-10-28,32.53,32.61,31.38,31.84,4215800,31.77
2013-10-21,33.16,33.34,32.26,32.47,2482400,32.33
2013-10-14,32.03,33.3,31.86,33.22,3070200,33.08
2013-10-07,31.7,32.77,31.08,32.4,4503000,32.26
2013-09-30,31.1,32.56,30.93,32.05,3508200,31.91
2013-09-23,32.19,32.19,31.03,31.15,2676000,31.02
2013-09-16,31.44,32.9,31.39,32.19,6219900,32.05
2013-09-09,30.64,31.82,30.36,31.05,4016900,30.92
2013-09-03,29.46,30.95,29.19,30.61,4043300,30.48
2013-08-26,30.16,30.16,28.81,29.15,5247300,29.02
2013-08-19,29.91,30.41,29.57,30.2,3075700,30.07
2013-08-12,30.68,30.99,29.75,30.,4453100,29.87
2013-08-05,30.47,32.5,30.47,30.91,7124100,30.78
2013-07-29,30.27,30.96,29.46,30.94,5484300,30.81
2013-07-22,30.36,30.59,29.66,30.43,4952400,30.23
2013-07-15,31.31,31.65,30.12,30.24,5009700,30.04
2013-07-08,30.45,31.45,30.22,31.35,8160400,31.15
2013-07-01,31.02,31.06,28.97,30.17,13126800,29.97
2013-06-24,30.15,31.9,29.4,30.89,22841300,30.69
2013-06-17,31.4,31.76,30.05,30.6,24637500,30.4
2013-06-10,31.83,32.11,30.61,30.8,7104500,30.6
2013-06-03,32.01,32.99,31.21,31.5,3897200,31.3
2013-05-28,33.8,34.28,31.8,32.,4625600,31.79
2013-05-20,33.9,34.,31.75,33.46,8670800,33.24
2013-05-13,33.06,33.9,32.56,33.9,823000,33.68
2013-05-06,33.35,33.67,32.29,33.18,749900,32.97
2013-04-29,32.95,34.74,32.17,33.21,1637900,33.
2013-04-22,32.9,32.96,30.42,32.64,2149100,32.36
2013-04-15,33.07,33.37,31.81,32.71,1842000,32.43
2013-04-08,31.95,33.76,31.77,33.23,1497800,32.95
2013-04-01,33.42,33.59,30.57,31.96,1899600,31.69
2013-03-25,33.48,33.5,32.,33.4,3013200,33.12
2013-03-18,32.75,34.,32.33,33.12,1386000,32.84
2013-03-11,33.97,35.42,33.08,33.44,2017000,33.16
2013-03-04,34.8,34.89,33.56,34.09,1188300,33.8
2013-02-25,32.68,34.7,31.99,34.6,1707300,34.31
2013-02-19,34.02,34.07,31.86,32.59,1811600,32.31
2013-02-11,33.06,34.09,32.77,33.98,2552800,33.69
2013-02-04,31.09,33.48,30.75,33.05,4246900,32.77
2013-02-01,31.5,31.74,30.47,31.01,66789100,30.75
